"id","origin","artifact_type","path","status","mtime_pdt","size_bytes","sha256","can_recompute","recompute_entry","supersedes","notes"
"A001","068","manuscript","docs/paper_zh_post_k1k4_068/orientation_reliability_paper_zh.md","authoritative_068","2026-07-12 18:43:21","46440","8104f4c059428cf7330179cc83939049c0a4ff47e37e84bf3fc107e51b0c35b0","no","","older Chinese drafts","Only project artifact produced by original 068."
"A002","068","execution_provenance","/home/rspip/.claude/projects/-home-rspip-cqc-pro-study-orientbench/2f5fe955-706f-470f-998e-f4baddcfb761.jsonl","external_session_record","2026-07-13 23:25:53","30246181","","no","","","Contains original command and completion report; not a project result."
"A003","065/K1","result_table","top_journal_v3_reaudit_055/reports/table1_fullval_final_065.csv","authoritative","2026-07-08 02:54:56","1106","cb989f0148ae7f63682afd02abeccd48080d8db8f565bec4c47f33322538f4e2","yes_gpu","scripts/recompute_table1_by_inference_065.py","old partial-GT AP anchors","Six full-val cells."
"A004","065/K1","manifest","top_journal_v3_reaudit_055/reports/k1_table1_gt_manifest_065.csv","authoritative","2026-07-08 02:35:54","1638","8404b2cf7ce1553c6b55ad8e25f40d618f335594d243e817d510fb779ef6fdba","yes_cpu","top_journal_v3_reaudit_055/scripts/build_k1_fullval_gt_065.py","ephemeral GT","Includes valid DIOR/SODA/FAIR1M-val20 persistent GT and one empty obsolete FAIR1M path row."
"A005","067/K2","decision","top_journal_v3_reaudit_055/reports/k2_go_no_go_decision_067.csv","authoritative","2026-07-12 00:44:40","225","00d011d0db29571a8a18eb6ead957e9ab8a31e277812ee8e53f61d34b1dd60ae","yes_aggregate","top_journal_v3_reaudit_055/scripts/k2_aggregate_go_no_go_067.py","R1 preliminary","PASS outcome A."
"A006","067/K2","result_table","top_journal_v3_reaudit_055/reports/k2_angle_coder_block_results.csv","authoritative","2026-07-12 00:44:40","422","53cf597f99368d32f615acd634785480e21ea9347253a29277c4ccf0f9fdef88","yes_aggregate","top_journal_v3_reaudit_055/scripts/k2_aggregate_go_no_go_067.py","R1 preliminary","Six complete head-dataset blocks."
"A007","067/K2","report","top_journal_v3_reaudit_055/docs/k2_angle_coder_go_no_go_report_067.md","authoritative","2026-07-12 00:44:40","1375","8631efe8e799d491f6f683d38d002c44e3ec31ef6b1327b8e51a2e0c42537e6e","yes_aggregate","top_journal_v3_reaudit_055/scripts/k2_aggregate_go_no_go_067.py","R1 report","PSC-specific conclusion boundary."
"A008","067/K2","input_bundle","top_journal_v3_reaudit_055/reports/k2_eval","authoritative_inputs","2026-07-12","","","yes_aggregate","top_journal_v3_reaudit_055/scripts/k2_aggregate_go_no_go_067.py","r1_eval inputs","Directory contains 18 JSON files; do not replace with old r1_eval."
"A009","066/K3","result_table","top_journal_v3_reaudit_055/reports/k3_gt_angle_noise_by_dataset.csv","authoritative_partial","2026-07-08 03:33:45","562","79cfaed9f8df26d803baa8adec1a22cf0c07846959b725c1166eec93f16c69ed","yes_cpu","scripts/k3_gt_angle_noise_proxy_audit_066.py","","Proxy only."
"A010","066/K3","report","top_journal_v3_reaudit_055/docs/k3_gt_angle_noise_audit.md","authoritative_partial","2026-07-08 03:34:54","2887","4efccee636fac8b83918a5600626ee54c0c263555e25540d7042804376c4c53e","yes_cpu","scripts/k3_gt_angle_noise_proxy_audit_066.py","","Human double annotation remains absent."
"A011","066/K4a","result_table","top_journal_v3_reaudit_055/reports/k4a_ar_threshold_sensitivity_066.csv","authoritative","2026-07-08 03:30:43","255","cb9caee4fa74ecece8f24d5053ca8b8619a464ffb80b1dec93a7aa8434cff37e","yes_cpu","scripts/k4a_derive_mask_threshold_066.py","ar1.6 sole main mask","Derived ar approximately 2.1."
"A012","066/K4a","result_table","top_journal_v3_reaudit_055/reports/k4a_mask_ratio_by_dataset.csv","authoritative","2026-07-08 03:30:46","415","58c3d8b79f648c5cb419cb13ef5cf8c1e323082e80eb70f85a9038c020db5168","yes_cpu","scripts/k4a_derive_mask_threshold_066.py","","Contains one empty obsolete FAIR1M path row; valid val20 row present."
