anon_id,dataset,image_id,pred_id,matched_gt_class,matched_gt_size_bin,matched_gt_aspect_ratio,matched_gt_ar_bin,formal_ar21_eligible,formal_stratum,angleA,angleB,cannotA,cannotB,annotatorA_id_sha256,annotatorB_id_sha256,pair_status,human_usable
33954392327ffbbf,DIOR-R,11746,49,ship,small,3.15625,ar>=2.1,True,ship|small|ar>=2.1,7.001255,7.006800,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
33adb03f58d0db3b,DIOR-R,21101,14,dam,small,3.791005,ar>=2.1,True,dam|small|ar>=2.1,52.057834,,0,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,LABELED|AMBIGUOUS,False
384a09b2c13beb09,DIOR-R,12460,289,ship,small,2.625,ar>=2.1,True,ship|small|ar>=2.1,3.964659,179.204320,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
885f088889e15db7,DIOR-R,14315,29,storagetank,small,1.076923,ar<1.6,False,storagetank|small|ar<1.6,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
1ce2a518edcc66a2,DIOR-R,23245,5,vehicle,medium,2.364988,ar>=2.1,True,vehicle|medium|ar>=2.1,83.088757,87.151833,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
4bdcd00a5edadde9,DIOR-R,19706,0,windmill,large,1.40625,ar<1.6,False,windmill|large|ar<1.6,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
3f2bfa7d8e6debbc,DIOR-R,22107,0,storagetank,medium,1.047619,ar<1.6,False,storagetank|medium|ar<1.6,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
b074f6874285b046,DIOR-R,15745,6,windmill,small,2.285714,ar>=2.1,True,windmill|small|ar>=2.1,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
7ab093b45cccf80f,DIOR-R,14322,16,ship,medium,2.867949,ar>=2.1,True,ship|medium|ar>=2.1,144.681661,147.134815,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
98d253854601680e,DIOR-R,18501,4,vehicle,small,3.775811,ar>=2.1,True,vehicle|small|ar>=2.1,104.661528,103.085056,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
b75a2a378cc1c45c,DIOR-R,20888,7,ship,small,2.8125,ar>=2.1,True,ship|small|ar>=2.1,0.525629,1.309388,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
ed39c0bea4c8e8d8,DIOR-R,11916,0,dam,large,1.868859,1.6<=ar<2.1,False,dam|large|1.6<=ar<2.1,112.416146,,0,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,LABELED|SKIP,False
2ce4d67b33c1deec,DIOR-R,18806,27,chimney,small,1.115385,ar<1.6,False,chimney|small|ar<1.6,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
faf6a81a68e4cda0,DIOR-R,21577,98,storagetank,small,1.636364,1.6<=ar<2.1,False,storagetank|small|1.6<=ar<2.1,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
