cell,dataset,detector,mask_definition,aspect_ratio_source,ar_threshold,retained_count,retained_ratio,angle_convention,geometry_model,solve_tolerance_deg,delta_theta_curve_sha256,threshold_semantics,high_ar_policy,input_lineage_status,angle_threshold_deg,event_rate,interp,noise_sensitive,threshold_near_proxy_floor,proxy_role,note,human_anchor_scope,human_disagreement_probability
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0725,fine-risk; human-noise-sensitive,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.040984
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0097,severe-risk sensitivity with clearer human-noise margin,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.0
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0034,fixed-angle sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,600 primary targets; 200 per dataset,
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0772,fine-risk; human-noise-sensitive,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.040984
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0104,severe-risk sensitivity with clearer human-noise margin,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.0
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0036,fixed-angle sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,600 primary targets; 200 per dataset,
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0896,fine-risk; human-noise-sensitive,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.040984
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0191,severe-risk sensitivity with clearer human-noise margin,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.0
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0091,fixed-angle sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,600 primary targets; 200 per dataset,
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.1088,fine-risk; human-noise-sensitive,True,True,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.076923
