role,path,sha256,bytes,can_recompute,contains_primary_human_labels,note
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/internal/m600_A_combined.csv,c09bc26dcab223c0bcd01c305fcc57dd6f1b7f07a35a7f2137d3a2972311c3c7,73799,True,True,persistent; no /dev/shm dependency
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/internal/m600_B_combined.csv,b23f7891f620189f3ff993939141bc9d7274845edb52f26f6f7284b4b1a04f1a,63035,True,True,persistent; no /dev/shm dependency
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/internal/m600_sampling_manifest.csv,c61958d06864d223864a83beb31a27345f3aa313c6831f22cbdd9b654c6a5f91,434430,True,False,persistent; no /dev/shm dependency
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/internal/instance_id_mapping.csv,316088212b1775896c89471c0fffb9219f3b02cfafeb8267b6b9d21208b9539a,758895,True,False,persistent; no /dev/shm dependency
input,reports/m4_m600_one_sided_recheck.csv,7771290422502a1c733cd83a1fb93b00401dcf90fdde8a9c5d2be4845f088dc1,4460,True,False,persistent; no /dev/shm dependency
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/annotator_A/outputs_m600_plus_recheck/annotations_A_m600_plus_recheck.csv,66c006518867801a8bd546fa271616ab8bbe981a72723c30ac08bf71acc751c8,11556,True,False,persistent; no /dev/shm dependency
input,top_journal_v3_reaudit_055/annotation_tools/m4_angle_annotation/annotator_B/outputs_m600_plus_recheck/annotations_B_m600_plus_recheck.csv,d94563a609bae176a1afc1cc7e4f6ad335b8cbd52dcfa9b78b1514d9a116df11,12182,True,False,persistent; no /dev/shm dependency
input,scripts/merge_m4_human_annotations.py,a3058ef1d2433557c03113b497f24fcd7539f2f99401e47f2224fd94b5cef2a8,10269,True,False,persistent; no /dev/shm dependency
input,scripts/analyze_m4_human_disagreement.py,b0e34d383624694f041521dd98b35e9a150f5402aa5b12528110a5e57b64c749,10433,True,False,persistent; no /dev/shm dependency
input,scripts/integrate_m4_human_073.py,3b23428e91da6934bc0e286d60f63c66b6fe6e9e96e3a5454590728b892e3b50,18205,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_disagreement.csv,b8461ed99541b84f53163b3911ec56f6d48d75a49f1b9b869d9f743f57912a0a,9841,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_primary_summary_073.csv,f7f93b9da582df2b6b3412c95bc1f30d9dc5b1984b24dab84c6175c8c2d94f7b,964,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_recheck_secondary_073.csv,7771290422502a1c733cd83a1fb93b00401dcf90fdde8a9c5d2be4845f088dc1,4460,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_by_dataset_073.csv,e15ed828ba7a13d28fb920f5616ecd89cb48b414cb6eee2c8fb07510bf27861d,660,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_by_ar_073.csv,1f17523b0e472c4e9a4dd8844e40d736a9e613197f37c8cf9c2d45acc2494c2c,366,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_merge_audit.json,951a3cc4cc1069935518c890788633317e89cd60f7434b0a461f9ac29e8cf4ca,683,True,False,persistent; no /dev/shm dependency
output,reports/m4_human_annotation_analysis_audit.json,fa769fdacff4aae0bdf96d9217c5c0f2055e19b3226d845e1ae4fa0c8b88976f,3283,True,False,persistent; no /dev/shm dependency
