annotator_slot,task_id,canonical_anon_id,task_kind,original_task_id,original_pair_status,original_missing_state,recheck_state,recheck_angle,counterpart_angle,resolved_to_numeric_pair,resolved_disagreement_deg
A,08a4fc2bd63b5e4db07a,cf52b1272c4bbc5e,ONE_SIDED_RECHECK,21c853c8f4be7a146b24,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,168.789336,169.070522,True,0.281186
A,e1d8a097173037172e04,24b80c44a1ca9878,ONE_SIDED_RECHECK,6244584d7f357a8d2527,SKIP|LABELED,SKIP,LABELED,121.062198,120.818882,True,0.243316
A,961472f919cf6635f324,fbbdf92bf861d664,ONE_SIDED_RECHECK,7d17f5e287d064a52b0c,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,108.257571,109.219807,True,0.962236
A,e872c3844796a6904b32,1bb2b2326864db99,ONE_SIDED_RECHECK,aded389f8c467e659503,SKIP|LABELED,SKIP,LABELED,165.284915,166.651280,True,1.366365
A,20b42b2c4fb76ee75d35,4ac81bc43e947bb9,ONE_SIDED_RECHECK,b47c78826192a34d9186,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,89.204319,88.667768,True,0.536551
A,e4fac61aeaeed633b0a1,0aba074f8cf61c54,ONE_SIDED_RECHECK,76e644249b7f15f2a7dc,SKIP|LABELED,SKIP,LABELED,135.000014,130.732148,True,4.267866
A,1825be75bce25500c706,f251048ed7cbe7df,ONE_SIDED_RECHECK,91758e4251bfc4c486c9,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,28.123730,31.464150,True,3.340420
A,d70ebf52b277c872255e,0e32f801ec4375de,ONE_SIDED_RECHECK,8a2a1e3fac71eb908324,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,33.690044,30.854217,True,2.835827
A,48845ae921909641e64e,fbe650b1bdf5daa4,ONE_SIDED_RECHECK,bc8be805a04f845d14e9,SKIP|LABELED,SKIP,LABELED,31.390273,32.347439,True,0.957166
A,e13048f9598fec30177c,75bb9116f3c34c09,ONE_SIDED_RECHECK,8835850b8538842ed455,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,75.657781,79.135958,True,3.478177
A,7eb7f1719f43916451b5,e8a6912665dea1f6,ONE_SIDED_RECHECK,e91779a06a71a4ccf212,SKIP|LABELED,SKIP,LABELED,94.846819,94.992080,True,0.145261
A,ae518776dc3367622ac3,bdfcc2cddf032408,ONE_SIDED_RECHECK,a4431f87b81b93856f70,AMBIGUOUS|LABELED,AMBIGUOUS,LABELED,3.576361,1.958036,True,1.618325
B,239fb80727d1c0aaf888,bb54e96164aa272d,ONE_SIDED_RECHECK,d335b200cd1a39d8cbb1,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,129.004606,132.058537,True,3.053931
