head,dataset,seed,scope,group,n,NRC_native,direction,main_mask,evidence
PSC,FAIR1M-v1.0,0,overall,ar>=2.1,31813,1.1245328636007912,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,size,small,28931,1.1337291600198784,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,size,medium,2396,1.070565766188001,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,size,large,486,0.9325736116863799,informative,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,ar_bin,2.1<=ar<3,21744,1.123128504873171,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,ar_bin,3<=ar<5,8145,1.1296861096696609,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,ar_bin,ar>=5,1924,1.0425754737090471,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,1,526,1.1913346831011995,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,2,1875,1.0472144419559162,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,3,1162,1.0837755124302335,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,4,880,1.0560381399467147,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,5,126,0.917056663470899,informative,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,6,248,0.758106703532837,informative,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,7,264,1.0109914470338475,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,8,310,0.9313620373162517,informative,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,9,12024,1.1496550563763235,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,10,594,1.0628627069972727,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,11,10987,1.150697339162565,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,0,class,14,2385,1.124322513781463,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,overall,ar>=2.1,31978,1.1256232041976566,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,size,small,29075,1.129251468018981,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,size,medium,2407,1.0830266645058135,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,size,large,496,1.1336188515203227,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,ar_bin,2.1<=ar<3,21795,1.1191607435501287,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,ar_bin,3<=ar<5,8282,1.1056439330840784,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,ar_bin,ar>=5,1901,1.0264882196327931,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,1,517,1.015907574147039,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,2,1883,1.0273571912300559,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,3,1245,1.043559531855084,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,4,873,1.0159409398441954,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,5,132,1.024245293665343,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,6,260,0.9720806497771765,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,7,267,1.0789480773662548,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,8,295,1.0103425833886286,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,9,12087,1.1416350950363454,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,10,633,1.0203593031686458,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,11,10977,1.149672862971884,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,1,class,14,2364,1.1396977409976428,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,overall,ar>=2.1,31658,1.1163190858790317,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,size,small,28830,1.1255793522488298,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,size,medium,2353,1.0839625432629827,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,size,large,475,1.0250393450361122,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,ar_bin,2.1<=ar<3,21648,1.11471451620293,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,ar_bin,3<=ar<5,8117,1.1054095096513359,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,ar_bin,ar>=5,1893,1.0047574599092333,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,1,517,1.145404856645385,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,2,1827,0.9980038324038878,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,3,1179,1.0132155800079554,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,4,830,0.9846403124041256,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,5,121,1.011411619338721,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,6,246,1.006908892272076,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,7,271,1.0727363047170395,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,8,299,0.9850856227706118,near-random,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,9,12019,1.1546596303888967,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,10,599,1.0702298496244578,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,11,10918,1.1432940733167427,reversed,matched_GT_ar>=2.1,
PSC,FAIR1M-v1.0,2,class,14,2403,1.1051090988706058,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,overall,ar>=2.1,3537,1.0518572735768452,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,size,small,2910,1.1428808554382803,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,size,medium,521,1.1180750741586227,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,size,large,106,0.9385173863360405,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,ar_bin,2.1<=ar<3,2503,1.1345288928336714,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,ar_bin,3<=ar<5,673,1.0244342878320767,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,ar_bin,ar>=5,361,1.090290112027331,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,1,121,0.9937381489644695,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,2,338,1.144515980719264,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,3,121,0.9813725750591654,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,9,1244,1.1455246967650767,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,11,1100,1.1443106677686838,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,0,class,14,194,1.2506046774142796,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,overall,ar>=2.1,9582,1.0458532671895882,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,size,small,9171,1.0740755077984634,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,size,medium,321,0.9520149638519796,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,ar_bin,2.1<=ar<3,7923,1.0504284860121116,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,ar_bin,3<=ar<5,1448,1.1930104126167922,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,ar_bin,ar>=5,211,1.2983780490344485,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,2,216,0.9981186618387556,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,3,377,1.180548532327158,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,4,101,0.9797591670523164,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,8,109,1.0664761313466293,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,9,4023,1.0791806307364784,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,10,172,1.1628773622803228,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,11,3414,1.0371045630347688,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,1,class,14,863,1.0983657609681365,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,overall,ar>=2.1,10466,0.8244209597301112,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,size,small,9557,0.7937863959098488,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,size,medium,735,1.0562967679215505,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,size,large,174,0.8878157470859673,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,ar_bin,2.1<=ar<3,7841,0.7452489753556614,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,ar_bin,3<=ar<5,2086,1.0106546814304727,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,ar_bin,ar>=5,539,0.9983950836761636,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,1,154,0.827326787117421,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,2,546,0.9369599993445467,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,3,359,0.7468383992115376,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,4,220,1.0605145618073606,reversed,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,8,134,1.038377220011173,near-random,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,9,4109,0.779748216329998,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,10,212,0.7949057046664231,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,11,3457,0.8134096626004367,informative,matched_GT_ar>=2.1,
CSL,FAIR1M-v1.0,2,class,14,866,0.6479540753731587,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,overall,ar>=2.1,27160,0.5439254522878019,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,size,small,24984,0.5536660645933706,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,size,medium,1793,0.6554988388394749,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,size,large,383,0.627936421374773,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,ar_bin,2.1<=ar<3,19029,0.5726253667055451,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,ar_bin,3<=ar<5,6752,0.5570199209593604,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,ar_bin,ar>=5,1379,0.6968223453352396,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,1,438,0.7572009762422872,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,2,1439,0.6758802852362027,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,3,873,0.5912652219162935,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,4,541,0.6937288350197329,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,6,176,0.49498079006942264,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,7,186,0.5806413425516905,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,8,249,0.6085338792866388,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,9,11044,0.5553317935516454,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,10,196,0.5239551677127551,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,11,9675,0.5533287206581667,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,0,class,14,2033,0.49555788928162015,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,overall,ar>=2.1,27080,0.5591187194891056,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,size,small,24871,0.5713180514637313,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,size,medium,1821,0.5986507696147472,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,size,large,388,0.6151900978486861,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,ar_bin,2.1<=ar<3,18921,0.5908879811686528,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,ar_bin,3<=ar<5,6756,0.5602905489106604,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,ar_bin,ar>=5,1403,0.644401534625866,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,1,441,0.7018654053706046,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,2,1458,0.5907552935947958,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,3,860,0.5998078915068126,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,4,551,0.7060013103794783,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,6,185,0.5753556147637228,informative,matched_GT_ar>=2.1,
