source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n_pairs,mean_circ_disagree_deg,median_circ_disagree_deg,p90_circ_disagree_deg,p95_circ_disagree_deg,P_gt5,P_gt10,status
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,dataset,all,all independently double-labeled usable instances,38,1.7467,1.6368,3.0171,3.7603,0.026316,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,28,1.6448,1.0183,2.8778,3.9935,0.035714,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,Expressway-toll-station,matched_gt_class=Expressway-toll-station,1,1.4205,1.4205,1.4205,1.4205,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,airplane,matched_gt_class=airplane,3,1.4325,1.8554,1.8602,1.8608,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,basketballcourt,matched_gt_class=basketballcourt,1,0.0,0.0,0.0,0.0,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,ship,matched_gt_class=ship,12,1.3485,0.8457,2.8659,3.6746,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,stadium,matched_gt_class=stadium,3,1.7836,1.9044,2.3428,2.3976,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,tenniscourt,matched_gt_class=tenniscourt,5,1.4335,1.0543,2.6354,2.8965,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,vehicle,matched_gt_class=vehicle,13,2.4584,2.4758,3.4653,5.4244,0.076923,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,large,matched_gt_size_bin=large,4,1.2636,1.2072,1.7291,1.7952,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,medium,matched_gt_size_bin=medium,15,1.0981,0.8247,2.2332,2.6639,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,small,matched_gt_size_bin=small,19,2.3606,2.0467,3.8068,4.9095,0.052632,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,5,2.5158,2.4758,3.4354,3.528,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,5,1.5487,1.8554,2.216,2.3342,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,28,1.6448,1.0183,2.8778,3.9935,0.035714,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,dataset,all,all independently double-labeled usable instances,60,2.1755,1.5478,4.9708,5.6058,0.1,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,31,1.8936,1.3864,4.929,5.4595,0.096774,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A220,matched_gt_class=A220,1,0.984,0.984,0.984,0.984,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A330,matched_gt_class=A330,1,1.3853,1.3853,1.3853,1.3853,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A350,matched_gt_class=A350,1,1.7347,1.7347,1.7347,1.7347,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Basketball Court,matched_gt_class=Basketball Court,1,1.3935,1.3935,1.3935,1.3935,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Boeing787,matched_gt_class=Boeing787,2,2.6239,2.6239,2.8216,2.8464,0.0,0.0,COMPLETE
