anon_id,dataset,image_id,pred_id,matched_gt_class,matched_gt_size_bin,matched_gt_aspect_ratio,matched_gt_ar_bin,formal_ar21_eligible,formal_stratum,angleA,angleB,cannotA,cannotB,annotatorA_id_sha256,annotatorB_id_sha256,pair_status,human_usable
f40dec08970cd145,SODA-A,02205__800__1200___1800,15,small-vehicle,small,2.148478,ar>=2.1,True,small-vehicle|small|ar>=2.1,87.838918,90.000000,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
de90cb4b4416059a,DIOR-R,20145,0,windmill,small,1.483254,ar<1.6,False,windmill|small|ar<1.6,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
c4d20ad458504721,FAIR1M-v1.0,10663__1024__0___0,22,A220,medium,1.229426,ar<1.6,False,A220|medium|ar<1.6,144.233327,143.249337,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
a89cf4600ea3593a,DIOR-R,21246,7,vehicle,small,2.5,ar>=2.1,True,vehicle|small|ar>=2.1,91.847607,89.003684,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
c0cdb92976514558,SODA-A,02107__800__3600___600,17,small-vehicle,small,2.108089,ar>=2.1,True,small-vehicle|small|ar>=2.1,91.636629,97.230270,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
7b6727eb1343ba4f,FAIR1M-v1.0,4618__1024__0___0,254,Van,small,2.111111,ar>=2.1,True,Van|small|ar>=2.1,176.698153,2.045374,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
77b9703a651e2995,SODA-A,02289__800__1800___600,473,small-vehicle,small,1.672316,1.6<=ar<2.1,False,small-vehicle|small|1.6<=ar<2.1,86.531765,83.853326,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
0d1772ab77c27577,SODA-A,02424__800__600___0,141,small-vehicle,small,2.226309,ar>=2.1,True,small-vehicle|small|ar>=2.1,146.888731,149.237280,0,0,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,COMPLETE,True
b293c1b40edf40fc,FAIR1M-v1.0,16139__1024__0___0,41,Van,small,3.0,ar>=2.1,True,Van|small|ar>=2.1,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,AMBIGUOUS|AMBIGUOUS,False
d86f87aaf790b25f,DIOR-R,23300,2,overpass,large,4.078014,ar>=2.1,True,overpass|large|ar>=2.1,,,1,1,8e8d4b61ea982f03a0fdefaca4068be0ac64d1f363bae1005adde8cfe8c7c0b1,e99ce31344fc741606a880e8655161cfd65454a4dc336650fcd5249bdddbbfec,SKIP|SKIP,False
