artifact,role,bytes,sha256,status,persistent,can_recompute,depends_on_dev_shm
docs/m4_optional_third_dataset_extension.md,frozen protocol,3735,b243c41ad752551fda2d767cf63687fba86151e5a51c20d90679dc1180d6547b,COMPLETE,True,True,False
reports/m4_third_dataset_pilot_results.csv,pilot results,1661,c7a438bf04065812c79df96065218b6059062bf2a98e4004891b3683ce4b1ace,COMPLETE,True,True,False
reports/m4_third_dataset_lr_selection.csv,LR selection,624,677256cde2c549c48d96ec85947333e878c5f47d2850b3e20c361974556da672,COMPLETE,True,True,False
reports/m4_third_dataset_seed_results.csv,seed results,5207,2442a178cd8c721b389e7215bec1e512b74e55d6fac9d04694fd447e2d6c0b9e,COMPLETE,True,True,False
reports/m4_third_dataset_seed_variance.csv,seed variance,554,47f2a4cd541d580f8780696358a608bfba6fc2cb8d1c644df117e87a71633dac,COMPLETE,True,True,False
reports/m4_third_dataset_bootstrap_intervals.csv,image cluster bootstrap,2461,1f8cb8dc7c0434f5a53d2cdf88b59e25fe1c908cca42f5b44a496ee17d41f3d4,COMPLETE,True,True,False
reports/m4_optional_third_dataset_results.csv,strata and decision,13195,1f81330af3cdb036d411ced7b8b4d4add76b3bfa1fd0e76cb526993acbc0c778,COMPLETE,True,True,False
configs/m4_third_dataset_070/fair1m_psc.py,frozen config,2361,8456a0b4c3e08e706576764beb95434a3e8b62b2052a6bce5fa72cea75d2d4bf,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed0.pth,weights-only final checkpoint,149239826,194de87e72248cc15e6941e040e7d8660cdf3615685fd462deca1d7946cb75a1,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed0.json,full-val evaluation,2418,2c66fb2a97ff4cddf94ddacae2078a44fce003de58ff8e10ff860cc5105104e4,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed0_matched.npz,compressed matched native endpoint,1402432,92dd46aa8e585002f7aae9f3381e92f6c5d512b978b579895e658dbe43eaf41f,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__PSC__FAIR1M__seed0.log,training and evaluation log,341360,df8d931b1996a2905cf380a17d28590763387512630d52901603df067cce9ce0,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed1.pth,weights-only final checkpoint,149239826,e1e3b1ae09ac4acba91f76cce601d5288b4b357df2eb113793b4129bf83cda9a,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed1.json,full-val evaluation,2422,ee9a6b42d60315f78249ba3898dac1ebf56539776658ed21829cfcce5ad04c52,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed1_matched.npz,compressed matched native endpoint,1405680,0e395d29a6cd26bbdcda76969dd8a33681043dea824c5ce82a40a04e41e19b35,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__PSC__FAIR1M__seed1.log,training and evaluation log,341397,5b69eebeebef1ffe563bf344d86df145420c88e6c5c66afa1c4760a7e957415c,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed2.pth,weights-only final checkpoint,149239826,60d0d05b3f78755429363261414917a3d44e3f664ac5f6ae0a78cb864899de36,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed2.json,full-val evaluation,2419,5b9752478cada1d1606ee49447bbc6be5dc44b1ad34e9010d2a5122f78f19fb2,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed2_matched.npz,compressed matched native endpoint,1396958,2ffdfc82ba6fb5dee92f798dd8aa53a1f111fbe0f816dbadd5b64baf3ae89396,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__PSC__FAIR1M__seed2.log,training and evaluation log,341685,bd1ba14a60c7c469dc2b5a553c15b959d9436cea445cada45a475cc62ae55cc7,COMPLETE,True,True,False
configs/m4_third_dataset_070/fair1m_csl.py,frozen config,377,a1595063c7bddb58ca389135f6b93326d8b4a7b6c46ba97fe641959503ad355a,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed0.pth,weights-only final checkpoint,152476178,b5884ea5d830607c72d8d33a389f59e7c7eab66cb141e8793a06b6c6a8cea712,COMPLETE,True,True,False
