run_id,head,seed,dataset,endpoint,estimate,ci_lo,ci_hi,unit,replicates
M4_070_final__PSC__FAIR1M__seed0,PSC,0,FAIR1M-v1.0,angle_error_NRC,1.1245328636007912,1.1012,1.1476,complete_evaluation_image,800
M4_070_final__PSC__FAIR1M__seed0,PSC,0,FAIR1M-v1.0,geometry_severe_NRC,1.5937733525341469,1.3444,1.8523,complete_evaluation_image,800
M4_070_final__PSC__FAIR1M__seed1,PSC,1,FAIR1M-v1.0,angle_error_NRC,1.1256232041976566,1.1046,1.1486,complete_evaluation_image,800
M4_070_final__PSC__FAIR1M__seed1,PSC,1,FAIR1M-v1.0,geometry_severe_NRC,1.2340291737241802,1.0456,1.4401,complete_evaluation_image,800
M4_070_final__PSC__FAIR1M__seed2,PSC,2,FAIR1M-v1.0,angle_error_NRC,1.1163190858790317,1.0927,1.1412,complete_evaluation_image,800
M4_070_final__PSC__FAIR1M__seed2,PSC,2,FAIR1M-v1.0,geometry_severe_NRC,1.1493507336960695,0.94,1.3597,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed0,CSL,0,FAIR1M-v1.0,angle_error_NRC,1.0518572735768452,1.0041,1.0966,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed0,CSL,0,FAIR1M-v1.0,geometry_severe_NRC,1.0655528812126163,1.0184,1.1099,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed1,CSL,1,FAIR1M-v1.0,angle_error_NRC,1.0458532671895882,1.0181,1.0737,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed1,CSL,1,FAIR1M-v1.0,geometry_severe_NRC,1.1242976346586866,1.0888,1.1528,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed2,CSL,2,FAIR1M-v1.0,angle_error_NRC,0.8244209597301112,0.7922,0.858,complete_evaluation_image,800
M4_070_final__CSL__FAIR1M__seed2,CSL,2,FAIR1M-v1.0,geometry_severe_NRC,0.8441879064828038,0.7987,0.8892,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed0,DCL,0,FAIR1M-v1.0,angle_error_NRC,0.5439254522878019,0.5275,0.5598,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed0,DCL,0,FAIR1M-v1.0,geometry_severe_NRC,0.36525825629160236,0.324,0.4073,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed1,DCL,1,FAIR1M-v1.0,angle_error_NRC,0.5591187194891056,0.5422,0.5768,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed1,DCL,1,FAIR1M-v1.0,geometry_severe_NRC,0.3880386704933534,0.3462,0.4364,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed2,DCL,2,FAIR1M-v1.0,angle_error_NRC,0.5491750619021006,0.5338,0.5657,complete_evaluation_image,800
M4_070_final__DCL__FAIR1M__seed2,DCL,2,FAIR1M-v1.0,geometry_severe_NRC,0.4239120246867459,0.3788,0.47,complete_evaluation_image,800
