unit,field,status,source_path,source_column,transform_needed,transform_source_path,transform_line,witness
A,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
A,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
A,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,class_id,,,,frozen class label
A,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/A.parquet,detection_score,,,,frozen detector confidence
A,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
A,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
A,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
A,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
A,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,image_id,,,,frozen identifier
A,mother_scene_id,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,image_id,identity(image_id),/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,104-106,non-tiled image is its cluster
