unit,source_role,source_path,key_type,schema,row_count,unique_key_count,duplicate_count,finite_count,missing_count,cohort_key_count,cohort_missing_count,cohort_drop_count,extra_count,extras_sorted_key_sha256,status
A,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,43848,43848,0,43848,0,43848,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
A,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,row_key,image_id|pred_id,556660,556660,0,556660,0,43848,0,0,512812,358976379e1294b88ed8c7f52c2d0ca82f4fec74c487ab49004cc8a98e48f4df,PASS
A,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/A.parquet,row_key,image_id|pred_id,556660,556660,0,556660,0,43848,0,0,512812,358976379e1294b88ed8c7f52c2d0ca82f4fec74c487ab49004cc8a98e48f4df,PASS
A,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,87224,87224,0,87224,0,43848,0,0,43376,825588b7a26e90747dfa3b95a6832ce66a3fdfe894069cf4fdb743f050d986fb,PASS
A,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/image_universe.csv,image_id,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,11738,0,11738,0,5368,0,0,6370,e48668cb65d8b051dd21c5553b96b16de4a0875090b8c1e7c37c5f6144e0fd4a,PASS
A,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,row_key,image_id|pred_id|class_id,556660,556660,0,556660,0,43848,0,0,512812,358976379e1294b88ed8c7f52c2d0ca82f4fec74c487ab49004cc8a98e48f4df,PASS
B,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,47887,47887,0,47887,0,47887,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
B,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,row_key,image_id|pred_id,177967,177967,0,177967,0,47887,0,0,130080,12d34de0020a8e31eed884aa5c843b5288fa9861deaabd3b2dfaff7770e83275,PASS
B,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/B.parquet,row_key,image_id|pred_id,177967,177967,0,177967,0,47887,0,0,130080,12d34de0020a8e31eed884aa5c843b5288fa9861deaabd3b2dfaff7770e83275,PASS
B,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,95169,95169,0,95169,0,47887,0,0,47282,76fbfdc13ab2f4a14310fd18eb0807e4833f3975ce25b0a8197d8f6263ec6b10,PASS
