unit,dataset,detector,semantic_role,absolute_path,exists,bytes,sha256,format,schema,row_count,read_only,witness_source
A,DIOR-R,Rotated RetinaNet PSC,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
A,DIOR-R,Rotated RetinaNet PSC,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,True,106414303,1680039b73ea6419143621ac5776713f2232b1f1bca953d22ba452dae3990800,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,556660,True,frozen existing asset; r032 read-only
A,DIOR-R,Rotated RetinaNet PSC,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/A.parquet,True,14113964,65a38d8dc6e8818f459cb248a9cf90949157010dce2bb11469f5f5b5c161181a,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,556660,True,frozen existing asset; r032 read-only
A,DIOR-R,Rotated RetinaNet PSC,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,True,133273156,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,87224,True,frozen existing asset; r032 read-only
A,DIOR-R,Rotated RetinaNet PSC,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/image_universe.csv,True,1658312,3f1d2ef764c3f6e383e2b9e6285ed947a26f25b9707104bd8d9fb875408d4b0d,csv,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,True,frozen existing asset; r032 read-only
B,DIOR-R,Oriented R-CNN,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
B,DIOR-R,Oriented R-CNN,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,True,76778217,a4a56429d092ae5f2b99eae5bdbad6033b2bc1d3e9db3cd205534903ccdbabb5,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,177967,True,frozen existing asset; r032 read-only
B,DIOR-R,Oriented R-CNN,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/B.parquet,True,5147240,a7b16608a3495d466de005e998e8ee83803d35bc0222c6c2b398caac9c3b4285,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,177967,True,frozen existing asset; r032 read-only
B,DIOR-R,Oriented R-CNN,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,True,132369719,e1772d642990fb45ee00d31a2cc62b8fd468d0e1a99e009e0430e91e51082513,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,95169,True,frozen existing asset; r032 read-only
B,DIOR-R,Oriented R-CNN,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/image_universe.csv,True,1652313,644ccaa922986d3597049680924a63555975e8a61f8ac26fccf744ff41c5edee,csv,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,True,frozen existing asset; r032 read-only
C,DIOR-R,Rotated RTMDet-S,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
C,DIOR-R,Rotated RTMDet-S,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,True,90348339,79b8b9299b7e758bbad663f4a55e94eaca186de14337212f8f1542c02fd38e44,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,358782,True,frozen existing asset; r032 read-only
C,DIOR-R,Rotated RTMDet-S,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/C.parquet,True,9067953,1724d7bda74542d6f4b02d1ea29e9e1eb19a3880a4c3c2b826acbbeab74e9d67,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,358782,True,frozen existing asset; r032 read-only
C,DIOR-R,Rotated RTMDet-S,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,True,132382835,91d4b372e5340a4849af680d82a3973be0999b2778e89375116067fa6009ea2e,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,94961,True,frozen existing asset; r032 read-only
C,DIOR-R,Rotated RTMDet-S,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/image_universe.csv,True,1655606,52c04690d415a66b59ff9d30d58f97ae836d71d62e543c8e278b707d4565bc77,csv,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,True,frozen existing asset; r032 read-only
D,FAIR1M-v1.0,Rotated RetinaNet PSC,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
D,FAIR1M-v1.0,Rotated RetinaNet PSC,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,True,56298120,3d88592b74e3b6ee51515ab530c9020f07518f26ca74c69a84b90ca408d104af,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,488194,True,frozen existing asset; r032 read-only
D,FAIR1M-v1.0,Rotated RetinaNet PSC,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/D.parquet,True,11574260,1807dc207596f2a26aaee992dd96efd972da36f4bcf7ce82edf1a434c83c8d4a,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,488194,True,frozen existing asset; r032 read-only
D,FAIR1M-v1.0,Rotated RetinaNet PSC,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,True,86428641,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,54768,True,frozen existing asset; r032 read-only
D,FAIR1M-v1.0,Rotated RetinaNet PSC,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/image_universe.csv,True,719167,5cec906c601469dff58a2e6a26293d54613cc7f162c458f6a5abde0cb0f76586,csv,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,4362,True,frozen existing asset; r032 read-only
E,SODA-A,Rotated RetinaNet PSC,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
E,SODA-A,Rotated RetinaNet PSC,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,True,235374169,00e690cd03d5ff00cdd73b87a0c0bec1ad0d1e22889c2da3693975f203252f0b,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,1663631,True,frozen existing asset; r032 read-only
E,SODA-A,Rotated RetinaNet PSC,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/E.parquet,True,40344077,e3ef91a92370cbd3cfd2e76fae46f430c8024b73ec9dd56e64c274c531d3e4bd,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,1663631,True,frozen existing asset; r032 read-only
E,SODA-A,Rotated RetinaNet PSC,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,True,482776147,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,309218,True,frozen existing asset; r032 read-only
E,SODA-A,Rotated RetinaNet PSC,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,True,1418786,7bf9cc5698b0af2796fbb990e387603f3284231e541b1d711fd35c576e8b787f,csv,dataset|tile_id|mother_scene_id|mapping_source|verified,22994,True,frozen existing asset; r032 read-only
F,SODA-A,Oriented R-CNN,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
F,SODA-A,Oriented R-CNN,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,True,161849746,c3875f572b6c909b39ab4b5797d60963cf097969aca9ca4eb68a3f50c2caad75,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|u_axis|iou_loss|center_dispersion|width_dispersion|height_dispersion|score_dispersion|association_margin,749109,True,frozen existing asset; r032 read-only
F,SODA-A,Oriented R-CNN,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/F.parquet,True,19765066,fa27f7fed94c410d8bd27a106e96587d6b330d1c38e3f4f0c10986ee3f2367db,parquet,image_id|pred_id|detection_score|score_ar_size_linear|nonlinear_geometry|standalone_equivariance|EQS,749109,True,frozen existing asset; r032 read-only
F,SODA-A,Oriented R-CNN,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,True,528736628,dd7f37b067a569541140a1bad49bf6ae3a5aea7b0f9eff031ef3fe9a9a2c723f,jsonl,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,376754,True,frozen existing asset; r032 read-only
