heldout_dataset,unit,seed,n,clusters,l2,lambda_,delta_NRC,ci_low,ci_high,risk70_ci_low,risk90_ci_low,standalone_NRC,standalone_AUGRC,standalone_Risk70,standalone_Risk90,gr_eqs_NRC,gr_eqs_AUGRC,gr_eqs_Risk70,gr_eqs_Risk90
DIOR-R,A,20260830,25080,3497,0.1,0.0,-0.01641951581105694,-0.02888756735894793,-0.00445111270426396,-0.01218069364854144,-0.005036726466872999,0.9197177387709545,1.468759172798816,1.5506440737913274,1.551795843850841,0.9361372545820115,1.4857477735648166,1.5554680984111595,1.551884702101871
DIOR-R,B,20260830,27682,3643,0.1,0.0,0.024515147380568925,0.004737439872430124,0.04310760713782606,-0.01142614148547424,-0.002500033336212604,0.962448648995218,1.516310659171874,1.541665140767143,1.5502626434161966,0.9379335016146491,1.491078534724812,1.5449995201517088,1.549055045413797
DIOR-R,C,20260830,27410,3697,0.1,0.0,0.008421624873250044,0.0030808677480434143,0.01385944781226915,-0.01169886753043663,-0.006419517916769979,1.0368284710713436,2.1988247691252627,2.1990777709558205,2.170214691916219,1.0284068461980935,2.1900000471973358,2.202843306843622,2.1714596665074737
DIOR-R,A,20260831,25080,3497,0.1,0.0,-0.016387451703999356,-0.029245198810395,-0.0041408948006975525,-0.01251018849511043,-0.005065862316935499,0.9197177387709545,1.468759172798816,1.5506440737913274,1.551795843850841,0.9361051904749539,1.4857145981460047,1.5555520063173107,1.5518657280607016
DIOR-R,B,20260831,27682,3643,0.1,0.0,0.024573978332559476,0.0050586944808757835,0.04349997670981298,-0.011251959715779674,-0.002306424387403111,0.962448648995218,1.516310659171874,1.541665140767143,1.5502626434161966,0.9378746706626585,1.4910179831858423,1.5451549154513005,1.5488509733481712
DIOR-R,C,20260831,27410,3697,0.1,0.0,0.008728354269341487,0.0030836394751078827,0.014224362932284965,-0.01149028860900796,-0.006351853866948786,1.0368284710713436,2.1988247691252627,2.1990777709558205,2.170214691916219,1.028100116802002,2.189678636345111,2.2029786753387595,2.171762083819143
DIOR-R,A,20260832,25080,3497,0.1,0.0,-0.016760160400669966,-0.029419419132519362,-0.004604870534513862,-0.012237811050950082,-0.00503993799665236,0.9197177387709545,1.468759172798816,1.5506440737913274,1.551795843850841,0.9364778991716245,1.4861002245751038,1.555675280830412,1.5518819574981926
DIOR-R,B,20260832,27682,3643,0.1,0.0,0.02411899458432898,0.0051482042441275445,0.04283248273719825,-0.011255117339549226,-0.002428981191686025,0.962448648995218,1.516310659171874,1.541665140767143,1.5502626434161966,0.938329654410889,1.4914862735199172,1.5447641222211719,1.549156673823082
DIOR-R,C,20260832,27410,3697,0.1,0.0,0.007914219450240845,0.0024777056099099084,0.013403585234062087,-0.011570800786467295,-0.006345867329526323,1.0368284710713436,2.1988247691252627,2.1990777709558205,2.170214691916219,1.0289142516211027,2.1905317393387183,2.2024735994116678,2.171545737089389
FAIR1M-v1.0,D,20260830,15199,1231,0.001,2.0,-0.0021725755460535456,-0.023299665402437764,0.0194480114442696,-0.017370701453329706,-0.003134439025125363,1.0573498905295364,1.8653319473288323,1.8214362747400492,1.8068229738607362,1.05952246607559,1.867648329953854,1.8249842926783506,1.8069815994293112
FAIR1M-v1.0,D,20260831,15199,1231,0.1,2.0,-0.02103887917251357,-0.03463265115744077,-0.007568383635976124,-0.018817533049037695,-0.004952526811408381,1.0573498905295364,1.8653319473288323,1.8214362747400492,1.8068229738607362,1.07838876970205,1.887763431588913,1.8289969900376457,1.8076746351646726
FAIR1M-v1.0,D,20260832,15199,1231,0.001,2.0,-0.006259492228872121,-0.030082490591490624,0.01744210878635059,-0.02364746317833985,-0.004192368949438652,1.0573498905295364,1.8653319473288323,1.8214362747400492,1.8068229738607362,1.0636093827584086,1.8720057677475304,1.831756007756431,1.8081351653321587
SODA-A,E,20260830,100921,417,0.1,2.0,0.00896257756817842,-0.017487151422038612,0.03510294999947285,-0.006754945224932773,-0.002812337224724826,0.909886879794672,1.4833736259437629,1.5192790103612999,1.5534356185755263,0.9009243022264936,1.4740935767163406,1.515592922585796,1.5532391611193124
SODA-A,F,20260830,120686,419,0.1,2.0,-0.007773590447401224,-0.02815024665935607,0.012299485736097196,-0.009611066699655524,-0.003291372286560984,0.9010852649614852,1.5127560297926035,1.5620699107882265,1.5934824354198713,0.9088588554088864,1.5208487777268573,1.5607297035225935,1.5935122347791217
SODA-A,E,20260831,100921,417,1e-05,2.0,-0.05465787556067214,-0.1221606402288466,0.012752998807446445,-0.09847590451660522,-0.009302765847235706,0.909886879794672,1.4833736259437629,1.5192790103612999,1.5534356185755263,0.9645447553553441,1.5399675881171302,1.5642907050729689,1.5511271021454254
SODA-A,F,20260831,120686,419,1e-05,2.0,-0.03462782562482547,-0.10821472247831376,0.03642425110230687,-0.10019862925294151,-0.0122248216725509,0.9010852649614852,1.5127560297926035,1.5620699107882265,1.5934824354198713,0.9357130905863107,1.5488055575094504,1.596272776276107,1.5932304922915983
SODA-A,E,20260832,100921,417,1e-05,0.0,-0.05204926598347348,-0.11644990736206547,0.013760305594667009,-0.08055079967508395,-0.004240374544052399,0.909886879794672,1.4833736259437629,1.5192790103612999,1.5534356185755263,0.9619361457781455,1.537266576593673,1.5558414020990738,1.550215796256925
SODA-A,F,20260832,120686,419,1e-05,0.0,-0.03513067846909723,-0.105165089579844,0.0327519419291652,-0.07366458649528496,-0.005608962097171594,0.9010852649614852,1.5127560297926035,1.5620699107882265,1.5934824354198713,0.9362159434305825,1.5493290558007804,1.5844272845212026,1.5915933608028143
