aspect_ratio,delta_theta_deg,iou
1.0,0,1.0
1.0,5,0.9230623464972042
1.0,10,0.8632179900134448
1.0,15,0.816496580927726
1.0,20,0.7802060087098792
1.0,25,0.7524873193057124
1.0,30,0.7320508075688774
1.0,35,0.718015043061691
1.0,40,0.7098078142164798
1.0,45,0.7071067811865476
1.0,50,0.7098078142164795
1.0,55,0.718015043061691
1.0,60,0.7320508075688774
1.0,65,0.7524873193057121
1.0,70,0.7802060087098789
1.0,75,0.8164965809277261
1.0,80,0.8632179900134445
1.0,85,0.9230623464972039
1.0,90,0.9999999999999999
1.2,0,1.0
1.2,5,0.9217126085979799
1.2,10,0.8606514515795597
1.2,15,0.8127565246250531
1.2,20,0.7752642109410558
1.2,25,0.7462491183058135
1.2,30,0.7243501703088318
1.2,35,0.7085995344916898
1.2,40,0.6983105355707606
1.2,45,0.6929984606808733
1.2,50,0.6923152940993885
1.2,55,0.6959781009480819
1.2,60,0.703656532034961
1.2,65,0.714737884476233
1.2,70,0.7277324399945526
1.2,75,0.7384764983919766
1.2,80,0.7333859083256858
1.2,85,0.7189758632417991
1.2,90,0.7142857142857145
1.5,0,1.0
1.5,5,0.9163325507418971
1.5,10,0.8504556173026018
1.5,15,0.7979490523605428
1.5,20,0.7557683724080224
1.5,25,0.7217341929295803
1.5,30,0.6942203920806809
1.5,35,0.6719473875397811
1.5,40,0.6538271465543112
1.5,45,0.6388225099390857
1.5,50,0.6257837130186233
1.5,55,0.6132077748219034
1.5,60,0.598816130063579
1.5,65,0.5787128902659177
1.5,70,0.5497290801526713
1.5,75,0.5269321673038854
1.5,80,0.5116598952536621
1.5,85,0.5028703603125529
1.5,90,0.5
2.0,0,1.0
2.0,5,0.9030132834383662
2.0,10,0.8254482895921427
2.0,15,0.7619675441078824
2.0,20,0.7088521097426527
2.0,25,0.6633561368693257
2.0,30,0.6233096782319107
2.0,35,0.5868465050354651
2.0,40,0.5521871029897741
2.0,45,0.517428249943598
2.0,50,0.48029330904723727
2.0,55,0.43924993770743687
2.0,60,0.40582741955797763
2.0,65,0.38091883859674425
2.0,70,0.36248031726818203
2.0,75,0.3491981862085498
2.0,80,0.3402250438637472
2.0,85,0.3350332033172155
2.0,90,0.3333333333333333
3.0,0,1.0
3.0,5,0.8705113045286406
3.0,10,0.7657904151127214
3.0,15,0.6780142693985987
3.0,20,0.6018440640903187
3.0,25,0.5333773229390717
3.0,30,0.4695423502417954
3.0,35,0.40771711165414365
3.0,40,0.35005111434409275
3.0,45,0.3083906286540756
3.0,50,0.2780661432813854
3.0,55,0.25543356584327553
3.0,60,0.23831355471948587
3.0,65,0.22533450625797638
3.0,70,0.21560293775201986
3.0,75,0.208526439340909
3.0,80,0.20371384526247238
3.0,85,0.20091746192150184
3.0,90,0.2
5.0,0,1.0
5.0,5,0.8015871758618487
5.0,10,0.6453416502266486
5.0,15,0.5161907649278515
5.0,20,0.4047955777172862
5.0,25,0.30996385468214377
5.0,30,0.25000000000000017
5.0,35,0.2111591547301425
5.0,40,0.1842341243893724
5.0,45,0.1647156696299077
5.0,50,0.15014013108752353
5.0,55,0.13905265346060106
5.0,60,0.13054397348438362
5.0,65,0.12402211860996774
5.0,70,0.11909119780808033
5.0,75,0.11548333236410184
5.0,80,0.11301890117888722
5.0,85,0.1115828962310629
5.0,90,0.1111111111111111
8.0,0,1.0
8.0,5,0.7032434254019679
8.0,10,0.4864594119990934
8.0,15,0.3183593317060072
8.0,20,0.22359748122760978
8.0,25,0.17355409775081793
8.0,30,0.14285714285714288
8.0,35,0.12229090514568405
8.0,40,0.1077052119616363
8.0,45,0.09695833463767531
8.0,50,0.08883589460663324
8.0,55,0.08260071517910163
8.0,60,0.077782232777754
8.0,65,0.07406900121115542
8.0,70,0.07125002937667671
8.0,75,0.06918110837801303
8.0,80,0.06776479954318754
8.0,85,0.06693836874915905
8.0,90,0.06666666666666667
