dataset,baseline_a,baseline_b,delta_NRC,delta_AURC
DIOR-R,22,3,0.011267403082526384,0.16657779377428805
DIOR-R,22,61,0.10220124141748865,0.10044519231285998
DIOR-R,22,10,0.009627727835963329,0.1538232547068379
DIOR-R,3,61,0.09093383833496227,0.06613260146142808
DIOR-R,3,10,0.0016396752465630549,0.012754539067450166
DIOR-R,61,10,0.09257351358152532,0.05337806239397791
FAIR1M-v1.0,24,5,0.09549890779431536,0.04119136388948963
FAIR1M-v1.0,24,12,0.07777054545514295,0.058570114577164656
FAIR1M-v1.0,5,12,0.01772836233917241,0.09976147846665429
SODA-A,23,4,0.25948598732597317,0.09192909935357108
SODA-A,23,11,0.2533619351656544,0.2975467028169334
SODA-A,4,11,0.006124052160318749,0.20561760346336233
