cell_id,bin_start_deg,bin_end_deg,count,fraction,source
DIOR-R/22,0,5,2645,0.8816666666666667,052_permatched_phase_mod_full
DIOR-R/22,5,10,216,0.072,052_permatched_phase_mod_full
DIOR-R/22,10,15,10,0.0033333333333333335,052_permatched_phase_mod_full
DIOR-R/22,15,20,1,0.0003333333333333333,052_permatched_phase_mod_full
DIOR-R/22,20,25,1,0.0003333333333333333,052_permatched_phase_mod_full
DIOR-R/22,25,30,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,30,35,2,0.0006666666666666666,052_permatched_phase_mod_full
DIOR-R/22,35,40,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,40,45,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,45,50,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,50,55,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,55,60,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,60,65,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,65,70,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,70,75,0,0.0,052_permatched_phase_mod_full
DIOR-R/22,75,80,1,0.0003333333333333333,052_permatched_phase_mod_full
DIOR-R/22,80,85,19,0.006333333333333333,052_permatched_phase_mod_full
DIOR-R/22,85,90,105,0.035,052_permatched_phase_mod_full
DOTA-v1.0/20,0,5,1578,0.878619153674833,052_permatched_phase_mod_full
DOTA-v1.0/20,5,10,156,0.08685968819599109,052_permatched_phase_mod_full
DOTA-v1.0/20,10,15,13,0.007238307349665924,052_permatched_phase_mod_full
DOTA-v1.0/20,15,20,7,0.0038975501113585748,052_permatched_phase_mod_full
DOTA-v1.0/20,20,25,5,0.0027839643652561247,052_permatched_phase_mod_full
DOTA-v1.0/20,25,30,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,30,35,2,0.0011135857461024498,052_permatched_phase_mod_full
DOTA-v1.0/20,35,40,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,40,45,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,45,50,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,50,55,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,55,60,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,60,65,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,65,70,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,70,75,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,75,80,0,0.0,052_permatched_phase_mod_full
DOTA-v1.0/20,80,85,3,0.0016703786191536749,052_permatched_phase_mod_full
DOTA-v1.0/20,85,90,32,0.017817371937639197,052_permatched_phase_mod_full
FAIR1M-v1.0/24,0,5,4331,0.7907613657111557,052_permatched_phase_mod_full
FAIR1M-v1.0/24,5,10,846,0.15446412269490598,052_permatched_phase_mod_full
FAIR1M-v1.0/24,10,15,112,0.020449150995070293,052_permatched_phase_mod_full
FAIR1M-v1.0/24,15,20,34,0.0062077779806463396,052_permatched_phase_mod_full
FAIR1M-v1.0/24,20,25,8,0.001460653642505021,052_permatched_phase_mod_full
FAIR1M-v1.0/24,25,30,1,0.00018258170531312764,052_permatched_phase_mod_full
FAIR1M-v1.0/24,30,35,1,0.00018258170531312764,052_permatched_phase_mod_full
FAIR1M-v1.0/24,35,40,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,40,45,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,45,50,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,50,55,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,55,60,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,60,65,1,0.00018258170531312764,052_permatched_phase_mod_full
FAIR1M-v1.0/24,65,70,0,0.0,052_permatched_phase_mod_full
FAIR1M-v1.0/24,70,75,2,0.0003651634106262553,052_permatched_phase_mod_full
FAIR1M-v1.0/24,75,80,1,0.00018258170531312764,052_permatched_phase_mod_full
FAIR1M-v1.0/24,80,85,14,0.0025561438743837866,052_permatched_phase_mod_full
FAIR1M-v1.0/24,85,90,126,0.02300529486945408,052_permatched_phase_mod_full
SODA-A/23,0,5,24044,0.7775693680874458,052_permatched_phase_mod_full
SODA-A/23,5,10,4594,0.14856736304249402,052_permatched_phase_mod_full
SODA-A/23,10,15,924,0.029881637668973546,052_permatched_phase_mod_full
SODA-A/23,15,20,249,0.00805251924196365,052_permatched_phase_mod_full
SODA-A/23,20,25,111,0.0035896772524416274,052_permatched_phase_mod_full
SODA-A/23,25,30,43,0.0013905956923872971,052_permatched_phase_mod_full
SODA-A/23,30,35,23,0.0007438069982536705,052_permatched_phase_mod_full
SODA-A/23,35,40,15,0.0004850915206002199,052_permatched_phase_mod_full
SODA-A/23,40,45,5,0.00016169717353340665,052_permatched_phase_mod_full
SODA-A/23,45,50,13,0.00042041265118685726,052_permatched_phase_mod_full
SODA-A/23,50,55,3,9.701830412004398e-05,052_permatched_phase_mod_full
SODA-A/23,55,60,3,9.701830412004398e-05,052_permatched_phase_mod_full
SODA-A/23,60,65,6,0.00019403660824008796,052_permatched_phase_mod_full
SODA-A/23,65,70,4,0.0001293577388267253,052_permatched_phase_mod_full
SODA-A/23,70,75,14,0.0004527520858935386,052_permatched_phase_mod_full
SODA-A/23,75,80,16,0.0005174309553069012,052_permatched_phase_mod_full
SODA-A/23,80,85,148,0.004786236336588837,052_permatched_phase_mod_full
SODA-A/23,85,90,707,0.0228639803376237,052_permatched_phase_mod_full
