stratifier,stratum,n,high_minus_low_error,phase_error_spearman,source
dataset,DIOR-R,29994,0.3602101349830251,0.1364132508020027,052_permatched_phase_mod_full
dataset,DOTA-v1.0,17960,0.7186050908223462,-0.01268226530645961,052_permatched_phase_mod_full
dataset,FAIR1M-v1.0,54768,0.28270954552770977,0.02349167206326054,052_permatched_phase_mod_full
dataset,SODA-A,309218,-0.632679146604632,0.014661026982544945,052_permatched_phase_mod_full
class,A220,1203,-0.3193186847639069,0.05627603598940463,052_permatched_phase_mod_full
class,A321,459,-2.222812461126374,-0.006690508348895827,052_permatched_phase_mod_full
class,A330,311,-7.657410536914561,-0.057297234653288974,052_permatched_phase_mod_full
class,A350,194,-0.858873005997733,0.02383020547163623,052_permatched_phase_mod_full
class,Baseball Field,197,-4.331067744559664,-0.12698134900862884,052_permatched_phase_mod_full
class,Basketball Court,272,2.9733051502064862,0.07167655668678065,052_permatched_phase_mod_full
class,Boeing737,728,3.167073628336839,0.014015749544962486,052_permatched_phase_mod_full
class,Boeing747,317,6.342196269761027,-0.13587486271247193,052_permatched_phase_mod_full
class,Boeing777,260,-2.068273993923823,-0.09054971074862611,052_permatched_phase_mod_full
class,Boeing787,293,7.236911278097924,0.02555052881012117,052_permatched_phase_mod_full
class,Bridge,108,-0.9900917291665026,-0.01884887083021726,052_permatched_phase_mod_full
class,Cargo Truck,752,0.03972500600388873,0.0362243023215841,052_permatched_phase_mod_full
class,Dry Cargo Ship,1868,0.11017486229102436,-0.02247476791400555,052_permatched_phase_mod_full
class,Dump Truck,3289,0.38746661250736514,0.0017730633757666607,052_permatched_phase_mod_full
class,Engineering Ship,303,-0.9047530302719584,-0.017708538575364547,052_permatched_phase_mod_full
class,Expressway-Service-area,489,-1.3670458041480447,-0.10486353849595757,052_permatched_phase_mod_full
class,Expressway-toll-station,269,-1.1277063071374696,-0.07939053185127645,052_permatched_phase_mod_full
class,Fishing Boat,876,-0.21120712211611092,-0.08269599333061672,052_permatched_phase_mod_full
class,Football Field,190,1.1105690763329186,0.09303291917913313,052_permatched_phase_mod_full
class,Intersection,1010,0.9626894390901448,-0.06835076869518204,052_permatched_phase_mod_full
class,Liquid Cargo Ship,520,0.2424362381794234,0.0856006983018912,052_permatched_phase_mod_full
class,Motorboat,1326,0.6034538064618111,-0.01631942021886726,052_permatched_phase_mod_full
class,Passenger Ship,87,-0.30157838081849886,-0.14848363344754684,052_permatched_phase_mod_full
class,Roundabout,135,-0.35304303839677686,-0.06181866070949522,052_permatched_phase_mod_full
class,Small Car,19333,0.7372968917305478,0.05124758738811355,052_permatched_phase_mod_full
class,Tennis Court,528,-0.764416899899292,0.12856284359731343,052_permatched_phase_mod_full
class,Tugboat,347,-0.3134578545446445,-0.003702397439483853,052_permatched_phase_mod_full
class,Van,17492,0.6709767521317089,0.03754020442798988,052_permatched_phase_mod_full
class,Warship,122,-0.6207398544316759,-0.11716343929680788,052_permatched_phase_mod_full
class,airplane,16190,3.9866169207810422,0.059549890662608615,052_permatched_phase_mod_full
class,airport,179,-4.4476017571775905,-0.2981085096143787,052_permatched_phase_mod_full
class,baseball-diamond,83,5.591479849345099,0.028388965561059812,052_permatched_phase_mod_full
class,baseballfield,1083,2.847491971307683,0.13033561250124923,052_permatched_phase_mod_full
class,basketball-court,50,-0.2642964897662785,0.2956542617046819,052_permatched_phase_mod_full
class,basketballcourt,466,0.5395250775204432,0.33022302744602233,052_permatched_phase_mod_full
class,bridge,508,-0.33334756956763134,0.0963663240261694,052_permatched_phase_mod_full
class,chimney,275,-6.1357328118492775,-0.045430323830911924,052_permatched_phase_mod_full
class,container,37356,0.6444272218134697,0.11518584714821177,052_permatched_phase_mod_full
class,dam,136,-2.607799443741571,-0.27377987691426936,052_permatched_phase_mod_full
class,golffield,216,1.2488384781883664,0.15228688124412054,052_permatched_phase_mod_full
class,groundtrackfield,571,-0.3087878857575779,0.1492583184167662,052_permatched_phase_mod_full
class,harbor,1252,-0.9054863860874622,0.025913410208983013,052_permatched_phase_mod_full
class,helicopter,308,-0.18867839799013275,-0.1691042899733327,052_permatched_phase_mod_full
class,large-vehicle,6017,-0.09310491767661988,-0.06885052889946149,052_permatched_phase_mod_full
class,other-airplane,1858,-2.344074498546515,-0.018781747536792695,052_permatched_phase_mod_full
class,other-ship,267,0.7040723264860116,0.024952463692097096,052_permatched_phase_mod_full
class,other-vehicle,70,-1.136124351010893,-0.1923366284664509,052_permatched_phase_mod_full
class,overpass,554,-0.5913224315792607,-0.035347584742091896,052_permatched_phase_mod_full
class,plane,683,-0.840070555520466,0.02997095168977432,052_permatched_phase_mod_full
class,ship,58728,0.22652412926944931,0.03647888641510663,052_permatched_phase_mod_full
class,small-vehicle,183001,0.7300025971080317,-0.00018145967903354174,052_permatched_phase_mod_full
class,stadium,299,5.5286134771342255,0.06520707337737391,052_permatched_phase_mod_full
class,storage-tank,11600,-0.11062312596977364,0.012109857125146388,052_permatched_phase_mod_full
class,storagetank,1465,2.4398242573748306,0.033575634719139755,052_permatched_phase_mod_full
class,swimming-pool,14356,-2.258226554731664,-0.13921375980518402,052_permatched_phase_mod_full
class,tennis-court,684,0.4115844993161891,0.27265332568838946,052_permatched_phase_mod_full
class,tenniscourt,2552,0.3985702462919536,0.2195586154081597,052_permatched_phase_mod_full
class,trainstation,191,1.7806087574255787,0.03953568476164233,052_permatched_phase_mod_full
class,vehicle,5485,0.3809186096667858,0.10604588644766169,052_permatched_phase_mod_full
class,windmill,12097,-0.32411461923054574,-0.06403990875680601,052_permatched_phase_mod_full
size_bin,small,364097,-0.5186544303117682,0.01991142007174022,052_permatched_phase_mod_full
