cell_id,dataset,baseline_id,image_id,pred_id,score,n_tta_angles,circular_variance,theta_to_2theta,naive_linear_std_used,status
DIOR-R/3,DIOR-R,3,11725,0,0.9977754950523376,3,9.461392308951488e-06,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,1,0.9976968169212341,3,0.00012782218843088167,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,2,0.9869638085365295,3,0.0003022088564020864,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,3,0.9833852052688599,3,0.0005117146536198769,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,4,0.9622368812561035,3,5.542196671870503e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,5,0.8776479363441467,3,0.0016223849396878043,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,6,0.7536795735359192,3,3.701648093934473e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,7,0.7369892597198486,3,0.0036132190142890153,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,8,0.37584584951400757,1,0.0,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11725,9,0.356296181678772,1,0.0,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,0,0.9999567270278931,3,2.189480853009851e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,1,0.999956488609314,3,2.1879129552648813e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,2,0.9999562501907349,3,0.0003169630051121919,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,3,0.9999451637268066,3,0.00018788684435377956,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,4,0.9999414682388306,3,0.00020375924618842856,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11724,5,0.9999390840530396,3,0.0001593356397439072,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11723,0,0.9898819327354431,3,0.0009043455163155745,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11723,1,0.9885234236717224,3,0.0004005137636622358,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,0,0.9993100166320801,3,0.8461798353469623,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,1,0.9934306740760803,3,0.00042038739386007773,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,2,0.9226413369178772,3,0.0005016906997838966,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,3,0.4812200367450714,2,0.0005963043988527206,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,4,0.4646959602832794,2,6.315827223435377e-06,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11722,5,0.36607250571250916,3,0.0005633725872645767,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,0,0.9992998838424683,3,8.375480069111596e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,1,0.9990434050559998,3,4.497553638516116e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,2,0.9990399479866028,3,0.0001715483924157324,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,3,0.9990239143371582,3,0.0002996146011244871,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,4,0.9989834427833557,3,0.00012465192092436794,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,5,0.9989734888076782,3,9.97830241566966e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,6,0.9989317059516907,3,2.5538888156262374e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,7,0.9989221096038818,3,0.0005894995061042074,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,8,0.9987912774085999,3,4.5939963632335434e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,9,0.9987753033638,3,0.00017643677622203313,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,10,0.9987416863441467,3,0.00014640147375433177,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,11,0.9987277388572693,3,0.00015560962729999073,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,12,0.9986881613731384,3,0.0010828763545099873,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,13,0.9986703395843506,3,1.417678102799691e-06,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,14,0.9986546039581299,3,0.00012155614225506373,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,15,0.9986467957496643,3,0.00012500261229919651,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,16,0.998623251914978,3,0.00011189898883900984,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,17,0.9986165761947632,3,3.8970261526438676e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,18,0.9985465407371521,3,0.0002486728880209954,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,19,0.9984820485115051,3,2.4620346976700347e-06,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,20,0.9984538555145264,3,0.0005368566002323938,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,21,0.9983988404273987,3,6.38845247646902e-06,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,22,0.9983865022659302,3,4.106563727690471e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,23,0.9983757734298706,3,3.54704059447597e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,24,0.9982984662055969,3,0.00025944705898373055,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,25,0.9982960820198059,3,4.123185517712624e-05,True,False,recovered_from_persistent_tta_pkls
DIOR-R/3,DIOR-R,3,11721,26,0.9982946515083313,3,0.00021952457405516324,True,False,recovered_from_persistent_tta_pkls
