dataset,baseline_id,baseline,available,unavailable_reason,NRC,AURC,Risk@70,Risk@90,geometry_NRC,beats_geometry_aware_selector,uses_circular_statistics,real_artifact
DOTA-v1.0,20,TTA/local circular angle variance proxy,True,,0.6956890106576956,1.626600748435574,1.7544279226137032,1.9595478004093199,0.7717662349914439,True,True,True
DOTA-v1.0,20,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.7717662349914439,not_evaluated,True,True
DOTA-v1.0,20,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.7717662349914439,not_evaluated,True,True
DOTA-v1.0,20,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.7717662349914439,not_evaluated,True,True
DOTA-v1.0,20,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.7717662349914439,not_evaluated,True,True
DIOR-R,22,TTA/local circular angle variance proxy,True,,0.5506203849463494,1.0443266261516533,1.3898816547441908,1.5427923849236005,0.8154608084674859,True,True,True
DIOR-R,22,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.8154608084674859,not_evaluated,True,True
DIOR-R,22,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.8154608084674859,not_evaluated,True,True
DIOR-R,22,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.8154608084674859,not_evaluated,True,True
DIOR-R,22,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.8154608084674859,not_evaluated,True,True
FAIR1M-v1.0,24,TTA/local circular angle variance proxy,True,,0.769901659323516,1.964864665337231,2.306642476453242,2.341009649871552,0.7925847974133826,True,True,True
FAIR1M-v1.0,24,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.7925847974133826,not_evaluated,True,True
FAIR1M-v1.0,24,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.7925847974133826,not_evaluated,True,True
FAIR1M-v1.0,24,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.7925847974133826,not_evaluated,True,True
FAIR1M-v1.0,24,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.7925847974133826,not_evaluated,True,True
SODA-A,23,TTA/local circular angle variance proxy,True,,0.5461115014007858,1.5273196643341935,1.9493115085431645,2.167215354491123,0.6875373042066747,True,True,True
SODA-A,23,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.6875373042066747,not_evaluated,True,True
SODA-A,23,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.6875373042066747,not_evaluated,True,True
SODA-A,23,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.6875373042066747,not_evaluated,True,True
SODA-A,23,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.6875373042066747,not_evaluated,True,True
DIOR-R,3,TTA/local circular angle variance proxy,True,,0.5277145638360822,1.19674092289299,1.6043952660143654,1.7350425489853287,0.8121387605984445,True,True,True
DIOR-R,3,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.8121387605984445,not_evaluated,True,True
DIOR-R,3,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.8121387605984445,not_evaluated,True,True
DIOR-R,3,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.8121387605984445,not_evaluated,True,True
DIOR-R,3,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.8121387605984445,not_evaluated,True,True
DIOR-R,61,TTA/local circular angle variance proxy,True,,0.5487129029987438,1.2680049743239052,1.6721283439410606,1.8029584337074434,0.7025644880444266,True,True,True
DIOR-R,61,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.7025644880444266,not_evaluated,True,True
DIOR-R,61,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.7025644880444266,not_evaluated,True,True
DIOR-R,61,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.7025644880444266,not_evaluated,True,True
DIOR-R,61,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.7025644880444266,not_evaluated,True,True
DIOR-R,10,TTA/local circular angle variance proxy,True,,0.5579839159213307,1.21766725884884,1.6041672233586153,1.7201915174119373,0.8134405119740894,True,True,True
DIOR-R,10,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.8134405119740894,not_evaluated,True,True
DIOR-R,10,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.8134405119740894,not_evaluated,True,True
DIOR-R,10,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.8134405119740894,not_evaluated,True,True
DIOR-R,10,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.8134405119740894,not_evaluated,True,True
FAIR1M-v1.0,5,TTA/local circular angle variance proxy,True,,0.8155588845175946,2.2247969768075824,2.4847316880665327,2.5112905451665233,0.7138945993783951,False,True,True
FAIR1M-v1.0,5,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.7138945993783951,not_evaluated,True,True
FAIR1M-v1.0,5,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.7138945993783951,not_evaluated,True,True
FAIR1M-v1.0,5,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.7138945993783951,not_evaluated,True,True
FAIR1M-v1.0,5,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.7138945993783951,not_evaluated,True,True
FAIR1M-v1.0,12,TTA/local circular angle variance proxy,True,,0.8316543805917864,2.1200398187144365,2.350110915048795,2.3725495998590427,0.7130538021440925,False,True,True
FAIR1M-v1.0,12,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.7130538021440925,not_evaluated,True,True
FAIR1M-v1.0,12,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.7130538021440925,not_evaluated,True,True
FAIR1M-v1.0,12,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.7130538021440925,not_evaluated,True,True
FAIR1M-v1.0,12,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.7130538021440925,not_evaluated,True,True
SODA-A,4,TTA/local circular angle variance proxy,True,,0.5327252010613699,1.7666429449665142,2.2994389467315854,2.5243858087249653,0.593400966912855,True,True,True
SODA-A,4,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.593400966912855,not_evaluated,True,True
SODA-A,4,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.593400966912855,not_evaluated,True,True
SODA-A,4,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.593400966912855,not_evaluated,True,True
SODA-A,4,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.593400966912855,not_evaluated,True,True
SODA-A,11,TTA/local circular angle variance proxy,True,,0.5453067798431976,1.6027249001972816,2.067846105086271,2.254590204970801,0.5763798411931998,True,True,True
SODA-A,11,MC dropout circular variance,False,no MC-dropout inference artifacts found,,,,,0.5763798411931998,not_evaluated,True,True
SODA-A,11,checkpoint ensemble circular variance,False,no multi-checkpoint ensemble artifacts found,,,,,0.5763798411931998,not_evaluated,True,True
SODA-A,11,native entropy/angle quality,False,native angle-quality logits not persisted,,,,,0.5763798411931998,not_evaluated,True,True
SODA-A,11,GWD/KLD distribution uncertainty,False,no distributional detector output persisted,,,,,0.5763798411931998,not_evaluated,True,True
