assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,1,250b8d21953e1ad14ba8,DIOR-R,images/250b8d21953e1ad14ba8.jpg,,,,,,
m4-071-final-v1,A,2,7b9e7daa2b0bf916ba98,FAIR1M-v1.0,images/7b9e7daa2b0bf916ba98.jpg,,,,,,
m4-071-final-v1,A,3,e29bb5156aa1a38be608,FAIR1M-v1.0,images/e29bb5156aa1a38be608.jpg,,,,,,
m4-071-final-v1,A,4,897b9a80848f42732e8e,SODA-A,images/897b9a80848f42732e8e.jpg,,,,,,
m4-071-final-v1,A,5,c504bef8404e8e96f30a,DIOR-R,images/c504bef8404e8e96f30a.jpg,,,,,,
m4-071-final-v1,A,6,8d5cebd382f89bcc3557,FAIR1M-v1.0,images/8d5cebd382f89bcc3557.jpg,,,,,,
m4-071-final-v1,A,7,431d3be663dd2ef69516,SODA-A,images/431d3be663dd2ef69516.jpg,,,,,,
m4-071-final-v1,A,8,31c4337f5d70992eba7e,FAIR1M-v1.0,images/31c4337f5d70992eba7e.jpg,,,,,,
m4-071-final-v1,A,9,b59b8105cc6ead6adb83,SODA-A,images/b59b8105cc6ead6adb83.jpg,,,,,,
m4-071-final-v1,A,10,7dcabbf69e7b2b7ac99c,DIOR-R,images/7dcabbf69e7b2b7ac99c.jpg,,,,,,
m4-071-final-v1,A,11,56c17e0bbbebb42620e0,DIOR-R,images/56c17e0bbbebb42620e0.jpg,,,,,,
m4-071-final-v1,A,12,a0ebde863295fb32a959,DIOR-R,images/a0ebde863295fb32a959.jpg,,,,,,
m4-071-final-v1,A,13,0c14e8335e2a6e7063cc,SODA-A,images/0c14e8335e2a6e7063cc.jpg,,,,,,
m4-071-final-v1,A,14,68051c227fce1a120470,DIOR-R,images/68051c227fce1a120470.jpg,,,,,,
m4-071-final-v1,A,15,a870e79f56d0c9b509d1,DIOR-R,images/a870e79f56d0c9b509d1.jpg,,,,,,
m4-071-final-v1,A,16,cb269ca2ffc7dbc20029,DIOR-R,images/cb269ca2ffc7dbc20029.jpg,,,,,,
m4-071-final-v1,A,17,c882d5656c9b8a3b1348,SODA-A,images/c882d5656c9b8a3b1348.jpg,,,,,,
m4-071-final-v1,A,18,e156f5dc22a6cdb90fbc,FAIR1M-v1.0,images/e156f5dc22a6cdb90fbc.jpg,,,,,,
m4-071-final-v1,A,19,004a92a747b7bcff76b1,SODA-A,images/004a92a747b7bcff76b1.jpg,,,,,,
m4-071-final-v1,A,20,d7bfd10fa770bdb08932,FAIR1M-v1.0,images/d7bfd10fa770bdb08932.jpg,,,,,,
m4-071-final-v1,A,21,5a23fbda91525995dd81,DIOR-R,images/5a23fbda91525995dd81.jpg,,,,,,
m4-071-final-v1,A,22,148f574105201bcfecfb,DIOR-R,images/148f574105201bcfecfb.jpg,,,,,,
m4-071-final-v1,A,23,b58049e051fe10b5c7d5,FAIR1M-v1.0,images/b58049e051fe10b5c7d5.jpg,,,,,,
m4-071-final-v1,A,24,d7b94e93b2fdcc94c359,SODA-A,images/d7b94e93b2fdcc94c359.jpg,,,,,,
m4-071-final-v1,A,25,531fe8d1dd774baa4918,FAIR1M-v1.0,images/531fe8d1dd774baa4918.jpg,,,,,,
m4-071-final-v1,A,26,81e436ccbb700ca358bf,SODA-A,images/81e436ccbb700ca358bf.jpg,,,,,,
m4-071-final-v1,A,27,d89b7cef32d28c0383ee,SODA-A,images/d89b7cef32d28c0383ee.jpg,,,,,,
m4-071-final-v1,A,28,777b6b2cad608950f06f,FAIR1M-v1.0,images/777b6b2cad608950f06f.jpg,,,,,,
m4-071-final-v1,A,29,f40080dabeca3c4fee9f,FAIR1M-v1.0,images/f40080dabeca3c4fee9f.jpg,,,,,,
m4-071-final-v1,A,30,5334b768a83490d40c8f,FAIR1M-v1.0,images/5334b768a83490d40c8f.jpg,,,,,,
m4-071-final-v1,A,31,c81bdcdc741c892dc5ef,DIOR-R,images/c81bdcdc741c892dc5ef.jpg,,,,,,
m4-071-final-v1,A,32,26c22cc4796c401d190e,SODA-A,images/26c22cc4796c401d190e.jpg,,,,,,
m4-071-final-v1,A,33,68968d58c6c4dab971bd,FAIR1M-v1.0,images/68968d58c6c4dab971bd.jpg,,,,,,
m4-071-final-v1,A,34,f298c0a40a6740eeee99,SODA-A,images/f298c0a40a6740eeee99.jpg,,,,,,
m4-071-final-v1,A,35,e4cadb69e9760d415c5e,SODA-A,images/e4cadb69e9760d415c5e.jpg,,,,,,
m4-071-final-v1,A,36,00f5d1622b59db2ff295,FAIR1M-v1.0,images/00f5d1622b59db2ff295.jpg,,,,,,
m4-071-final-v1,A,37,0c069b5c71fad08fd6e8,SODA-A,images/0c069b5c71fad08fd6e8.jpg,,,,,,
m4-071-final-v1,A,38,a97bb018a333cd4ba40e,SODA-A,images/a97bb018a333cd4ba40e.jpg,,,,,,
m4-071-final-v1,A,39,7e6498eaad141a56fa10,FAIR1M-v1.0,images/7e6498eaad141a56fa10.jpg,,,,,,
m4-071-final-v1,A,40,ab63e23a198d1563a984,DIOR-R,images/ab63e23a198d1563a984.jpg,,,,,,
m4-071-final-v1,A,41,9d6a910c1189513ce803,DIOR-R,images/9d6a910c1189513ce803.jpg,,,,,,
m4-071-final-v1,A,42,3742bd12d5ffa6d45f75,DIOR-R,images/3742bd12d5ffa6d45f75.jpg,,,,,,
m4-071-final-v1,A,43,5ff98edf266ae069fbdf,SODA-A,images/5ff98edf266ae069fbdf.jpg,,,,,,
m4-071-final-v1,A,44,443abbb3cd053f4ec198,DIOR-R,images/443abbb3cd053f4ec198.jpg,,,,,,
m4-071-final-v1,A,45,ed68de23b96a4bbf2234,FAIR1M-v1.0,images/ed68de23b96a4bbf2234.jpg,,,,,,
m4-071-final-v1,A,46,fb90ee5c8d0074c04cba,DIOR-R,images/fb90ee5c8d0074c04cba.jpg,,,,,,
m4-071-final-v1,A,47,a1bb16a055ff3f0d0fa4,FAIR1M-v1.0,images/a1bb16a055ff3f0d0fa4.jpg,,,,,,
m4-071-final-v1,A,48,d01e2cb977fd7733f002,SODA-A,images/d01e2cb977fd7733f002.jpg,,,,,,
m4-071-final-v1,A,49,c84c6fd6096a35422972,SODA-A,images/c84c6fd6096a35422972.jpg,,,,,,
m4-071-final-v1,A,50,5d2ca81f1279811bc82c,DIOR-R,images/5d2ca81f1279811bc82c.jpg,,,,,,
m4-071-final-v1,A,51,c72cd78d203ec8ea3cb9,SODA-A,images/c72cd78d203ec8ea3cb9.jpg,,,,,,
m4-071-final-v1,A,52,3b38181d3d7f3642e67d,SODA-A,images/3b38181d3d7f3642e67d.jpg,,,,,,
