assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,784,e747242063ad068972c2,DIOR-R,images/e747242063ad068972c2.jpg,,,,,,
m4-071-final-v1,A,222,f30c194043ad665c2db9,DIOR-R,images/f30c194043ad665c2db9.jpg,,,,,,
m4-071-final-v1,A,1218,9bc349daab579ec9286f,DIOR-R,images/9bc349daab579ec9286f.jpg,,,,,,
m4-071-final-v1,A,44,e7333db35c0d4f18d016,DIOR-R,images/e7333db35c0d4f18d016.jpg,,,,,,
m4-071-final-v1,A,914,57fd65e09bfaa0a6ea71,DIOR-R,images/57fd65e09bfaa0a6ea71.jpg,,,,,,
m4-071-final-v1,A,1208,9a7a23f03323b9ea3fea,DIOR-R,images/9a7a23f03323b9ea3fea.jpg,,,,,,
m4-071-final-v1,A,200,f69c4aca94b2f515e2b3,DIOR-R,images/f69c4aca94b2f515e2b3.jpg,,,,,,
m4-071-final-v1,A,170,19bd8bd9daab17c10a4c,DIOR-R,images/19bd8bd9daab17c10a4c.jpg,,,,,,
m4-071-final-v1,A,1474,897a992989f19f5ff1d6,DIOR-R,images/897a992989f19f5ff1d6.jpg,,,,,,
m4-071-final-v1,A,806,b3c7514e9e1f5d14ac17,DIOR-R,images/b3c7514e9e1f5d14ac17.jpg,,,,,,
m4-071-final-v1,A,256,5d2ca81f1279811bc82c,DIOR-R,images/5d2ca81f1279811bc82c.jpg,,,,,,
m4-071-final-v1,A,913,c598819dc62bba34d9ed,DIOR-R,images/c598819dc62bba34d9ed.jpg,,,,,,
m4-071-final-v1,A,681,263d63c8a3ceeec85bfb,DIOR-R,images/263d63c8a3ceeec85bfb.jpg,,,,,,
m4-071-final-v1,A,726,c0571bd4c04187994337,DIOR-R,images/c0571bd4c04187994337.jpg,,,,,,
m4-071-final-v1,A,337,0c686251843ecd775af0,DIOR-R,images/0c686251843ecd775af0.jpg,,,,,,
m4-071-final-v1,A,285,22c76885861a7b19626c,DIOR-R,images/22c76885861a7b19626c.jpg,,,,,,
m4-071-final-v1,A,1188,b4ace3436e9505a4dd54,DIOR-R,images/b4ace3436e9505a4dd54.jpg,,,,,,
m4-071-final-v1,A,108,3fd98bdfaee5bbd9eb96,DIOR-R,images/3fd98bdfaee5bbd9eb96.jpg,,,,,,
m4-071-final-v1,A,819,0042754b42cefe5f9f23,DIOR-R,images/0042754b42cefe5f9f23.jpg,,,,,,
m4-071-final-v1,A,1231,527558e30294c282801c,DIOR-R,images/527558e30294c282801c.jpg,,,,,,
m4-071-final-v1,A,145,8caa97efbf73e8dd178d,DIOR-R,images/8caa97efbf73e8dd178d.jpg,,,,,,
m4-071-final-v1,A,191,5c2569b37171441e36e8,DIOR-R,images/5c2569b37171441e36e8.jpg,,,,,,
m4-071-final-v1,A,1383,50346ed50dd89ef99f35,DIOR-R,images/50346ed50dd89ef99f35.jpg,,,,,,
m4-071-final-v1,A,895,5a6434d875232b2e334e,DIOR-R,images/5a6434d875232b2e334e.jpg,,,,,,
m4-071-final-v1,A,974,62c8811cf3ed18d40235,DIOR-R,images/62c8811cf3ed18d40235.jpg,,,,,,
m4-071-final-v1,A,595,8958b3395547e4c2c9b3,DIOR-R,images/8958b3395547e4c2c9b3.jpg,,,,,,
m4-071-final-v1,A,578,e8471c9fbd65e984733a,DIOR-R,images/e8471c9fbd65e984733a.jpg,,,,,,
m4-071-final-v1,A,789,3823069504fec3df40b8,DIOR-R,images/3823069504fec3df40b8.jpg,,,,,,
m4-071-final-v1,A,1456,8c3841fec1e71c0ea1f2,DIOR-R,images/8c3841fec1e71c0ea1f2.jpg,,,,,,
m4-071-final-v1,A,4,525ff99f0fa9de18cbba,DIOR-R,images/525ff99f0fa9de18cbba.jpg,,,,,,
m4-071-final-v1,A,603,62b89c8d56f9040e12b9,DIOR-R,images/62b89c8d56f9040e12b9.jpg,,,,,,
m4-071-final-v1,A,121,f73d869ce2813d5f5443,DIOR-R,images/f73d869ce2813d5f5443.jpg,,,,,,
m4-071-final-v1,A,34,c0ad33c584df4fa165af,DIOR-R,images/c0ad33c584df4fa165af.jpg,,,,,,
m4-071-final-v1,A,528,4edc4ec35b15a52b81e1,DIOR-R,images/4edc4ec35b15a52b81e1.jpg,,,,,,
m4-071-final-v1,A,486,9a941571f929610ca87a,DIOR-R,images/9a941571f929610ca87a.jpg,,,,,,
m4-071-final-v1,A,660,45ec8560a64f1d6a8d87,DIOR-R,images/45ec8560a64f1d6a8d87.jpg,,,,,,
m4-071-final-v1,A,674,b01277fb95af49dc2d65,DIOR-R,images/b01277fb95af49dc2d65.jpg,,,,,,
m4-071-final-v1,A,75,c1476467d6c9446c1259,DIOR-R,images/c1476467d6c9446c1259.jpg,,,,,,
m4-071-final-v1,A,136,bfa8f754d048d76ebb5d,DIOR-R,images/bfa8f754d048d76ebb5d.jpg,,,,,,
m4-071-final-v1,A,765,6bebfd066a96d64cbfd8,DIOR-R,images/6bebfd066a96d64cbfd8.jpg,,,,,,
m4-071-final-v1,A,1408,56f9bf75bf7ee3550b08,DIOR-R,images/56f9bf75bf7ee3550b08.jpg,,,,,,
m4-071-final-v1,A,25,82f08f4f8f3f1af990b4,DIOR-R,images/82f08f4f8f3f1af990b4.jpg,,,,,,
m4-071-final-v1,A,831,dbf3ed951e30166a3d04,DIOR-R,images/dbf3ed951e30166a3d04.jpg,,,,,,
m4-071-final-v1,A,1144,f7a3ec91f9b5ecbd7ead,DIOR-R,images/f7a3ec91f9b5ecbd7ead.jpg,,,,,,
m4-071-final-v1,A,1388,5762882cba37d1fd17a5,DIOR-R,images/5762882cba37d1fd17a5.jpg,,,,,,
m4-071-final-v1,A,32,d5d73be1e3c488a731c5,DIOR-R,images/d5d73be1e3c488a731c5.jpg,,,,,,
m4-071-final-v1,A,91,470e5427b3fde06cce4e,DIOR-R,images/470e5427b3fde06cce4e.jpg,,,,,,
m4-071-final-v1,A,122,d2dbbfa3e9285dc86aae,DIOR-R,images/d2dbbfa3e9285dc86aae.jpg,,,,,,
m4-071-final-v1,A,1086,f9323091f78277982e19,DIOR-R,images/f9323091f78277982e19.jpg,,,,,,
m4-071-final-v1,A,254,7b468087bfde9baf2ea8,DIOR-R,images/7b468087bfde9baf2ea8.jpg,,,,,,
m4-071-final-v1,A,447,3f38765a1d671987aa21,DIOR-R,images/3f38765a1d671987aa21.jpg,,,,,,
m4-071-final-v1,A,85,d16b697f28204632bd5a,DIOR-R,images/d16b697f28204632bd5a.jpg,,,,,,
m4-071-final-v1,A,584,fc6246fb1a575f251624,DIOR-R,images/fc6246fb1a575f251624.jpg,,,,,,
m4-071-final-v1,A,1333,45f0af03a029f8f65bfb,DIOR-R,images/45f0af03a029f8f65bfb.jpg,,,,,,
m4-071-final-v1,A,721,66434873457e6c56a134,DIOR-R,images/66434873457e6c56a134.jpg,,,,,,
m4-071-final-v1,A,938,2f0898a4dd4e3d4c947e,DIOR-R,images/2f0898a4dd4e3d4c947e.jpg,,,,,,
m4-071-final-v1,A,251,03785ce2ff0aa13d8986,DIOR-R,images/03785ce2ff0aa13d8986.jpg,,,,,,
m4-071-final-v1,A,647,e20496d66ce4bbf45c21,DIOR-R,images/e20496d66ce4bbf45c21.jpg,,,,,,
m4-071-final-v1,A,17,b128540b9a03de2592f8,DIOR-R,images/b128540b9a03de2592f8.jpg,,,,,,
m4-071-final-v1,A,968,7438484cf9deeb037d93,DIOR-R,images/7438484cf9deeb037d93.jpg,,,,,,
m4-071-final-v1,A,1419,21c853c8f4be7a146b24,DIOR-R,images/21c853c8f4be7a146b24.jpg,,,,,,
m4-071-final-v1,A,37,d392b3c128331bb8af2c,DIOR-R,images/d392b3c128331bb8af2c.jpg,,,,,,
m4-071-final-v1,A,338,5e95d7b767716bdeed07,DIOR-R,images/5e95d7b767716bdeed07.jpg,,,,,,
m4-071-final-v1,A,1403,3d4cb5028cfca265f92f,DIOR-R,images/3d4cb5028cfca265f92f.jpg,,,,,,
m4-071-final-v1,A,508,bbde7eb497f128441a84,DIOR-R,images/bbde7eb497f128441a84.jpg,,,,,,
m4-071-final-v1,A,181,576b0ed649fa3cdfd4f5,DIOR-R,images/576b0ed649fa3cdfd4f5.jpg,,,,,,
m4-071-final-v1,A,192,b637b24e6a775f14e5a7,DIOR-R,images/b637b24e6a775f14e5a7.jpg,,,,,,
m4-071-final-v1,A,1306,eefe70c61204c3517066,DIOR-R,images/eefe70c61204c3517066.jpg,,,,,,
m4-071-final-v1,A,1017,6800d75a912ba2cd6522,DIOR-R,images/6800d75a912ba2cd6522.jpg,,,,,,
m4-071-final-v1,A,885,754d80d730a6bfec26a6,DIOR-R,images/754d80d730a6bfec26a6.jpg,,,,,,
m4-071-final-v1,A,1330,2f7d5b505c0681808d89,DIOR-R,images/2f7d5b505c0681808d89.jpg,,,,,,
m4-071-final-v1,A,1045,4e2ca194156a8b055e7d,DIOR-R,images/4e2ca194156a8b055e7d.jpg,,,,,,
m4-071-final-v1,A,779,81aa961272d617992563,DIOR-R,images/81aa961272d617992563.jpg,,,,,,
m4-071-final-v1,A,58,827088f15c243f240e7d,DIOR-R,images/827088f15c243f240e7d.jpg,,,,,,
m4-071-final-v1,A,456,1370938733859a5c012c,DIOR-R,images/1370938733859a5c012c.jpg,,,,,,
m4-071-final-v1,A,843,0856cc2a4b2ede0992c8,DIOR-R,images/0856cc2a4b2ede0992c8.jpg,,,,,,
m4-071-final-v1,A,977,fa3f872a3e7aef3c75ed,DIOR-R,images/fa3f872a3e7aef3c75ed.jpg,,,,,,
m4-071-final-v1,A,98,a0f05ef5266e491873c2,DIOR-R,images/a0f05ef5266e491873c2.jpg,,,,,,
m4-071-final-v1,A,118,12d07770f7bf38eaf92a,DIOR-R,images/12d07770f7bf38eaf92a.jpg,,,,,,
m4-071-final-v1,A,455,ed58d3ec7c512d684aee,DIOR-R,images/ed58d3ec7c512d684aee.jpg,,,,,,
m4-071-final-v1,A,1115,02567cf454d65bbb28ba,DIOR-R,images/02567cf454d65bbb28ba.jpg,,,,,,
m4-071-final-v1,A,1027,3066a3d95b6bdb4d2bff,DIOR-R,images/3066a3d95b6bdb4d2bff.jpg,,,,,,
m4-071-final-v1,A,160,edcea1f23a8e5a7bb539,DIOR-R,images/edcea1f23a8e5a7bb539.jpg,,,,,,
m4-071-final-v1,A,1280,e576adf0cccead3b1c44,DIOR-R,images/e576adf0cccead3b1c44.jpg,,,,,,
m4-071-final-v1,A,1329,ef6827068796d06162a7,DIOR-R,images/ef6827068796d06162a7.jpg,,,,,,
m4-071-final-v1,A,964,c81bdcdc741c892dc5ef,DIOR-R,images/c81bdcdc741c892dc5ef.jpg,,,,,,
m4-071-final-v1,A,80,787fd4d6347ad1869a9a,DIOR-R,images/787fd4d6347ad1869a9a.jpg,,,,,,
m4-071-final-v1,A,171,85c183a3391bc46bcd9d,DIOR-R,images/85c183a3391bc46bcd9d.jpg,,,,,,
m4-071-final-v1,A,357,da7a00b600ff252cab26,DIOR-R,images/da7a00b600ff252cab26.jpg,,,,,,
m4-071-final-v1,A,1290,a5e426802cd841d69d56,DIOR-R,images/a5e426802cd841d69d56.jpg,,,,,,
m4-071-final-v1,A,613,6b51fcb9c27e7c92ba86,DIOR-R,images/6b51fcb9c27e7c92ba86.jpg,,,,,,
m4-071-final-v1,A,65,c017c2b71daa22b56972,DIOR-R,images/c017c2b71daa22b56972.jpg,,,,,,
m4-071-final-v1,A,1258,4c74e40edc305102f235,DIOR-R,images/4c74e40edc305102f235.jpg,,,,,,
m4-071-final-v1,A,231,07ead42fe8317dc2e4a0,DIOR-R,images/07ead42fe8317dc2e4a0.jpg,,,,,,
m4-071-final-v1,A,70,4abd5aa9d5e2d7c2ee74,DIOR-R,images/4abd5aa9d5e2d7c2ee74.jpg,,,,,,
m4-071-final-v1,A,74,785c5e076ddf845a7720,DIOR-R,images/785c5e076ddf845a7720.jpg,,,,,,
m4-071-final-v1,A,1332,dc4ed857bac03ceaa889,DIOR-R,images/dc4ed857bac03ceaa889.jpg,,,,,,
m4-071-final-v1,A,986,6bf7811e88ec9ec653ab,DIOR-R,images/6bf7811e88ec9ec653ab.jpg,,,,,,
m4-071-final-v1,A,101,dc12d022de71dfec4eb8,DIOR-R,images/dc12d022de71dfec4eb8.jpg,,,,,,
m4-071-final-v1,A,157,7289f142d344609a7e4f,DIOR-R,images/7289f142d344609a7e4f.jpg,,,,,,
m4-071-final-v1,A,383,5d13e3c15d26feb63326,DIOR-R,images/5d13e3c15d26feb63326.jpg,,,,,,
m4-071-final-v1,A,768,c790ebff7be1bc38f49d,DIOR-R,images/c790ebff7be1bc38f49d.jpg,,,,,,
m4-071-final-v1,A,1267,29f600e9e891c6a7ada9,DIOR-R,images/29f600e9e891c6a7ada9.jpg,,,,,,
m4-071-final-v1,A,56,980f55b2d6a0fdedd9b3,DIOR-R,images/980f55b2d6a0fdedd9b3.jpg,,,,,,
m4-071-final-v1,A,310,874e7c79b57d6cb53d29,DIOR-R,images/874e7c79b57d6cb53d29.jpg,,,,,,
m4-071-final-v1,A,28,1fd45b0caf5cbcec84cf,DIOR-R,images/1fd45b0caf5cbcec84cf.jpg,,,,,,
m4-071-final-v1,A,1072,e503eaa7ff217deabd3e,DIOR-R,images/e503eaa7ff217deabd3e.jpg,,,,,,
m4-071-final-v1,A,148,429adddc97e9caed32dc,DIOR-R,images/429adddc97e9caed32dc.jpg,,,,,,
m4-071-final-v1,A,336,eef4a045517efc9eaac4,DIOR-R,images/eef4a045517efc9eaac4.jpg,,,,,,
m4-071-final-v1,A,21,f33b7655a2949e2e9ffa,DIOR-R,images/f33b7655a2949e2e9ffa.jpg,,,,,,
m4-071-final-v1,A,155,8fcc6dfcb48f1670c963,DIOR-R,images/8fcc6dfcb48f1670c963.jpg,,,,,,
m4-071-final-v1,A,286,be51f4ee40e467c0f9a9,DIOR-R,images/be51f4ee40e467c0f9a9.jpg,,,,,,
m4-071-final-v1,A,510,433257b1de50027a7c17,DIOR-R,images/433257b1de50027a7c17.jpg,,,,,,
m4-071-final-v1,A,71,ec7852f6dd381c98e02f,DIOR-R,images/ec7852f6dd381c98e02f.jpg,,,,,,
m4-071-final-v1,A,862,c569c76a1c675d88ce13,DIOR-R,images/c569c76a1c675d88ce13.jpg,,,,,,
m4-071-final-v1,A,142,7d861f95db49e0f8c862,DIOR-R,images/7d861f95db49e0f8c862.jpg,,,,,,
m4-071-final-v1,A,133,691c7ce14c191af5234c,DIOR-R,images/691c7ce14c191af5234c.jpg,,,,,,
m4-071-final-v1,A,1126,9c71703c7fb113fff010,DIOR-R,images/9c71703c7fb113fff010.jpg,,,,,,
m4-071-final-v1,A,1273,53afa34dc30fb88af773,DIOR-R,images/53afa34dc30fb88af773.jpg,,,,,,
m4-071-final-v1,A,477,c168ed8cc87a573f8b07,DIOR-R,images/c168ed8cc87a573f8b07.jpg,,,,,,
m4-071-final-v1,A,641,bcae534d827235e49ceb,DIOR-R,images/bcae534d827235e49ceb.jpg,,,,,,
m4-071-final-v1,A,662,f0300e077444f6014b6c,DIOR-R,images/f0300e077444f6014b6c.jpg,,,,,,
m4-071-final-v1,A,197,4db1eb21bd301182999e,DIOR-R,images/4db1eb21bd301182999e.jpg,,,,,,
m4-071-final-v1,A,40,fe192546e92cf2992213,DIOR-R,images/fe192546e92cf2992213.jpg,,,,,,
m4-071-final-v1,A,1305,67feed6851aade3330d3,DIOR-R,images/67feed6851aade3330d3.jpg,,,,,,
m4-071-final-v1,A,79,d09efdb8254e97a2c6a3,DIOR-R,images/d09efdb8254e97a2c6a3.jpg,,,,,,
