assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,1,d89b7cef32d28c0383ee,SODA-A,images/d89b7cef32d28c0383ee.jpg,141.340160,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,2,1fdf99c751f0ccec75a2,SODA-A,images/1fdf99c751f0ccec75a2.jpg,74.347470,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,3,897a992989f19f5ff1d6,DIOR-R,images/897a992989f19f5ff1d6.jpg,144.681661,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,4,4ffc66ecf1e9601ae60f,FAIR1M-v1.0,images/4ffc66ecf1e9601ae60f.jpg,75.963763,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,5,0c071adb1b5604ae783a,SODA-A,images/0c071adb1b5604ae783a.jpg,87.305728,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,6,8aa154602ff09e7f18f1,FAIR1M-v1.0,images/8aa154602ff09e7f18f1.jpg,17.168157,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,7,6bc17f9b59efe7b8fae3,SODA-A,images/6bc17f9b59efe7b8fae3.jpg,145.175553,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,8,d0128ff9cdf2768ab039,FAIR1M-v1.0,images/d0128ff9cdf2768ab039.jpg,113.895185,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,9,0969e249d39cbd7a2049,SODA-A,images/0969e249d39cbd7a2049.jpg,24.444000,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,10,8c3841fec1e71c0ea1f2,DIOR-R,images/8c3841fec1e71c0ea1f2.jpg,31.005239,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,11,75ec5d4ec07cd7bd3d3a,FAIR1M-v1.0,images/75ec5d4ec07cd7bd3d3a.jpg,155.265703,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,12,e14920ca04f7e149b5bc,FAIR1M-v1.0,images/e14920ca04f7e149b5bc.jpg,146.013796,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,13,9fcb64eb18ac03f5be63,SODA-A,images/9fcb64eb18ac03f5be63.jpg,154.736903,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,14,2470c1fef6a2bb2f214a,FAIR1M-v1.0,images/2470c1fef6a2bb2f214a.jpg,97.206058,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,15,d01e2cb977fd7733f002,SODA-A,images/d01e2cb977fd7733f002.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,16,4f23ac4fcad0964a8b2c,SODA-A,images/4f23ac4fcad0964a8b2c.jpg,60.713270,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,17,f9380b87a63030ca7c89,SODA-A,images/f9380b87a63030ca7c89.jpg,174.114030,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,18,62c8811cf3ed18d40235,DIOR-R,images/62c8811cf3ed18d40235.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,19,d1e3b9d8711bef29242b,SODA-A,images/d1e3b9d8711bef29242b.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,20,70e8f40dd768bc2a559e,SODA-A,images/70e8f40dd768bc2a559e.jpg,98.820444,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,21,5917385bd8002ebca663,SODA-A,images/5917385bd8002ebca663.jpg,177.089120,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,22,62037428666edfa3d779,DIOR-R,images/62037428666edfa3d779.jpg,87.722369,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,23,3d4cb5028cfca265f92f,DIOR-R,images/3d4cb5028cfca265f92f.jpg,58.815043,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,24,26da55843313c1afb7ed,SODA-A,images/26da55843313c1afb7ed.jpg,4.316086,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,25,5e95d7b767716bdeed07,DIOR-R,images/5e95d7b767716bdeed07.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,26,e031101764b246f37318,FAIR1M-v1.0,images/e031101764b246f37318.jpg,0.358075,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,27,dbf3ed951e30166a3d04,DIOR-R,images/dbf3ed951e30166a3d04.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,28,97b0a21e919e0b7054ed,SODA-A,images/97b0a21e919e0b7054ed.jpg,179.765180,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,29,3823069504fec3df40b8,DIOR-R,images/3823069504fec3df40b8.jpg,92.829807,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,30,03785ce2ff0aa13d8986,DIOR-R,images/03785ce2ff0aa13d8986.jpg,147.737073,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,31,cb522f00a6a56c07c5c2,FAIR1M-v1.0,images/cb522f00a6a56c07c5c2.jpg,141.709812,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,32,8958b3395547e4c2c9b3,DIOR-R,images/8958b3395547e4c2c9b3.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
