assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-m600-recheck-v1,A,1,08a4fc2bd63b5e4db07a,DIOR-R,images/08a4fc2bd63b5e4db07a.jpg,168.789336,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,2,bb2b2c5d080756c8a371,SODA-A,images/bb2b2c5d080756c8a371.jpg,126.158125,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,3,52ce735500830bc637aa,DIOR-R,images/52ce735500830bc637aa.jpg,116.943647,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,4,7ccbb3aa77a4070e3601,FAIR1M-v1.0,images/7ccbb3aa77a4070e3601.jpg,178.652094,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-m600-recheck-v1,A,5,e1d8a097173037172e04,FAIR1M-v1.0,images/e1d8a097173037172e04.jpg,121.062198,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,6,dcb5f6bb3446fabd336c,DIOR-R,images/dcb5f6bb3446fabd336c.jpg,2.009531,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,7,c16f807a3f963f29d662,DIOR-R,images/c16f807a3f963f29d662.jpg,177.594018,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,8,777b6b2cad608950f06f,FAIR1M-v1.0,images/777b6b2cad608950f06f.jpg,142.869072,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,9,4d9f9f7c26b3cfd29ca9,DIOR-R,images/4d9f9f7c26b3cfd29ca9.jpg,87.397413,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,10,ad717a72f01afc86861b,FAIR1M-v1.0,images/ad717a72f01afc86861b.jpg,0.616014,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,11,1f219d40c15ccc564308,SODA-A,images/1f219d40c15ccc564308.jpg,91.446533,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,12,43b413315a343c741b1e,DIOR-R,images/43b413315a343c741b1e.jpg,0.000000,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-m600-recheck-v1,A,13,961472f919cf6635f324,SODA-A,images/961472f919cf6635f324.jpg,108.257571,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,14,1dfe4eb3f882ae401d01,SODA-A,images/1dfe4eb3f882ae401d01.jpg,146.793389,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,15,11099289eaf2f9a7f6e4,SODA-A,images/11099289eaf2f9a7f6e4.jpg,43.531108,0,0,,A,2026-07-21T15:01:37.800361+00:00
m4-071-final-v1,A,16,4ffedfa4a297585735ff,DIOR-R,images/4ffedfa4a297585735ff.jpg,,1,0,,A,2026-07-21T15:01:37.800361+00:00
