assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,1,f38247380a034dbbdef0,SODA-A,images/f38247380a034dbbdef0.jpg,,,,,,
m4-071-final-v1,A,2,cbade1b829ab4a5175d5,DIOR-R,images/cbade1b829ab4a5175d5.jpg,,,,,,
m4-071-final-v1,A,3,3222fee6b7070ae73362,FAIR1M-v1.0,images/3222fee6b7070ae73362.jpg,,,,,,
m4-071-final-v1,A,4,525ff99f0fa9de18cbba,DIOR-R,images/525ff99f0fa9de18cbba.jpg,,,,,,
m4-071-final-v1,A,5,03c17540cab099a1e4a9,SODA-A,images/03c17540cab099a1e4a9.jpg,,,,,,
m4-071-final-v1,A,6,1b9bf8628816fe451f29,FAIR1M-v1.0,images/1b9bf8628816fe451f29.jpg,,,,,,
m4-071-final-v1,A,7,4a00e2361a2eab3de3d8,SODA-A,images/4a00e2361a2eab3de3d8.jpg,,,,,,
m4-071-final-v1,A,8,80fb51dd0a374caadd55,SODA-A,images/80fb51dd0a374caadd55.jpg,,,,,,
m4-071-final-v1,A,9,a78bc0737225e6a9726c,FAIR1M-v1.0,images/a78bc0737225e6a9726c.jpg,,,,,,
m4-071-final-v1,A,10,fac1a1f1ce19817c73fd,DIOR-R,images/fac1a1f1ce19817c73fd.jpg,,,,,,
m4-071-final-v1,A,11,88382c0bc19cbd75ad24,SODA-A,images/88382c0bc19cbd75ad24.jpg,,,,,,
m4-071-final-v1,A,12,94e404b8117ecc7468c4,FAIR1M-v1.0,images/94e404b8117ecc7468c4.jpg,,,,,,
m4-071-final-v1,A,13,1540738339ff7347d62c,SODA-A,images/1540738339ff7347d62c.jpg,,,,,,
m4-071-final-v1,A,14,560eee00187c0a3654c3,SODA-A,images/560eee00187c0a3654c3.jpg,,,,,,
m4-071-final-v1,A,15,4464a57070f1a0840bbb,FAIR1M-v1.0,images/4464a57070f1a0840bbb.jpg,,,,,,
m4-071-final-v1,A,16,66771d2c9cfc5f384271,FAIR1M-v1.0,images/66771d2c9cfc5f384271.jpg,,,,,,
m4-071-final-v1,A,17,b128540b9a03de2592f8,DIOR-R,images/b128540b9a03de2592f8.jpg,,,,,,
m4-071-final-v1,A,18,52654f448e6ca4ae7572,DIOR-R,images/52654f448e6ca4ae7572.jpg,,,,,,
m4-071-final-v1,A,19,79a4314a62b255810aa6,FAIR1M-v1.0,images/79a4314a62b255810aa6.jpg,,,,,,
m4-071-final-v1,A,20,ffe7274203df409a6634,SODA-A,images/ffe7274203df409a6634.jpg,,,,,,
