assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,bdbd09efc73e0ccb0458,FAIR1M-v1.0,images/bdbd09efc73e0ccb0458.jpg,,,,,,
m4-071-final-v1,B,2,6933b33d8c508e03e361,SODA-A,images/6933b33d8c508e03e361.jpg,,,,,,
m4-071-final-v1,B,3,275d63212d4482386aa6,SODA-A,images/275d63212d4482386aa6.jpg,,,,,,
m4-071-final-v1,B,4,d30d3c6792de16df0f75,DIOR-R,images/d30d3c6792de16df0f75.jpg,,,,,,
m4-071-final-v1,B,5,bfb66b27817b6c24e969,SODA-A,images/bfb66b27817b6c24e969.jpg,,,,,,
m4-071-final-v1,B,6,df10057cf44b0c438845,SODA-A,images/df10057cf44b0c438845.jpg,,,,,,
m4-071-final-v1,B,7,3176950744a202c6f1ed,DIOR-R,images/3176950744a202c6f1ed.jpg,,,,,,
m4-071-final-v1,B,8,2c680fc96ee0a9a9d7b9,DIOR-R,images/2c680fc96ee0a9a9d7b9.jpg,,,,,,
m4-071-final-v1,B,9,e71ae0cd64b5b8865c18,SODA-A,images/e71ae0cd64b5b8865c18.jpg,,,,,,
m4-071-final-v1,B,10,530ee3193a349b9b3866,SODA-A,images/530ee3193a349b9b3866.jpg,,,,,,
m4-071-final-v1,B,11,c2f8aff3bf884b363c3e,SODA-A,images/c2f8aff3bf884b363c3e.jpg,,,,,,
m4-071-final-v1,B,12,eca31de521d7efa76581,DIOR-R,images/eca31de521d7efa76581.jpg,,,,,,
m4-071-final-v1,B,13,6285182f110372b3f8de,FAIR1M-v1.0,images/6285182f110372b3f8de.jpg,,,,,,
m4-071-final-v1,B,14,ecc22dc3e257985e4ae9,FAIR1M-v1.0,images/ecc22dc3e257985e4ae9.jpg,,,,,,
m4-071-final-v1,B,15,0a8f7fd8822fb9f8dfd6,DIOR-R,images/0a8f7fd8822fb9f8dfd6.jpg,,,,,,
m4-071-final-v1,B,16,a846f5d245ce5c1361f0,FAIR1M-v1.0,images/a846f5d245ce5c1361f0.jpg,,,,,,
m4-071-final-v1,B,17,8484bd9f3fd641bc1083,SODA-A,images/8484bd9f3fd641bc1083.jpg,,,,,,
m4-071-final-v1,B,18,ed1c6bed058ea756478d,DIOR-R,images/ed1c6bed058ea756478d.jpg,,,,,,
m4-071-final-v1,B,19,f76f96c118d044e0fa70,SODA-A,images/f76f96c118d044e0fa70.jpg,,,,,,
m4-071-final-v1,B,20,27cd5dc957d35d08804c,DIOR-R,images/27cd5dc957d35d08804c.jpg,,,,,,
m4-071-final-v1,B,21,db6284e6671dafe152d7,FAIR1M-v1.0,images/db6284e6671dafe152d7.jpg,,,,,,
m4-071-final-v1,B,22,2c6c45ebbf4f2d91a71b,FAIR1M-v1.0,images/2c6c45ebbf4f2d91a71b.jpg,,,,,,
m4-071-final-v1,B,23,fed81295660aebc18baf,DIOR-R,images/fed81295660aebc18baf.jpg,,,,,,
m4-071-final-v1,B,24,eb487b37b9bcb84ab271,SODA-A,images/eb487b37b9bcb84ab271.jpg,,,,,,
m4-071-final-v1,B,25,cac5f8b4b8cac10472d9,FAIR1M-v1.0,images/cac5f8b4b8cac10472d9.jpg,,,,,,
m4-071-final-v1,B,26,552bc905df2f1188901a,SODA-A,images/552bc905df2f1188901a.jpg,,,,,,
m4-071-final-v1,B,27,2647e5e5385cf1e8a3f6,DIOR-R,images/2647e5e5385cf1e8a3f6.jpg,,,,,,
m4-071-final-v1,B,28,72ef29d3e7cc122a962d,FAIR1M-v1.0,images/72ef29d3e7cc122a962d.jpg,,,,,,
m4-071-final-v1,B,29,1f6df8920e9f673b5959,SODA-A,images/1f6df8920e9f673b5959.jpg,,,,,,
m4-071-final-v1,B,30,19a01d8ee74ac9fd64ec,FAIR1M-v1.0,images/19a01d8ee74ac9fd64ec.jpg,,,,,,
m4-071-final-v1,B,31,57d12962073e69c6da55,SODA-A,images/57d12962073e69c6da55.jpg,,,,,,
m4-071-final-v1,B,32,a1cb1581a8b8446ccb90,FAIR1M-v1.0,images/a1cb1581a8b8446ccb90.jpg,,,,,,
m4-071-final-v1,B,33,947fca5ffa7ae641d630,SODA-A,images/947fca5ffa7ae641d630.jpg,,,,,,
m4-071-final-v1,B,34,25e080a00ca7540dc727,SODA-A,images/25e080a00ca7540dc727.jpg,,,,,,
m4-071-final-v1,B,35,ba746ac11577563457c8,DIOR-R,images/ba746ac11577563457c8.jpg,,,,,,
m4-071-final-v1,B,36,7d882c68b8c731a9ea00,DIOR-R,images/7d882c68b8c731a9ea00.jpg,,,,,,
m4-071-final-v1,B,37,fd1b058d00883b845a1e,SODA-A,images/fd1b058d00883b845a1e.jpg,,,,,,
m4-071-final-v1,B,38,4d4327a112e2f2632970,DIOR-R,images/4d4327a112e2f2632970.jpg,,,,,,
m4-071-final-v1,B,39,135fcf474087b5111a3c,FAIR1M-v1.0,images/135fcf474087b5111a3c.jpg,,,,,,
m4-071-final-v1,B,40,65edec6c712390eb1997,DIOR-R,images/65edec6c712390eb1997.jpg,,,,,,
m4-071-final-v1,B,41,ad1ad5fa113c6374f98c,SODA-A,images/ad1ad5fa113c6374f98c.jpg,,,,,,
m4-071-final-v1,B,42,63b21cd174fa6849d565,FAIR1M-v1.0,images/63b21cd174fa6849d565.jpg,,,,,,
m4-071-final-v1,B,43,54cf0d4ce102047ed529,FAIR1M-v1.0,images/54cf0d4ce102047ed529.jpg,,,,,,
m4-071-final-v1,B,44,857be25e92e4e8e33467,SODA-A,images/857be25e92e4e8e33467.jpg,,,,,,
m4-071-final-v1,B,45,acfd67d7cc463584d2c6,DIOR-R,images/acfd67d7cc463584d2c6.jpg,,,,,,
m4-071-final-v1,B,46,cebddfe283391c3f0adf,SODA-A,images/cebddfe283391c3f0adf.jpg,,,,,,
m4-071-final-v1,B,47,620f724c2310b66a0847,DIOR-R,images/620f724c2310b66a0847.jpg,,,,,,
m4-071-final-v1,B,48,13898b143c959fd2fb92,SODA-A,images/13898b143c959fd2fb92.jpg,,,,,,
m4-071-final-v1,B,49,a153f2c2ff227fd811d5,SODA-A,images/a153f2c2ff227fd811d5.jpg,,,,,,
m4-071-final-v1,B,50,104a360e8ade491e5b70,FAIR1M-v1.0,images/104a360e8ade491e5b70.jpg,,,,,,
