assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,7bf86611814bc3fc15ec,FAIR1M-v1.0,images/7bf86611814bc3fc15ec.jpg,,,,,,
m4-071-final-v1,B,2,59eea30d26e4dec99e3d,DIOR-R,images/59eea30d26e4dec99e3d.jpg,,,,,,
m4-071-final-v1,B,3,f1633f8e9bf2c4fac76b,FAIR1M-v1.0,images/f1633f8e9bf2c4fac76b.jpg,,,,,,
m4-071-final-v1,B,4,d6f0e69a968f2ef063f8,DIOR-R,images/d6f0e69a968f2ef063f8.jpg,,,,,,
m4-071-final-v1,B,5,635ddcafceee9b69d666,SODA-A,images/635ddcafceee9b69d666.jpg,,,,,,
m4-071-final-v1,B,6,37d774d33da44b915849,FAIR1M-v1.0,images/37d774d33da44b915849.jpg,,,,,,
m4-071-final-v1,B,7,df02926d83f8f109836b,DIOR-R,images/df02926d83f8f109836b.jpg,,,,,,
m4-071-final-v1,B,8,fd5464c5f5a9ed1890be,FAIR1M-v1.0,images/fd5464c5f5a9ed1890be.jpg,,,,,,
m4-071-final-v1,B,9,7cfcc1096ae34e2c9955,DIOR-R,images/7cfcc1096ae34e2c9955.jpg,,,,,,
m4-071-final-v1,B,10,3348c0ca8d5d18769d9c,FAIR1M-v1.0,images/3348c0ca8d5d18769d9c.jpg,,,,,,
m4-071-final-v1,B,11,fad024d40c4fd85b8179,DIOR-R,images/fad024d40c4fd85b8179.jpg,,,,,,
m4-071-final-v1,B,12,efa950c104d9f92545d9,FAIR1M-v1.0,images/efa950c104d9f92545d9.jpg,,,,,,
m4-071-final-v1,B,13,1e50f5b28f5dafa761eb,FAIR1M-v1.0,images/1e50f5b28f5dafa761eb.jpg,,,,,,
m4-071-final-v1,B,14,7924ca0ccda1f6b2deed,FAIR1M-v1.0,images/7924ca0ccda1f6b2deed.jpg,,,,,,
m4-071-final-v1,B,15,37945d8945b7639fd422,DIOR-R,images/37945d8945b7639fd422.jpg,,,,,,
