assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,201,e27d63ab076ea2725911,DIOR-R,images/e27d63ab076ea2725911.jpg,,,,,,
m4-071-final-v1,B,751,2d9465f0b4b137706e03,DIOR-R,images/2d9465f0b4b137706e03.jpg,,,,,,
m4-071-final-v1,B,47,d1a91b59c507a5db3875,DIOR-R,images/d1a91b59c507a5db3875.jpg,,,,,,
m4-071-final-v1,B,246,c17fd41367295fe51cd4,DIOR-R,images/c17fd41367295fe51cd4.jpg,,,,,,
m4-071-final-v1,B,30,593940ad41531dc91af1,DIOR-R,images/593940ad41531dc91af1.jpg,,,,,,
m4-071-final-v1,B,194,b355f548009d38035144,DIOR-R,images/b355f548009d38035144.jpg,,,,,,
m4-071-final-v1,B,467,7fd822b5d277f270cd92,DIOR-R,images/7fd822b5d277f270cd92.jpg,,,,,,
m4-071-final-v1,B,380,847d3b16f9b355f00358,DIOR-R,images/847d3b16f9b355f00358.jpg,,,,,,
m4-071-final-v1,B,1235,ad0eb61caf7d10568bd6,DIOR-R,images/ad0eb61caf7d10568bd6.jpg,,,,,,
m4-071-final-v1,B,221,bc692bcd071a43d39846,DIOR-R,images/bc692bcd071a43d39846.jpg,,,,,,
m4-071-final-v1,B,1197,6eede00f406c8f7025b8,DIOR-R,images/6eede00f406c8f7025b8.jpg,,,,,,
m4-071-final-v1,B,942,309993347a538a7bf365,DIOR-R,images/309993347a538a7bf365.jpg,,,,,,
m4-071-final-v1,B,115,bee44fa00436b51a4ee4,DIOR-R,images/bee44fa00436b51a4ee4.jpg,,,,,,
m4-071-final-v1,B,114,74bb808df06056976b15,DIOR-R,images/74bb808df06056976b15.jpg,,,,,,
m4-071-final-v1,B,16,7e66660032d7c676a1f8,DIOR-R,images/7e66660032d7c676a1f8.jpg,,,,,,
m4-071-final-v1,B,140,02a5fe1a09ab8db16c2c,DIOR-R,images/02a5fe1a09ab8db16c2c.jpg,,,,,,
m4-071-final-v1,B,924,0bbbabb841645db3894c,DIOR-R,images/0bbbabb841645db3894c.jpg,,,,,,
m4-071-final-v1,B,1369,34b358217303a26cc1bf,DIOR-R,images/34b358217303a26cc1bf.jpg,,,,,,
m4-071-final-v1,B,1238,78335248dc2f032f736e,DIOR-R,images/78335248dc2f032f736e.jpg,,,,,,
m4-071-final-v1,B,132,1ee9909fb48278e7d249,DIOR-R,images/1ee9909fb48278e7d249.jpg,,,,,,
m4-071-final-v1,B,196,cf40a0127244b92c31ae,DIOR-R,images/cf40a0127244b92c31ae.jpg,,,,,,
m4-071-final-v1,B,253,7ceb685f4f97422eb99d,DIOR-R,images/7ceb685f4f97422eb99d.jpg,,,,,,
m4-071-final-v1,B,36,ede1dff1d5530a618d10,DIOR-R,images/ede1dff1d5530a618d10.jpg,,,,,,
m4-071-final-v1,B,133,c51d64b24567b6fc98f1,DIOR-R,images/c51d64b24567b6fc98f1.jpg,,,,,,
m4-071-final-v1,B,82,32be332c1e9b0cc51e2e,DIOR-R,images/32be332c1e9b0cc51e2e.jpg,,,,,,
m4-071-final-v1,B,8,d00e307730dcbe4244c6,DIOR-R,images/d00e307730dcbe4244c6.jpg,,,,,,
m4-071-final-v1,B,75,71ee3aa40e85240cfaec,DIOR-R,images/71ee3aa40e85240cfaec.jpg,,,,,,
m4-071-final-v1,B,111,c5b3eee05e0500b143db,DIOR-R,images/c5b3eee05e0500b143db.jpg,,,,,,
m4-071-final-v1,B,506,bcda155f1eec09a8e167,DIOR-R,images/bcda155f1eec09a8e167.jpg,,,,,,
m4-071-final-v1,B,817,4b4cb056281640d81778,DIOR-R,images/4b4cb056281640d81778.jpg,,,,,,
m4-071-final-v1,B,1,1ed8c0ac095d514bfc8a,DIOR-R,images/1ed8c0ac095d514bfc8a.jpg,,,,,,
m4-071-final-v1,B,321,60d45482c08fe1cf7a79,DIOR-R,images/60d45482c08fe1cf7a79.jpg,,,,,,
m4-071-final-v1,B,1288,e0eb06ac80cfee5082e3,DIOR-R,images/e0eb06ac80cfee5082e3.jpg,,,,,,
m4-071-final-v1,B,559,fed81295660aebc18baf,DIOR-R,images/fed81295660aebc18baf.jpg,,,,,,
m4-071-final-v1,B,197,49259d1feb0a14376cef,DIOR-R,images/49259d1feb0a14376cef.jpg,,,,,,
m4-071-final-v1,B,659,00b80cb6c0903d5423d1,DIOR-R,images/00b80cb6c0903d5423d1.jpg,,,,,,
