assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,7bf86611814bc3fc15ec,FAIR1M-v1.0,images/7bf86611814bc3fc15ec.jpg,177.220840,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,2,59eea30d26e4dec99e3d,DIOR-R,images/59eea30d26e4dec99e3d.jpg,90.861525,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,3,f1633f8e9bf2c4fac76b,FAIR1M-v1.0,images/f1633f8e9bf2c4fac76b.jpg,171.027374,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,4,d6f0e69a968f2ef063f8,DIOR-R,images/d6f0e69a968f2ef063f8.jpg,89.740759,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,5,635ddcafceee9b69d666,SODA-A,images/635ddcafceee9b69d666.jpg,129.289432,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,6,37d774d33da44b915849,FAIR1M-v1.0,images/37d774d33da44b915849.jpg,141.188576,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,7,df02926d83f8f109836b,DIOR-R,images/df02926d83f8f109836b.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,8,fd5464c5f5a9ed1890be,FAIR1M-v1.0,images/fd5464c5f5a9ed1890be.jpg,63.434959,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,9,7cfcc1096ae34e2c9955,DIOR-R,images/7cfcc1096ae34e2c9955.jpg,0.000000,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,10,3348c0ca8d5d18769d9c,FAIR1M-v1.0,images/3348c0ca8d5d18769d9c.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,11,fad024d40c4fd85b8179,DIOR-R,images/fad024d40c4fd85b8179.jpg,6.072466,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,12,efa950c104d9f92545d9,FAIR1M-v1.0,images/efa950c104d9f92545d9.jpg,28.072470,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,13,1e50f5b28f5dafa761eb,FAIR1M-v1.0,images/1e50f5b28f5dafa761eb.jpg,92.935668,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,14,7924ca0ccda1f6b2deed,FAIR1M-v1.0,images/7924ca0ccda1f6b2deed.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,15,37945d8945b7639fd422,DIOR-R,images/37945d8945b7639fd422.jpg,105.945397,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,16,239fb80727d1c0aaf888,DIOR-R,images/239fb80727d1c0aaf888.jpg,129.004606,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,17,dcf2228533af680fd6ad,FAIR1M-v1.0,images/dcf2228533af680fd6ad.jpg,124.840944,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,18,9e6135243e2456c4626b,FAIR1M-v1.0,images/9e6135243e2456c4626b.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,19,62bd9586e67eea0e325c,DIOR-R,images/62bd9586e67eea0e325c.jpg,86.784520,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,20,1b5e0d20f0253efb2efc,DIOR-R,images/1b5e0d20f0253efb2efc.jpg,90.000000,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,21,ffb8cab4aa19f877c292,FAIR1M-v1.0,images/ffb8cab4aa19f877c292.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,22,d6fe84573c3a9e675c38,FAIR1M-v1.0,images/d6fe84573c3a9e675c38.jpg,111.695084,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,23,c5a972a96fd9541cc833,SODA-A,images/c5a972a96fd9541cc833.jpg,20.883154,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,24,0051debe514e7f3bec03,SODA-A,images/0051debe514e7f3bec03.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,25,c9b7f1d4902b0b969101,SODA-A,images/c9b7f1d4902b0b969101.jpg,93.972449,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,26,8aadf4bd120d782dfc8a,SODA-A,images/8aadf4bd120d782dfc8a.jpg,113.670549,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,27,e7b150640db62ac12b71,SODA-A,images/e7b150640db62ac12b71.jpg,19.057717,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,28,bd2c1f900f9d67392a76,SODA-A,images/bd2c1f900f9d67392a76.jpg,170.952418,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,29,d808a3bd94e035dc00ad,SODA-A,images/d808a3bd94e035dc00ad.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,30,ea05f842241486689a86,SODA-A,images/ea05f842241486689a86.jpg,144.833562,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,31,ba6b4d2d631db678cf4c,SODA-A,images/ba6b4d2d631db678cf4c.jpg,90.720685,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,32,f7976f81ba3a9b34ace1,DIOR-R,images/f7976f81ba3a9b34ace1.jpg,68.242883,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,33,4e42f0ce4e128cdc8105,FAIR1M-v1.0,images/4e42f0ce4e128cdc8105.jpg,0.662349,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,34,8243cbd1a689be5d05de,DIOR-R,images/8243cbd1a689be5d05de.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,35,ab6c24cce6fc5585ca97,DIOR-R,images/ab6c24cce6fc5585ca97.jpg,95.328229,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,36,7ffad95ee77b3c9ec340,SODA-A,images/7ffad95ee77b3c9ec340.jpg,49.590479,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,37,fec5dbf2ba487e454e3f,SODA-A,images/fec5dbf2ba487e454e3f.jpg,38.395118,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,38,5afe63dcaf172b735fc0,FAIR1M-v1.0,images/5afe63dcaf172b735fc0.jpg,3.494637,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,39,35600b58d800548c3857,FAIR1M-v1.0,images/35600b58d800548c3857.jpg,92.862402,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,40,1b36545a16d37dc0bc87,FAIR1M-v1.0,images/1b36545a16d37dc0bc87.jpg,43.408812,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,41,8669c9dcfd0a854a9aa2,FAIR1M-v1.0,images/8669c9dcfd0a854a9aa2.jpg,7.765165,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,42,2d8726f1ffad67c18fac,FAIR1M-v1.0,images/2d8726f1ffad67c18fac.jpg,7.835530,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,43,a6ad9a65479d0d6cb114,SODA-A,images/a6ad9a65479d0d6cb114.jpg,76.277684,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,44,cc0f00ffee072ce68f6e,FAIR1M-v1.0,images/cc0f00ffee072ce68f6e.jpg,58.270654,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,45,be78d1ed7b681c90e493,DIOR-R,images/be78d1ed7b681c90e493.jpg,88.554358,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,46,b9130fc077c41cc1a0a2,SODA-A,images/b9130fc077c41cc1a0a2.jpg,0.795715,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,47,bd59746e0f972a9f06cc,FAIR1M-v1.0,images/bd59746e0f972a9f06cc.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,48,a31906505d6dff579f57,SODA-A,images/a31906505d6dff579f57.jpg,67.711570,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,49,c928bb4da97ddc2d3634,SODA-A,images/c928bb4da97ddc2d3634.jpg,99.293312,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,50,a7248cb868a59820064c,FAIR1M-v1.0,images/a7248cb868a59820064c.jpg,22.867056,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,51,02b3b502545c655fe528,DIOR-R,images/02b3b502545c655fe528.jpg,88.033553,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,52,5e219213365fc7d267e5,DIOR-R,images/5e219213365fc7d267e5.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,53,e2838031919cef794952,DIOR-R,images/e2838031919cef794952.jpg,112.067901,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,54,d5803834127312202461,DIOR-R,images/d5803834127312202461.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,55,31e842049055d9980a13,DIOR-R,images/31e842049055d9980a13.jpg,92.970229,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,56,4650eca2f2b99e3446c6,SODA-A,images/4650eca2f2b99e3446c6.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,57,d602fbf0fe9c1d5b47ae,SODA-A,images/d602fbf0fe9c1d5b47ae.jpg,90.716172,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,58,d7cb789f3205c37d1ba9,DIOR-R,images/d7cb789f3205c37d1ba9.jpg,90.698657,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,59,7afe038477e6a3242419,DIOR-R,images/7afe038477e6a3242419.jpg,37.184713,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,60,79b0659d2d3426d04171,DIOR-R,images/79b0659d2d3426d04171.jpg,1.776051,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,61,994a78bff5859e4d75b2,DIOR-R,images/994a78bff5859e4d75b2.jpg,10.397331,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,62,d6b80371a23f933a5d06,DIOR-R,images/d6b80371a23f933a5d06.jpg,3.758537,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,63,ad83871368b836a5a080,DIOR-R,images/ad83871368b836a5a080.jpg,52.052299,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,64,a1eefedfd07fa5bad261,SODA-A,images/a1eefedfd07fa5bad261.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,65,1ee476661b315c57aa92,SODA-A,images/1ee476661b315c57aa92.jpg,150.446308,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,66,9b6f6900e2fe8eb6eea4,SODA-A,images/9b6f6900e2fe8eb6eea4.jpg,3.150702,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,67,e2ba5ac0b02b0db7449e,SODA-A,images/e2ba5ac0b02b0db7449e.jpg,90.000000,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,68,c6896e0091349eda8eef,DIOR-R,images/c6896e0091349eda8eef.jpg,108.245885,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,69,6ef481af5fdd26460eb7,SODA-A,images/6ef481af5fdd26460eb7.jpg,56.842040,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,70,f08a2ffabbab6ff00c07,DIOR-R,images/f08a2ffabbab6ff00c07.jpg,174.212761,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,71,f5e4887ab9ee7e467ffd,DIOR-R,images/f5e4887ab9ee7e467ffd.jpg,117.338131,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,72,95e535dfd174d8bdde60,SODA-A,images/95e535dfd174d8bdde60.jpg,179.664959,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,73,2f0bcd00096ee0bec01f,SODA-A,images/2f0bcd00096ee0bec01f.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,74,b2979986caec8457c0ac,FAIR1M-v1.0,images/b2979986caec8457c0ac.jpg,118.663964,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,75,eb3141e986c7a246fdd9,FAIR1M-v1.0,images/eb3141e986c7a246fdd9.jpg,92.021328,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,76,1c73331c467f3f03890a,SODA-A,images/1c73331c467f3f03890a.jpg,41.035342,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,77,3ee4bd2aeef348d52cb2,DIOR-R,images/3ee4bd2aeef348d52cb2.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,78,78e50794cb72006e21bd,DIOR-R,images/78e50794cb72006e21bd.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,79,11d369514255dc87f487,DIOR-R,images/11d369514255dc87f487.jpg,3.224519,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,80,e32c18bc93573fa73306,SODA-A,images/e32c18bc93573fa73306.jpg,1.382198,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,81,46285d931f85ed06a452,FAIR1M-v1.0,images/46285d931f85ed06a452.jpg,7.829082,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,82,62bb554cca06b40c2148,FAIR1M-v1.0,images/62bb554cca06b40c2148.jpg,115.474967,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-m600-recheck-v1,B,83,99cfa597a48c446d3394,DIOR-R,images/99cfa597a48c446d3394.jpg,0.962873,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,84,8a58ba368c494dc53875,SODA-A,images/8a58ba368c494dc53875.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,85,045448313cb7cca1eb8d,SODA-A,images/045448313cb7cca1eb8d.jpg,177.614057,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,86,0beb35e6e863a95a7205,DIOR-R,images/0beb35e6e863a95a7205.jpg,92.019207,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,87,662bdf6fb8dc9a338fd0,SODA-A,images/662bdf6fb8dc9a338fd0.jpg,92.489556,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,88,9895d6c7333c14c5fd66,DIOR-R,images/9895d6c7333c14c5fd66.jpg,117.292909,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,89,9f66709469940e69a1b3,SODA-A,images/9f66709469940e69a1b3.jpg,90.295321,0,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,90,4f606191ff1badddc70c,DIOR-R,images/4f606191ff1badddc70c.jpg,,1,0,,B,2026-07-21T15:01:37.805440+00:00
m4-071-final-v1,B,91,1850ebcf73982b46501d,DIOR-R,images/1850ebcf73982b46501d.jpg,0.245900,0,0,,B,2026-07-21T15:01:37.805440+00:00
