assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,3ed7c1860414723990c1,SODA-A,images/3ed7c1860414723990c1.jpg,67.067901,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,2,c62d2e6bdd2dd9ee7e38,FAIR1M-v1.0,images/c62d2e6bdd2dd9ee7e38.jpg,1.380329,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,3,6f568781d45d8b0aecdd,SODA-A,images/6f568781d45d8b0aecdd.jpg,,1,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,4,e0eb06ac80cfee5082e3,DIOR-R,images/e0eb06ac80cfee5082e3.jpg,102.817335,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,5,ee8005958dbd513b46bd,SODA-A,images/ee8005958dbd513b46bd.jpg,102.094703,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,6,54e446744a53c3f6febe,DIOR-R,images/54e446744a53c3f6febe.jpg,91.476386,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,7,34b358217303a26cc1bf,DIOR-R,images/34b358217303a26cc1bf.jpg,,1,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,8,14e1b64119edcc543749,FAIR1M-v1.0,images/14e1b64119edcc543749.jpg,13.544975,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,9,e16594e1d1936be715f7,SODA-A,images/e16594e1d1936be715f7.jpg,107.684353,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,10,4de392ca319f058b72d8,FAIR1M-v1.0,images/4de392ca319f058b72d8.jpg,85.815090,0,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,11,9fafa52b8c6d8f3fb1ab,FAIR1M-v1.0,images/9fafa52b8c6d8f3fb1ab.jpg,,1,0,,,2026-07-18T05:50:00.299828+00:00
m4-071-final-v1,B,12,84565862687fdc26933e,FAIR1M-v1.0,images/84565862687fdc26933e.jpg,178.768043,0,0,,,2026-07-18T05:50:00.299828+00:00
