assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,3ed7c1860414723990c1,SODA-A,images/3ed7c1860414723990c1.jpg,,,,,,
m4-071-final-v1,B,2,c62d2e6bdd2dd9ee7e38,FAIR1M-v1.0,images/c62d2e6bdd2dd9ee7e38.jpg,,,,,,
m4-071-final-v1,B,3,6f568781d45d8b0aecdd,SODA-A,images/6f568781d45d8b0aecdd.jpg,,,,,,
m4-071-final-v1,B,4,e0eb06ac80cfee5082e3,DIOR-R,images/e0eb06ac80cfee5082e3.jpg,,,,,,
m4-071-final-v1,B,5,ee8005958dbd513b46bd,SODA-A,images/ee8005958dbd513b46bd.jpg,,,,,,
m4-071-final-v1,B,6,54e446744a53c3f6febe,DIOR-R,images/54e446744a53c3f6febe.jpg,,,,,,
m4-071-final-v1,B,7,34b358217303a26cc1bf,DIOR-R,images/34b358217303a26cc1bf.jpg,,,,,,
m4-071-final-v1,B,8,14e1b64119edcc543749,FAIR1M-v1.0,images/14e1b64119edcc543749.jpg,,,,,,
m4-071-final-v1,B,9,e16594e1d1936be715f7,SODA-A,images/e16594e1d1936be715f7.jpg,,,,,,
m4-071-final-v1,B,10,4de392ca319f058b72d8,FAIR1M-v1.0,images/4de392ca319f058b72d8.jpg,,,,,,
m4-071-final-v1,B,11,9fafa52b8c6d8f3fb1ab,FAIR1M-v1.0,images/9fafa52b8c6d8f3fb1ab.jpg,,,,,,
m4-071-final-v1,B,12,84565862687fdc26933e,FAIR1M-v1.0,images/84565862687fdc26933e.jpg,,,,,,
m4-071-final-v1,B,13,c2bfca146fa5bca91dab,FAIR1M-v1.0,images/c2bfca146fa5bca91dab.jpg,,,,,,
m4-071-final-v1,B,14,a4ccde8f3fbf26bddc63,DIOR-R,images/a4ccde8f3fbf26bddc63.jpg,,,,,,
m4-071-final-v1,B,15,b7f674186f22233a51cf,FAIR1M-v1.0,images/b7f674186f22233a51cf.jpg,,,,,,
m4-071-final-v1,B,16,146207edd840a4d207e1,FAIR1M-v1.0,images/146207edd840a4d207e1.jpg,,,,,,
m4-071-final-v1,B,17,ad3aa34bcd7de6755aff,SODA-A,images/ad3aa34bcd7de6755aff.jpg,,,,,,
m4-071-final-v1,B,18,79dfb153847d5e8c9623,FAIR1M-v1.0,images/79dfb153847d5e8c9623.jpg,,,,,,
m4-071-final-v1,B,19,3acc55b2a155ffd22517,SODA-A,images/3acc55b2a155ffd22517.jpg,,,,,,
m4-071-final-v1,B,20,771e0223186be66e440d,DIOR-R,images/771e0223186be66e440d.jpg,,,,,,
m4-071-final-v1,B,21,60d45482c08fe1cf7a79,DIOR-R,images/60d45482c08fe1cf7a79.jpg,,,,,,
m4-071-final-v1,B,22,48d557d5b6eb0adca1d4,FAIR1M-v1.0,images/48d557d5b6eb0adca1d4.jpg,,,,,,
m4-071-final-v1,B,23,39bc759035c8053ff4e1,FAIR1M-v1.0,images/39bc759035c8053ff4e1.jpg,,,,,,
m4-071-final-v1,B,24,2226ee537d341d77062e,SODA-A,images/2226ee537d341d77062e.jpg,,,,,,
m4-071-final-v1,B,25,4b4cb056281640d81778,DIOR-R,images/4b4cb056281640d81778.jpg,,,,,,
m4-071-final-v1,B,26,e496f4faaafcc4060248,FAIR1M-v1.0,images/e496f4faaafcc4060248.jpg,,,,,,
m4-071-final-v1,B,27,8505108bb843f7989f0b,DIOR-R,images/8505108bb843f7989f0b.jpg,,,,,,
m4-071-final-v1,B,28,a5f3b7adb0aee99995a1,FAIR1M-v1.0,images/a5f3b7adb0aee99995a1.jpg,,,,,,
m4-071-final-v1,B,29,0e99498bc50b65543a1a,FAIR1M-v1.0,images/0e99498bc50b65543a1a.jpg,,,,,,
m4-071-final-v1,B,30,040ef01f5c31df720db4,FAIR1M-v1.0,images/040ef01f5c31df720db4.jpg,,,,,,
m4-071-final-v1,B,31,6c15f8b294fecdfdbfc9,FAIR1M-v1.0,images/6c15f8b294fecdfdbfc9.jpg,,,,,,
m4-071-final-v1,B,32,638da50ecf40974e2b65,SODA-A,images/638da50ecf40974e2b65.jpg,,,,,,
m4-071-final-v1,B,33,4cca02db987ec7d88c29,SODA-A,images/4cca02db987ec7d88c29.jpg,,,,,,
m4-071-final-v1,B,34,15b0269b812aeb8ea44f,DIOR-R,images/15b0269b812aeb8ea44f.jpg,,,,,,
m4-071-final-v1,B,35,3304ab39c4c81aefd84f,SODA-A,images/3304ab39c4c81aefd84f.jpg,,,,,,
m4-071-final-v1,B,36,9225c1845a38851ff1a0,DIOR-R,images/9225c1845a38851ff1a0.jpg,,,,,,
m4-071-final-v1,B,37,773083956f7ace5d891a,FAIR1M-v1.0,images/773083956f7ace5d891a.jpg,,,,,,
m4-071-final-v1,B,38,827e10a4d39338fb3641,FAIR1M-v1.0,images/827e10a4d39338fb3641.jpg,,,,,,
m4-071-final-v1,B,39,b566883c858141d3eadd,DIOR-R,images/b566883c858141d3eadd.jpg,,,,,,
m4-071-final-v1,B,40,52bcc8398a9ff11a55b0,FAIR1M-v1.0,images/52bcc8398a9ff11a55b0.jpg,,,,,,
m4-071-final-v1,B,41,9d1b5909d12290f9d48e,SODA-A,images/9d1b5909d12290f9d48e.jpg,,,,,,
m4-071-final-v1,B,42,af7b3ec798f1264cf697,SODA-A,images/af7b3ec798f1264cf697.jpg,,,,,,
m4-071-final-v1,B,43,6fb51e1c016317e0f0fc,FAIR1M-v1.0,images/6fb51e1c016317e0f0fc.jpg,,,,,,
m4-071-final-v1,B,44,d72ed6145a24353081d1,FAIR1M-v1.0,images/d72ed6145a24353081d1.jpg,,,,,,
m4-071-final-v1,B,45,f390841db170611b20a1,DIOR-R,images/f390841db170611b20a1.jpg,,,,,,
m4-071-final-v1,B,46,305786f0e4d18de8c011,DIOR-R,images/305786f0e4d18de8c011.jpg,,,,,,
m4-071-final-v1,B,47,8384cbc27cc65cab53d6,SODA-A,images/8384cbc27cc65cab53d6.jpg,,,,,,
m4-071-final-v1,B,48,3c0350db00a4f60e9ebd,SODA-A,images/3c0350db00a4f60e9ebd.jpg,,,,,,
m4-071-final-v1,B,49,a95783c1dcaddaef4d45,DIOR-R,images/a95783c1dcaddaef4d45.jpg,,,,,,
m4-071-final-v1,B,50,9d3f3c7886c3ebe79233,DIOR-R,images/9d3f3c7886c3ebe79233.jpg,,,,,,
m4-071-final-v1,B,51,8bcee75b94d6af5214bd,SODA-A,images/8bcee75b94d6af5214bd.jpg,,,,,,
m4-071-final-v1,B,52,2b876ac2ee076e29e1ab,SODA-A,images/2b876ac2ee076e29e1ab.jpg,,,,,,
m4-071-final-v1,B,53,aa3b443bc76b9a712052,SODA-A,images/aa3b443bc76b9a712052.jpg,,,,,,
m4-071-final-v1,B,54,e681c33f0960a6126295,FAIR1M-v1.0,images/e681c33f0960a6126295.jpg,,,,,,
m4-071-final-v1,B,55,847d3b16f9b355f00358,DIOR-R,images/847d3b16f9b355f00358.jpg,,,,,,
m4-071-final-v1,B,56,e4255537f04d6ba542de,DIOR-R,images/e4255537f04d6ba542de.jpg,,,,,,
m4-071-final-v1,B,57,56f1f5f8de98f8aeeb9f,FAIR1M-v1.0,images/56f1f5f8de98f8aeeb9f.jpg,,,,,,
m4-071-final-v1,B,58,ed69f65569574b6be3be,SODA-A,images/ed69f65569574b6be3be.jpg,,,,,,
m4-071-final-v1,B,59,97d4690dd890997a7c65,SODA-A,images/97d4690dd890997a7c65.jpg,,,,,,
m4-071-final-v1,B,60,62b6694d01e5f183a306,SODA-A,images/62b6694d01e5f183a306.jpg,,,,,,
m4-071-final-v1,B,61,bd3e47a433210886ef7b,DIOR-R,images/bd3e47a433210886ef7b.jpg,,,,,,
m4-071-final-v1,B,62,16d7bd7ea97217ba93e9,FAIR1M-v1.0,images/16d7bd7ea97217ba93e9.jpg,,,,,,
m4-071-final-v1,B,63,5b97cf92a63b460b0f7c,FAIR1M-v1.0,images/5b97cf92a63b460b0f7c.jpg,,,,,,
m4-071-final-v1,B,64,8dd86fdf121b83227dd2,DIOR-R,images/8dd86fdf121b83227dd2.jpg,,,,,,
m4-071-final-v1,B,65,e16a1dd87fe51af5cb2b,DIOR-R,images/e16a1dd87fe51af5cb2b.jpg,,,,,,
m4-071-final-v1,B,66,342b92079b040f08ce95,DIOR-R,images/342b92079b040f08ce95.jpg,,,,,,
m4-071-final-v1,B,67,4d31c583fa0294985e38,FAIR1M-v1.0,images/4d31c583fa0294985e38.jpg,,,,,,
m4-071-final-v1,B,68,bfe5c6fd10734de73162,FAIR1M-v1.0,images/bfe5c6fd10734de73162.jpg,,,,,,
m4-071-final-v1,B,69,2b1197055022445fe4a7,FAIR1M-v1.0,images/2b1197055022445fe4a7.jpg,,,,,,
m4-071-final-v1,B,70,9c99b4d065a2cadf8bdf,SODA-A,images/9c99b4d065a2cadf8bdf.jpg,,,,,,
m4-071-final-v1,B,71,838036a078693556b04e,FAIR1M-v1.0,images/838036a078693556b04e.jpg,,,,,,
m4-071-final-v1,B,72,c11cb43ed1677f99ff97,SODA-A,images/c11cb43ed1677f99ff97.jpg,,,,,,
m4-071-final-v1,B,73,15768eddb9e9474ce140,FAIR1M-v1.0,images/15768eddb9e9474ce140.jpg,,,,,,
m4-071-final-v1,B,74,6de412f2197fac6e6026,DIOR-R,images/6de412f2197fac6e6026.jpg,,,,,,
m4-071-final-v1,B,75,067320f17040968b5a7f,SODA-A,images/067320f17040968b5a7f.jpg,,,,,,
m4-071-final-v1,B,76,31c365a6f165487a24dd,FAIR1M-v1.0,images/31c365a6f165487a24dd.jpg,,,,,,
m4-071-final-v1,B,77,cbfd4b8d51a2cc4f9f5f,DIOR-R,images/cbfd4b8d51a2cc4f9f5f.jpg,,,,,,
m4-071-final-v1,B,78,b811823131c2d4e75842,FAIR1M-v1.0,images/b811823131c2d4e75842.jpg,,,,,,
m4-071-final-v1,B,79,eb66f7df86bf60ce6c78,DIOR-R,images/eb66f7df86bf60ce6c78.jpg,,,,,,
m4-071-final-v1,B,80,a9e6c578b63ff449800d,SODA-A,images/a9e6c578b63ff449800d.jpg,,,,,,
m4-071-final-v1,B,81,c8610c448ee197444bef,FAIR1M-v1.0,images/c8610c448ee197444bef.jpg,,,,,,
