assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,1ed8c0ac095d514bfc8a,DIOR-R,images/1ed8c0ac095d514bfc8a.jpg,,,,,,
m4-071-final-v1,B,2,1c7e0062864398384cee,SODA-A,images/1c7e0062864398384cee.jpg,,,,,,
m4-071-final-v1,B,3,7680d28b4d19ce474c9c,FAIR1M-v1.0,images/7680d28b4d19ce474c9c.jpg,,,,,,
m4-071-final-v1,B,4,e894ae3856b8f11c4766,FAIR1M-v1.0,images/e894ae3856b8f11c4766.jpg,,,,,,
m4-071-final-v1,B,5,0f2f7427d2f77cf8e8be,SODA-A,images/0f2f7427d2f77cf8e8be.jpg,,,,,,
m4-071-final-v1,B,6,85052467a35075b04539,FAIR1M-v1.0,images/85052467a35075b04539.jpg,,,,,,
m4-071-final-v1,B,7,40dcd8ca17a71d725665,FAIR1M-v1.0,images/40dcd8ca17a71d725665.jpg,,,,,,
m4-071-final-v1,B,8,d00e307730dcbe4244c6,DIOR-R,images/d00e307730dcbe4244c6.jpg,,,,,,
m4-071-final-v1,B,9,7bb9988b275fe25d0cfa,DIOR-R,images/7bb9988b275fe25d0cfa.jpg,,,,,,
m4-071-final-v1,B,10,98a488659ebccafb9c94,SODA-A,images/98a488659ebccafb9c94.jpg,,,,,,
m4-071-final-v1,B,11,6d1c3d2832dea61be9fe,FAIR1M-v1.0,images/6d1c3d2832dea61be9fe.jpg,,,,,,
m4-071-final-v1,B,12,a0d78d740e0a7ff29cd3,DIOR-R,images/a0d78d740e0a7ff29cd3.jpg,,,,,,
m4-071-final-v1,B,13,71e33180b7c90556edb8,FAIR1M-v1.0,images/71e33180b7c90556edb8.jpg,,,,,,
m4-071-final-v1,B,14,3e1e4afab613394b0c51,SODA-A,images/3e1e4afab613394b0c51.jpg,,,,,,
m4-071-final-v1,B,15,a2a3e7b938873b67bf2d,DIOR-R,images/a2a3e7b938873b67bf2d.jpg,,,,,,
m4-071-final-v1,B,16,7e66660032d7c676a1f8,DIOR-R,images/7e66660032d7c676a1f8.jpg,,,,,,
m4-071-final-v1,B,17,ee98e0dda9979ab6d6e2,FAIR1M-v1.0,images/ee98e0dda9979ab6d6e2.jpg,,,,,,
m4-071-final-v1,B,18,ff9c350526d44369e946,SODA-A,images/ff9c350526d44369e946.jpg,,,,,,
m4-071-final-v1,B,19,31394d636eeb70eb4b8e,SODA-A,images/31394d636eeb70eb4b8e.jpg,,,,,,
m4-071-final-v1,B,20,f28e18fdffd38c9d51c5,FAIR1M-v1.0,images/f28e18fdffd38c9d51c5.jpg,,,,,,
m4-071-final-v1,B,21,1dfe64b47e7cbe17c876,DIOR-R,images/1dfe64b47e7cbe17c876.jpg,,,,,,
m4-071-final-v1,B,22,66e71631bc3d58027580,FAIR1M-v1.0,images/66e71631bc3d58027580.jpg,,,,,,
m4-071-final-v1,B,23,422bce6bf4e4b4b72545,SODA-A,images/422bce6bf4e4b4b72545.jpg,,,,,,
m4-071-final-v1,B,24,85e3a6a0e1959de09557,SODA-A,images/85e3a6a0e1959de09557.jpg,,,,,,
m4-071-final-v1,B,25,958a29813ce4657283ee,DIOR-R,images/958a29813ce4657283ee.jpg,,,,,,
m4-071-final-v1,B,26,ba62f2c8d8ff1df653af,FAIR1M-v1.0,images/ba62f2c8d8ff1df653af.jpg,,,,,,
m4-071-final-v1,B,27,0dc10b9d696c8a2081cd,FAIR1M-v1.0,images/0dc10b9d696c8a2081cd.jpg,,,,,,
m4-071-final-v1,B,28,fa4d1e6ea7bedca1d259,SODA-A,images/fa4d1e6ea7bedca1d259.jpg,,,,,,
m4-071-final-v1,B,29,57298361665133ec88eb,DIOR-R,images/57298361665133ec88eb.jpg,,,,,,
m4-071-final-v1,B,30,593940ad41531dc91af1,DIOR-R,images/593940ad41531dc91af1.jpg,,,,,,
m4-071-final-v1,B,31,da574554b333a49303b8,SODA-A,images/da574554b333a49303b8.jpg,,,,,,
m4-071-final-v1,B,32,fbff9e92513854959e85,DIOR-R,images/fbff9e92513854959e85.jpg,,,,,,
m4-071-final-v1,B,33,1b0c27e72d4e61d3cf1e,FAIR1M-v1.0,images/1b0c27e72d4e61d3cf1e.jpg,,,,,,
m4-071-final-v1,B,34,d0926aa0dadcaa97cb26,FAIR1M-v1.0,images/d0926aa0dadcaa97cb26.jpg,,,,,,
m4-071-final-v1,B,35,6d97b10491e092355eb6,FAIR1M-v1.0,images/6d97b10491e092355eb6.jpg,,,,,,
m4-071-final-v1,B,36,ede1dff1d5530a618d10,DIOR-R,images/ede1dff1d5530a618d10.jpg,,,,,,
m4-071-final-v1,B,37,b445ead32e172828eec5,FAIR1M-v1.0,images/b445ead32e172828eec5.jpg,,,,,,
m4-071-final-v1,B,38,a85ff2ace4d0fdf351a2,SODA-A,images/a85ff2ace4d0fdf351a2.jpg,,,,,,
m4-071-final-v1,B,39,5df15418999ab09d2d3b,SODA-A,images/5df15418999ab09d2d3b.jpg,,,,,,
m4-071-final-v1,B,40,bdd139c6c116d4f557ab,FAIR1M-v1.0,images/bdd139c6c116d4f557ab.jpg,,,,,,
m4-071-final-v1,B,41,de1201701cc7fc4adc45,DIOR-R,images/de1201701cc7fc4adc45.jpg,,,,,,
m4-071-final-v1,B,42,c2d6088fe171edf08f61,SODA-A,images/c2d6088fe171edf08f61.jpg,,,,,,
m4-071-final-v1,B,43,1f6579867f65e6bbfdd2,DIOR-R,images/1f6579867f65e6bbfdd2.jpg,,,,,,
m4-071-final-v1,B,44,11f7c5eeb654ed8a8033,DIOR-R,images/11f7c5eeb654ed8a8033.jpg,,,,,,
m4-071-final-v1,B,45,1df08c8bb446a1816710,FAIR1M-v1.0,images/1df08c8bb446a1816710.jpg,,,,,,
m4-071-final-v1,B,46,acb36f4a9da6533c6e3c,SODA-A,images/acb36f4a9da6533c6e3c.jpg,,,,,,
m4-071-final-v1,B,47,d1a91b59c507a5db3875,DIOR-R,images/d1a91b59c507a5db3875.jpg,,,,,,
m4-071-final-v1,B,48,70000156d1d04f91f3e2,DIOR-R,images/70000156d1d04f91f3e2.jpg,,,,,,
m4-071-final-v1,B,49,fd258a427530bf621e25,FAIR1M-v1.0,images/fd258a427530bf621e25.jpg,,,,,,
m4-071-final-v1,B,50,bf75155a3da1b5dd44dd,SODA-A,images/bf75155a3da1b5dd44dd.jpg,,,,,,
m4-071-final-v1,B,51,ce0a6e2b0f8ab5e07a1a,FAIR1M-v1.0,images/ce0a6e2b0f8ab5e07a1a.jpg,,,,,,
m4-071-final-v1,B,52,8db553739bbb4f12a4a5,FAIR1M-v1.0,images/8db553739bbb4f12a4a5.jpg,,,,,,
m4-071-final-v1,B,53,458604a8d74e6365440c,SODA-A,images/458604a8d74e6365440c.jpg,,,,,,
m4-071-final-v1,B,54,92f97a6e9cfa89971972,SODA-A,images/92f97a6e9cfa89971972.jpg,,,,,,
m4-071-final-v1,B,55,a8a9aabdfc0c015fb83d,DIOR-R,images/a8a9aabdfc0c015fb83d.jpg,,,,,,
m4-071-final-v1,B,56,654f2393c16ff6bf8fef,FAIR1M-v1.0,images/654f2393c16ff6bf8fef.jpg,,,,,,
m4-071-final-v1,B,57,0b2cac902dd0c0cfb0fb,SODA-A,images/0b2cac902dd0c0cfb0fb.jpg,,,,,,
m4-071-final-v1,B,58,41ce6686a6ec67a7c150,SODA-A,images/41ce6686a6ec67a7c150.jpg,,,,,,
m4-071-final-v1,B,59,cf5a4ff788ffc30482a3,DIOR-R,images/cf5a4ff788ffc30482a3.jpg,,,,,,
m4-071-final-v1,B,60,1662080b86c5038e7fd3,FAIR1M-v1.0,images/1662080b86c5038e7fd3.jpg,,,,,,
m4-071-final-v1,B,61,87eb8d82d8688284b9d8,FAIR1M-v1.0,images/87eb8d82d8688284b9d8.jpg,,,,,,
m4-071-final-v1,B,62,4db7c8e9740d2bea4b7f,FAIR1M-v1.0,images/4db7c8e9740d2bea4b7f.jpg,,,,,,
m4-071-final-v1,B,63,4383f23465e0c9730581,SODA-A,images/4383f23465e0c9730581.jpg,,,,,,
m4-071-final-v1,B,64,33fd888e8f444fd557ec,DIOR-R,images/33fd888e8f444fd557ec.jpg,,,,,,
m4-071-final-v1,B,65,0c62b7440c0ee058f7bd,DIOR-R,images/0c62b7440c0ee058f7bd.jpg,,,,,,
m4-071-final-v1,B,66,4bd57077f1e4dd15534d,FAIR1M-v1.0,images/4bd57077f1e4dd15534d.jpg,,,,,,
m4-071-final-v1,B,67,1c2b1fd47eb89eb2969e,SODA-A,images/1c2b1fd47eb89eb2969e.jpg,,,,,,
m4-071-final-v1,B,68,5a0ca3107e56839ad27c,FAIR1M-v1.0,images/5a0ca3107e56839ad27c.jpg,,,,,,
m4-071-final-v1,B,69,39f5185a0111867419c4,SODA-A,images/39f5185a0111867419c4.jpg,,,,,,
m4-071-final-v1,B,70,1377216a75a9397f0af9,SODA-A,images/1377216a75a9397f0af9.jpg,,,,,,
m4-071-final-v1,B,71,18a4f6e2b414c6f9fe4d,SODA-A,images/18a4f6e2b414c6f9fe4d.jpg,,,,,,
m4-071-final-v1,B,72,42a52e6f549d3bc0538e,DIOR-R,images/42a52e6f549d3bc0538e.jpg,,,,,,
m4-071-final-v1,B,73,1d80dc2a66ab2e30ca79,SODA-A,images/1d80dc2a66ab2e30ca79.jpg,,,,,,
m4-071-final-v1,B,74,a508734a25aa2857c457,FAIR1M-v1.0,images/a508734a25aa2857c457.jpg,,,,,,
m4-071-final-v1,B,75,71ee3aa40e85240cfaec,DIOR-R,images/71ee3aa40e85240cfaec.jpg,,,,,,
m4-071-final-v1,B,76,999a1984200998b6786f,FAIR1M-v1.0,images/999a1984200998b6786f.jpg,,,,,,
m4-071-final-v1,B,77,aab0af5ff06eb4ebe3f8,DIOR-R,images/aab0af5ff06eb4ebe3f8.jpg,,,,,,
m4-071-final-v1,B,78,6e1850a74cc78cfd4442,FAIR1M-v1.0,images/6e1850a74cc78cfd4442.jpg,,,,,,
m4-071-final-v1,B,79,2c9157632c1273edcce0,FAIR1M-v1.0,images/2c9157632c1273edcce0.jpg,,,,,,
m4-071-final-v1,B,80,357f16168597da9120dd,DIOR-R,images/357f16168597da9120dd.jpg,,,,,,
m4-071-final-v1,B,81,de1a676b418189e0c0f2,FAIR1M-v1.0,images/de1a676b418189e0c0f2.jpg,,,,,,
m4-071-final-v1,B,82,32be332c1e9b0cc51e2e,DIOR-R,images/32be332c1e9b0cc51e2e.jpg,,,,,,
m4-071-final-v1,B,83,47d9e4ec3a2b28dbf14e,DIOR-R,images/47d9e4ec3a2b28dbf14e.jpg,,,,,,
m4-071-final-v1,B,84,5d525336af98527da2f4,DIOR-R,images/5d525336af98527da2f4.jpg,,,,,,
m4-071-final-v1,B,85,dee78c52d1b524a873e1,SODA-A,images/dee78c52d1b524a873e1.jpg,,,,,,
m4-071-final-v1,B,86,707cf9a1d66c31059abf,DIOR-R,images/707cf9a1d66c31059abf.jpg,,,,,,
m4-071-final-v1,B,87,781222248b91f3044ea7,SODA-A,images/781222248b91f3044ea7.jpg,,,,,,
m4-071-final-v1,B,88,218cf628ff1da7f7316b,FAIR1M-v1.0,images/218cf628ff1da7f7316b.jpg,,,,,,
m4-071-final-v1,B,89,3944fe961fb8675d166a,FAIR1M-v1.0,images/3944fe961fb8675d166a.jpg,,,,,,
m4-071-final-v1,B,90,f31bce78364652d2680e,FAIR1M-v1.0,images/f31bce78364652d2680e.jpg,,,,,,
m4-071-final-v1,B,91,079059d5f0930db891c1,DIOR-R,images/079059d5f0930db891c1.jpg,,,,,,
m4-071-final-v1,B,92,4e8b6455718cbc912530,DIOR-R,images/4e8b6455718cbc912530.jpg,,,,,,
