assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,1,f38247380a034dbbdef0,SODA-A,images/f38247380a034dbbdef0.jpg,87.838918,0,0,,A,
m4-071-final-v1,A,2,cbade1b829ab4a5175d5,DIOR-R,images/cbade1b829ab4a5175d5.jpg,,1,0,,A,
m4-071-final-v1,A,3,3222fee6b7070ae73362,FAIR1M-v1.0,images/3222fee6b7070ae73362.jpg,144.233327,0,0,,A,
m4-071-final-v1,A,4,525ff99f0fa9de18cbba,DIOR-R,images/525ff99f0fa9de18cbba.jpg,91.847607,0,0,,A,
m4-071-final-v1,A,5,03c17540cab099a1e4a9,SODA-A,images/03c17540cab099a1e4a9.jpg,91.636629,0,0,,A,
m4-071-final-v1,A,6,1b9bf8628816fe451f29,FAIR1M-v1.0,images/1b9bf8628816fe451f29.jpg,176.698153,0,0,,A,
m4-071-final-v1,A,7,4a00e2361a2eab3de3d8,SODA-A,images/4a00e2361a2eab3de3d8.jpg,86.531765,0,0,,A,
m4-071-final-v1,A,8,80fb51dd0a374caadd55,SODA-A,images/80fb51dd0a374caadd55.jpg,146.888731,0,0,,A,
m4-071-final-v1,A,9,a78bc0737225e6a9726c,FAIR1M-v1.0,images/a78bc0737225e6a9726c.jpg,,1,0,,A,
m4-071-final-v1,A,10,fac1a1f1ce19817c73fd,DIOR-R,images/fac1a1f1ce19817c73fd.jpg,,0,1,,A,
m4-071-final-v1,A,11,88382c0bc19cbd75ad24,SODA-A,images/88382c0bc19cbd75ad24.jpg,34.875308,0,0,,A,
m4-071-final-v1,A,12,94e404b8117ecc7468c4,FAIR1M-v1.0,images/94e404b8117ecc7468c4.jpg,8.198078,0,0,,A,
m4-071-final-v1,A,13,1540738339ff7347d62c,SODA-A,images/1540738339ff7347d62c.jpg,152.133023,0,0,,A,
m4-071-final-v1,A,14,560eee00187c0a3654c3,SODA-A,images/560eee00187c0a3654c3.jpg,3.247373,0,0,,A,
m4-071-final-v1,A,15,4464a57070f1a0840bbb,FAIR1M-v1.0,images/4464a57070f1a0840bbb.jpg,32.471144,0,0,,A,
m4-071-final-v1,A,16,66771d2c9cfc5f384271,FAIR1M-v1.0,images/66771d2c9cfc5f384271.jpg,72.315575,0,0,,A,
m4-071-final-v1,A,17,b128540b9a03de2592f8,DIOR-R,images/b128540b9a03de2592f8.jpg,179.678113,0,0,,A,
m4-071-final-v1,A,18,52654f448e6ca4ae7572,DIOR-R,images/52654f448e6ca4ae7572.jpg,90.584622,0,0,,A,
m4-071-final-v1,A,19,79a4314a62b255810aa6,FAIR1M-v1.0,images/79a4314a62b255810aa6.jpg,178.567944,0,0,,A,
m4-071-final-v1,A,20,ffe7274203df409a6634,SODA-A,images/ffe7274203df409a6634.jpg,0.535423,0,0,,A,
m4-071-final-v1,A,21,f33b7655a2949e2e9ffa,DIOR-R,images/f33b7655a2949e2e9ffa.jpg,,1,0,储油罐，没方向。,A,
m4-071-final-v1,A,22,4cac3e82cd5fa4d9f076,FAIR1M-v1.0,images/4cac3e82cd5fa4d9f076.jpg,136.974933,0,0,,A,
m4-071-final-v1,A,23,ddb07f47ade0aef91ba7,SODA-A,images/ddb07f47ade0aef91ba7.jpg,173.480223,0,0,,A,
m4-071-final-v1,A,24,ef3e1e83b4055e5f0e73,DIOR-R,images/ef3e1e83b4055e5f0e73.jpg,,1,0,储油罐，没方向,A,
m4-071-final-v1,A,25,82f08f4f8f3f1af990b4,DIOR-R,images/82f08f4f8f3f1af990b4.jpg,2.223948,0,0,,A,
m4-071-final-v1,A,26,b746e8431f0adc57dc6e,FAIR1M-v1.0,images/b746e8431f0adc57dc6e.jpg,14.796792,0,0,,A,
m4-071-final-v1,A,27,a6af568f9d049fdeb771,FAIR1M-v1.0,images/a6af568f9d049fdeb771.jpg,14.931399,0,0,,A,
m4-071-final-v1,A,28,1fd45b0caf5cbcec84cf,DIOR-R,images/1fd45b0caf5cbcec84cf.jpg,103.570353,0,0,,A,
m4-071-final-v1,A,29,f18bfaf0485ae8429f2c,SODA-A,images/f18bfaf0485ae8429f2c.jpg,0.000000,0,0,,A,
m4-071-final-v1,A,30,b77c600e7a9f51f11378,SODA-A,images/b77c600e7a9f51f11378.jpg,,1,0,,A,
m4-071-final-v1,A,31,bc72719f60bc024a5af5,SODA-A,images/bc72719f60bc024a5af5.jpg,90.000000,0,0,,A,
m4-071-final-v1,A,32,d5d73be1e3c488a731c5,DIOR-R,images/d5d73be1e3c488a731c5.jpg,1.974986,0,0,,A,
m4-071-final-v1,A,33,5a1eb98c6aa409abf362,SODA-A,images/5a1eb98c6aa409abf362.jpg,36.573028,0,0,,A,
m4-071-final-v1,A,34,c0ad33c584df4fa165af,DIOR-R,images/c0ad33c584df4fa165af.jpg,99.659748,0,0,,A,
m4-071-final-v1,A,35,8a2a1e3fac71eb908324,FAIR1M-v1.0,images/8a2a1e3fac71eb908324.jpg,,1,0,,A,
