assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,1,1ed8c0ac095d514bfc8a,DIOR-R,images/1ed8c0ac095d514bfc8a.jpg,,1,0,储油罐,B,
m4-071-final-v1,B,2,1c7e0062864398384cee,SODA-A,images/1c7e0062864398384cee.jpg,25.676822,0,0,,B,
m4-071-final-v1,B,3,7680d28b4d19ce474c9c,FAIR1M-v1.0,images/7680d28b4d19ce474c9c.jpg,148.760790,0,0,,B,
m4-071-final-v1,B,4,e894ae3856b8f11c4766,FAIR1M-v1.0,images/e894ae3856b8f11c4766.jpg,73.060910,0,0,,B,
m4-071-final-v1,B,5,0f2f7427d2f77cf8e8be,SODA-A,images/0f2f7427d2f77cf8e8be.jpg,32.905237,0,0,,B,
m4-071-final-v1,B,6,85052467a35075b04539,FAIR1M-v1.0,images/85052467a35075b04539.jpg,,0,1,,B,
m4-071-final-v1,B,7,40dcd8ca17a71d725665,FAIR1M-v1.0,images/40dcd8ca17a71d725665.jpg,117.255311,0,0,,B,
m4-071-final-v1,B,8,d00e307730dcbe4244c6,DIOR-R,images/d00e307730dcbe4244c6.jpg,,1,0,,B,
m4-071-final-v1,B,9,7bb9988b275fe25d0cfa,DIOR-R,images/7bb9988b275fe25d0cfa.jpg,124.902490,0,0,,B,
m4-071-final-v1,B,10,98a488659ebccafb9c94,SODA-A,images/98a488659ebccafb9c94.jpg,93.489328,0,0,,B,
m4-071-final-v1,B,11,6d1c3d2832dea61be9fe,FAIR1M-v1.0,images/6d1c3d2832dea61be9fe.jpg,26.016800,0,0,,B,
m4-071-final-v1,B,12,a0d78d740e0a7ff29cd3,DIOR-R,images/a0d78d740e0a7ff29cd3.jpg,,1,0,,B,
m4-071-final-v1,B,13,71e33180b7c90556edb8,FAIR1M-v1.0,images/71e33180b7c90556edb8.jpg,,1,0,,B,
m4-071-final-v1,B,14,3e1e4afab613394b0c51,SODA-A,images/3e1e4afab613394b0c51.jpg,63.038918,0,0,,B,
m4-071-final-v1,B,15,a2a3e7b938873b67bf2d,DIOR-R,images/a2a3e7b938873b67bf2d.jpg,,1,0,,B,
m4-071-final-v1,B,16,7e66660032d7c676a1f8,DIOR-R,images/7e66660032d7c676a1f8.jpg,88.069374,0,0,,B,
m4-071-final-v1,B,17,ee98e0dda9979ab6d6e2,FAIR1M-v1.0,images/ee98e0dda9979ab6d6e2.jpg,,1,0,,B,
m4-071-final-v1,B,18,ff9c350526d44369e946,SODA-A,images/ff9c350526d44369e946.jpg,169.540120,0,0,,B,
m4-071-final-v1,B,19,31394d636eeb70eb4b8e,SODA-A,images/31394d636eeb70eb4b8e.jpg,171.702838,0,0,,B,
m4-071-final-v1,B,20,f28e18fdffd38c9d51c5,FAIR1M-v1.0,images/f28e18fdffd38c9d51c5.jpg,26.200073,0,0,,B,
m4-071-final-v1,B,21,1dfe64b47e7cbe17c876,DIOR-R,images/1dfe64b47e7cbe17c876.jpg,90.648605,0,0,,B,
m4-071-final-v1,B,22,66e71631bc3d58027580,FAIR1M-v1.0,images/66e71631bc3d58027580.jpg,3.621463,0,0,,B,
