assignment_version,annotator_slot,task_id,canonical_anon_id,dataset,task_order,image_sha256,source_070_path
m4-071-final-v1,A,f38247380a034dbbdef0,f40dec08970cd145,SODA-A,1,dcc4ef44b5761fda1575a9450852ec891da27f44be841f13cbf4cc5d196d9508,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/f38247380a034dbbdef0.jpg
m4-071-final-v1,A,cbade1b829ab4a5175d5,de90cb4b4416059a,DIOR-R,2,5e6b906f8a17ef90b1854223e8a8e45837a0765853df6af44819288760f393f0,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/cbade1b829ab4a5175d5.jpg
m4-071-final-v1,A,3222fee6b7070ae73362,c4d20ad458504721,FAIR1M-v1.0,3,1ab86596be274aebdb7973d1a06ff9167a927bfa1a7e8143571c9d8007707465,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/3222fee6b7070ae73362.jpg
m4-071-final-v1,A,525ff99f0fa9de18cbba,a89cf4600ea3593a,DIOR-R,4,e2f449603b8d25d69b505b3e55b6edceb93b09b697de7f1c44d1e4f59da14d74,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/525ff99f0fa9de18cbba.jpg
m4-071-final-v1,A,03c17540cab099a1e4a9,c0cdb92976514558,SODA-A,5,5dcbdc3847c99d10d26c868e1f2d091afa31b66928ea4b6d6b3b14fa0eaa6d7c,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/03c17540cab099a1e4a9.jpg
m4-071-final-v1,A,1b9bf8628816fe451f29,7b6727eb1343ba4f,FAIR1M-v1.0,6,a5406084b844fe4b3342605b221b838895ceef4f0ea044b9c568ff21f0bbfdae,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/1b9bf8628816fe451f29.jpg
m4-071-final-v1,A,4a00e2361a2eab3de3d8,77b9703a651e2995,SODA-A,7,ef6180a70cd554c6aa224d9bc68beb5a441da5fabc21eb44ec318b7ed62681ac,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/4a00e2361a2eab3de3d8.jpg
m4-071-final-v1,A,80fb51dd0a374caadd55,0d1772ab77c27577,SODA-A,8,46f240e9822a6d2779b3e737a028f0c5e6dbac2ac48e09c651dbd76619c8e4a8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/80fb51dd0a374caadd55.jpg
m4-071-final-v1,A,a78bc0737225e6a9726c,b293c1b40edf40fc,FAIR1M-v1.0,9,09958a62052a6477ade4e85ad12f9327f2be9039a7493c7b5505bf7c92529bb7,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/a78bc0737225e6a9726c.jpg
m4-071-final-v1,A,fac1a1f1ce19817c73fd,d86f87aaf790b25f,DIOR-R,10,f0602125ca226bc9d2c3c2f772f447cf4fd5373a078b34dcb58aeba20a72ff62,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/fac1a1f1ce19817c73fd.jpg
