assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,A,784,e747242063ad068972c2,DIOR-R,images/e747242063ad068972c2.jpg,7.001255,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,222,f30c194043ad665c2db9,DIOR-R,images/f30c194043ad665c2db9.jpg,52.057834,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1218,9bc349daab579ec9286f,DIOR-R,images/9bc349daab579ec9286f.jpg,3.964659,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,44,e7333db35c0d4f18d016,DIOR-R,images/e7333db35c0d4f18d016.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,914,57fd65e09bfaa0a6ea71,DIOR-R,images/57fd65e09bfaa0a6ea71.jpg,83.088757,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1208,9a7a23f03323b9ea3fea,DIOR-R,images/9a7a23f03323b9ea3fea.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,200,f69c4aca94b2f515e2b3,DIOR-R,images/f69c4aca94b2f515e2b3.jpg,,1,0,可能储油罐,A,
m4-071-final-v1,A,170,19bd8bd9daab17c10a4c,DIOR-R,images/19bd8bd9daab17c10a4c.jpg,,1,0,,A,
m4-071-final-v1,A,1474,897a992989f19f5ff1d6,DIOR-R,images/897a992989f19f5ff1d6.jpg,144.681661,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,806,b3c7514e9e1f5d14ac17,DIOR-R,images/b3c7514e9e1f5d14ac17.jpg,104.661528,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,256,5d2ca81f1279811bc82c,DIOR-R,images/5d2ca81f1279811bc82c.jpg,0.525629,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,913,c598819dc62bba34d9ed,DIOR-R,images/c598819dc62bba34d9ed.jpg,112.416146,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,681,263d63c8a3ceeec85bfb,DIOR-R,images/263d63c8a3ceeec85bfb.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,726,c0571bd4c04187994337,DIOR-R,images/c0571bd4c04187994337.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,337,0c686251843ecd775af0,DIOR-R,images/0c686251843ecd775af0.jpg,85.236364,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,285,22c76885861a7b19626c,DIOR-R,images/22c76885861a7b19626c.jpg,79.672727,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1188,b4ace3436e9505a4dd54,DIOR-R,images/b4ace3436e9505a4dd54.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,108,3fd98bdfaee5bbd9eb96,DIOR-R,images/3fd98bdfaee5bbd9eb96.jpg,,0,1,,A,
m4-071-final-v1,A,819,0042754b42cefe5f9f23,DIOR-R,images/0042754b42cefe5f9f23.jpg,128.107574,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1231,527558e30294c282801c,DIOR-R,images/527558e30294c282801c.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,145,8caa97efbf73e8dd178d,DIOR-R,images/8caa97efbf73e8dd178d.jpg,51.428726,0,0,,A,
m4-071-final-v1,A,191,5c2569b37171441e36e8,DIOR-R,images/5c2569b37171441e36e8.jpg,,1,0,,A,
m4-071-final-v1,A,1383,50346ed50dd89ef99f35,DIOR-R,images/50346ed50dd89ef99f35.jpg,0.000000,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,895,5a6434d875232b2e334e,DIOR-R,images/5a6434d875232b2e334e.jpg,98.560887,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,974,62c8811cf3ed18d40235,DIOR-R,images/62c8811cf3ed18d40235.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,595,8958b3395547e4c2c9b3,DIOR-R,images/8958b3395547e4c2c9b3.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,578,e8471c9fbd65e984733a,DIOR-R,images/e8471c9fbd65e984733a.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,789,3823069504fec3df40b8,DIOR-R,images/3823069504fec3df40b8.jpg,92.829807,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1456,8c3841fec1e71c0ea1f2,DIOR-R,images/8c3841fec1e71c0ea1f2.jpg,31.005239,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,4,525ff99f0fa9de18cbba,DIOR-R,images/525ff99f0fa9de18cbba.jpg,91.847607,0,0,,A,
m4-071-final-v1,A,603,62b89c8d56f9040e12b9,DIOR-R,images/62b89c8d56f9040e12b9.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,121,f73d869ce2813d5f5443,DIOR-R,images/f73d869ce2813d5f5443.jpg,154.025612,0,0,,A,
m4-071-final-v1,A,34,c0ad33c584df4fa165af,DIOR-R,images/c0ad33c584df4fa165af.jpg,99.659748,0,0,,A,
m4-071-final-v1,A,528,4edc4ec35b15a52b81e1,DIOR-R,images/4edc4ec35b15a52b81e1.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,486,9a941571f929610ca87a,DIOR-R,images/9a941571f929610ca87a.jpg,91.041609,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,660,45ec8560a64f1d6a8d87,DIOR-R,images/45ec8560a64f1d6a8d87.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,674,b01277fb95af49dc2d65,DIOR-R,images/b01277fb95af49dc2d65.jpg,93.094063,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,75,c1476467d6c9446c1259,DIOR-R,images/c1476467d6c9446c1259.jpg,89.495205,0,0,,A,
m4-071-final-v1,A,136,bfa8f754d048d76ebb5d,DIOR-R,images/bfa8f754d048d76ebb5d.jpg,,0,1,,A,
m4-071-final-v1,A,765,6bebfd066a96d64cbfd8,DIOR-R,images/6bebfd066a96d64cbfd8.jpg,72.016229,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1408,56f9bf75bf7ee3550b08,DIOR-R,images/56f9bf75bf7ee3550b08.jpg,92.834067,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,25,82f08f4f8f3f1af990b4,DIOR-R,images/82f08f4f8f3f1af990b4.jpg,2.223948,0,0,,A,
m4-071-final-v1,A,831,dbf3ed951e30166a3d04,DIOR-R,images/dbf3ed951e30166a3d04.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1144,f7a3ec91f9b5ecbd7ead,DIOR-R,images/f7a3ec91f9b5ecbd7ead.jpg,,1,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,1388,5762882cba37d1fd17a5,DIOR-R,images/5762882cba37d1fd17a5.jpg,88.218044,0,0,,A,2026-07-21T14:12:08.420596+00:00
m4-071-final-v1,A,32,d5d73be1e3c488a731c5,DIOR-R,images/d5d73be1e3c488a731c5.jpg,1.974986,0,0,,A,
m4-071-final-v1,A,91,470e5427b3fde06cce4e,DIOR-R,images/470e5427b3fde06cce4e.jpg,93.782640,0,0,,A,
m4-071-final-v1,A,122,d2dbbfa3e9285dc86aae,DIOR-R,images/d2dbbfa3e9285dc86aae.jpg,1.548139,0,0,,A,
