assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
m4-071-final-v1,B,177,cf40a0127244b92c31ae,DIOR-R,images/cf40a0127244b92c31ae.jpg,55.049359,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,178,bbf80764ac7774737fd0,SODA-A,images/bbf80764ac7774737fd0.jpg,,1,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,179,fa60cb3db30eee4f6111,DIOR-R,images/fa60cb3db30eee4f6111.jpg,2.405968,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,180,02a2fff204bb67f5ea99,SODA-A,images/02a2fff204bb67f5ea99.jpg,62.650129,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,181,5a0ca3107e56839ad27c,FAIR1M-v1.0,images/5a0ca3107e56839ad27c.jpg,120.818882,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,182,b445ead32e172828eec5,FAIR1M-v1.0,images/b445ead32e172828eec5.jpg,,0,1,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,183,0dc10b9d696c8a2081cd,FAIR1M-v1.0,images/0dc10b9d696c8a2081cd.jpg,175.030251,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,184,1b0c27e72d4e61d3cf1e,FAIR1M-v1.0,images/1b0c27e72d4e61d3cf1e.jpg,89.292644,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,185,16ce36da79b22365cbc4,DIOR-R,images/16ce36da79b22365cbc4.jpg,,1,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,186,36654780d6eec7238013,DIOR-R,images/36654780d6eec7238013.jpg,156.236202,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,187,7bb9988b275fe25d0cfa,DIOR-R,images/7bb9988b275fe25d0cfa.jpg,124.902490,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,188,2554645b23a5af44dc24,FAIR1M-v1.0,images/2554645b23a5af44dc24.jpg,116.965681,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,189,1bc4919669b76c6bb996,FAIR1M-v1.0,images/1bc4919669b76c6bb996.jpg,178.876710,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,190,1c2b1fd47eb89eb2969e,SODA-A,images/1c2b1fd47eb89eb2969e.jpg,29.707001,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,191,2c9157632c1273edcce0,FAIR1M-v1.0,images/2c9157632c1273edcce0.jpg,69.443974,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,192,6e1850a74cc78cfd4442,FAIR1M-v1.0,images/6e1850a74cc78cfd4442.jpg,179.599325,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,193,65908c550e157e6c8a84,DIOR-R,images/65908c550e157e6c8a84.jpg,,1,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,194,267045aedf5bedda6a9e,FAIR1M-v1.0,images/267045aedf5bedda6a9e.jpg,,1,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,195,aa4e179d241cb1390229,DIOR-R,images/aa4e179d241cb1390229.jpg,,1,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,196,a41c5559b79c220d33d5,DIOR-R,images/a41c5559b79c220d33d5.jpg,90.313088,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,197,42a52e6f549d3bc0538e,DIOR-R,images/42a52e6f549d3bc0538e.jpg,2.231165,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,198,bb5d88bbb657c9f71a36,DIOR-R,images/bb5d88bbb657c9f71a36.jpg,177.299379,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,199,8e7dffb1cd9ed4b6d9aa,FAIR1M-v1.0,images/8e7dffb1cd9ed4b6d9aa.jpg,30.827664,0,0,,B,2026-07-18T04:32:03.732593+00:00
m4-071-final-v1,B,200,d9eaa4c71020e98130bf,FAIR1M-v1.0,images/d9eaa4c71020e98130bf.jpg,67.479482,0,0,,B,2026-07-18T04:32:03.732593+00:00
