hypothesis_key,level,key,endpoint,delta_main,delta_ablation,dod,delta_main_ci_low,delta_main_ci_high,delta_ablation_ci_low,delta_ablation_ci_high,dod_ci_low,dod_ci_high,p_raw,epsilon_main,epsilon_ablation,main_swap70,ablation_swap70,p_holm,witness
unit|A|linear_source_frozen|AUGRC|NO_LONGSIDE_AR21,unit,A,AUGRC,0.0009674199180386,0.0007350405158365,0.0002323794022021,0.0007229880830703414,0.0012006816516434025,-0.0015068292918528556,0.0030250037665990525,-0.0020353404535790316,0.002451893771348883,0.8378162183781622,0.0005,0.0051176756631315,0.1813849899000362,0.1813849899000362,1.0,False
unit|A|linear_source_frozen|AUGRC|NO_GEONORM_AR21,unit,A,AUGRC,0.0009674199180386,-0.0002030310760287,0.0011704509940674,0.0007229880830703414,0.0012006816516434025,-0.00029708530085809624,-0.00011988801732111144,0.0009936718875884004,0.0013446720875651208,9.999000099990002e-05,0.0005,0.0005,0.1813849899000362,0.1813849899000362,0.026997300269973004,False
unit|A|linear_source_frozen|AUGRC|NORMALIZED_ALL_AR,unit,A,AUGRC,0.0009674199180386,-0.0108146820639458,0.0117821019819844,0.0007229880830703414,0.0012006816516434025,-0.01198423916775774,-0.00966615868318308,0.01061735164899286,0.012958511329812959,9.999000099990002e-05,0.0005,0.0009966844577271,0.1813849899000362,0.2333371704846322,0.026997300269973004,True
unit|A|linear_source_frozen|AUGRC|NORMALIZED_AR16,unit,A,AUGRC,0.0009674199180386,0.0008208577183346,0.0001465621997039,0.0007229880830703414,0.0012006816516434025,0.0005980681502296951,0.0010362233670035304,3.75363811384327e-05,0.0002618032630824398,0.011998800119988001,0.0005,0.0005,0.1813849899000362,0.1714660831509847,1.0,False
unit|A|linear_source_frozen|AUGRC|NORMALIZED_AR13,unit,A,AUGRC,0.0009674199180386,7.595503251023317e-05,0.0008914648855284,0.0007229880830703414,0.0012006816516434025,-0.0002486790652134305,0.0003741444935173318,0.0006240410264002326,0.0011837914018057603,9.999000099990002e-05,0.0005,0.0005,0.1813849899000362,0.1765034741634054,0.026997300269973004,False
unit|A|linear_source_frozen|Risk@70|NO_LONGSIDE_AR21,unit,A,Risk@70,0.0024023369161906,0.0004784971980686,0.0019238397181219,0.0014355101822856502,0.003327639476252113,-0.008330296965481359,0.00847862996026721,-0.0058421999647149375,0.010750014903295671,0.6645335466453355,0.001,0.0102957662527066,0.1813849899000362,0.1813849899000362,1.0,False
unit|A|linear_source_frozen|Risk@70|NO_GEONORM_AR21,unit,A,Risk@70,0.0024023369161906,-0.0005272764605894,0.0029296133767801,0.0014355101822856502,0.003327639476252113,-0.000898240580568498,-0.00018485504973319683,0.0022772330056709486,0.003566592238190579,9.999000099990002e-05,0.001,0.001,0.1813849899000362,0.1813849899000362,0.026997300269973004,False
unit|A|linear_source_frozen|Risk@70|NORMALIZED_ALL_AR,unit,A,Risk@70,0.0024023369161906,-0.0264081505199803,0.028810487436171,0.0014355101822856502,0.003327639476252113,-0.03106992079862061,-0.022062953066861637,0.02432422875479247,0.03357229951352489,9.999000099990002e-05,0.001,0.0020117875443038,0.1813849899000362,0.2333371704846322,0.026997300269973004,True
unit|A|linear_source_frozen|Risk@70|NORMALIZED_AR16,unit,A,Risk@70,0.0024023369161906,0.0021404675396871,0.0002618693765034,0.0014355101822856502,0.003327639476252113,0.0013349299630515084,0.0030935582365369378,-0.00041348079989913817,0.0007431852704316305,0.41235876412358763,0.001,0.001,0.1813849899000362,0.1714660831509847,1.0,False
unit|A|linear_source_frozen|Risk@70|NORMALIZED_AR13,unit,A,Risk@70,0.0024023369161906,0.0001215141306569,0.0022808227855336,0.0014355101822856502,0.003327639476252113,-0.0011558918330233407,0.0012681554923571897,0.0011597872184750065,0.0034760156465502494,9.999000099990002e-05,0.001,0.001,0.1813849899000362,0.1765034741634054,0.026997300269973004,False
