aspect_ratio,delta_theta_deg,iou
1.0,0.0,1.0
1.0,1.0,0.982994
1.0,2.0,0.966847
1.0,3.0,0.951506
1.0,4.0,0.936926
1.0,5.0,0.923062
1.0,6.0,0.909876
1.0,7.0,0.897331
1.0,8.0,0.885394
1.0,9.0,0.874032
1.0,10.0,0.863218
1.0,11.0,0.852925
1.0,12.0,0.843128
1.0,13.0,0.833805
1.0,14.0,0.824934
1.0,15.0,0.816497
1.0,16.0,0.808473
1.0,17.0,0.800848
1.0,18.0,0.793604
1.0,19.0,0.786728
1.0,20.0,0.780206
1.0,21.0,0.774025
1.0,22.0,0.768173
1.0,23.0,0.762639
1.0,24.0,0.757414
1.0,25.0,0.752487
1.0,26.0,0.747851
1.0,27.0,0.743496
1.0,28.0,0.739416
1.0,29.0,0.735603
1.0,30.0,0.732051
1.0,31.0,0.728754
1.0,32.0,0.725707
1.0,33.0,0.722904
1.0,34.0,0.720341
1.0,35.0,0.718015
1.0,36.0,0.715921
1.0,37.0,0.714056
1.0,38.0,0.712417
1.0,39.0,0.711002
1.0,40.0,0.709808
1.0,41.0,0.708833
1.0,42.0,0.708077
1.0,43.0,0.707538
1.0,44.0,0.707214
1.0,45.0,0.707107
1.0,46.0,0.707214
1.0,47.0,0.707538
1.0,48.0,0.708077
1.0,49.0,0.708833
1.0,50.0,0.709808
1.0,51.0,0.711002
1.0,52.0,0.712417
1.0,53.0,0.714056
1.0,54.0,0.715921
1.0,55.0,0.718015
1.0,56.0,0.720341
1.0,57.0,0.722904
1.0,58.0,0.725707
1.0,59.0,0.728754
1.0,60.0,0.732051
1.0,61.0,0.735603
1.0,62.0,0.739416
1.0,63.0,0.743496
1.0,64.0,0.747851
1.0,65.0,0.752487
1.0,66.0,0.757414
1.0,67.0,0.762639
1.0,68.0,0.768173
1.0,69.0,0.774025
1.0,70.0,0.780206
1.0,71.0,0.786728
1.0,72.0,0.793604
1.0,73.0,0.800848
1.0,74.0,0.808473
1.0,75.0,0.816497
1.0,76.0,0.824934
1.0,77.0,0.833805
1.0,78.0,0.843128
1.0,79.0,0.852925
1.0,80.0,0.863218
1.0,81.0,0.874032
1.0,82.0,0.885394
1.0,83.0,0.897331
1.0,84.0,0.909876
1.0,85.0,0.923062
1.0,86.0,0.936926
1.0,87.0,0.951506
1.0,88.0,0.966847
1.0,89.0,0.982994
1.0,90.0,1.0
1.2,0.0,1.0
1.2,1.0,0.982708
1.2,2.0,0.966284
1.2,3.0,0.950674
1.2,4.0,0.935832
1.2,5.0,0.921713
1.2,6.0,0.908276
1.2,7.0,0.895485
1.2,8.0,0.883304
1.2,9.0,0.871703
1.2,10.0,0.860651
1.2,11.0,0.850123
1.2,12.0,0.840091
1.2,13.0,0.830534
1.2,14.0,0.821429
1.2,15.0,0.812757
1.2,16.0,0.804497
1.2,17.0,0.796634
1.2,18.0,0.789151
1.2,19.0,0.782032
1.2,20.0,0.775264
1.2,21.0,0.768833
1.2,22.0,0.762728
1.2,23.0,0.756935
1.2,24.0,0.751446
1.2,25.0,0.746249
1.2,26.0,0.741336
1.2,27.0,0.736697
1.2,28.0,0.732325
1.2,29.0,0.728212
1.2,30.0,0.72435
1.2,31.0,0.720734
1.2,32.0,0.717356
1.2,33.0,0.714211
1.2,34.0,0.711294
1.2,35.0,0.7086
1.2,36.0,0.706123
1.2,37.0,0.703859
1.2,38.0,0.701806
1.2,39.0,0.699957
1.2,40.0,0.698311
1.2,41.0,0.696863
1.2,42.0,0.69561
1.2,43.0,0.694551
1.2,44.0,0.693681
1.2,45.0,0.692998
1.2,46.0,0.692501
1.2,47.0,0.692186
1.2,48.0,0.692052
1.2,49.0,0.692095
1.2,50.0,0.692315
1.2,51.0,0.692709
1.2,52.0,0.693275
1.2,53.0,0.69401
1.2,54.0,0.694912
1.2,55.0,0.695978
1.2,56.0,0.697206
1.2,57.0,0.698592
1.2,58.0,0.700132
1.2,59.0,0.701822
1.2,60.0,0.703657
1.2,61.0,0.70563
1.2,62.0,0.707734
1.2,63.0,0.709961
1.2,64.0,0.7123
1.2,65.0,0.714738
1.2,66.0,0.71726
1.2,67.0,0.719846
1.2,68.0,0.722474
1.2,69.0,0.725114
1.2,70.0,0.727732
1.2,71.0,0.730284
1.2,72.0,0.732714
1.2,73.0,0.734952
1.2,74.0,0.736911
1.2,75.0,0.738476
1.2,76.0,0.739501
1.2,77.0,0.739792
1.2,78.0,0.739091
1.2,79.0,0.737049
1.2,80.0,0.733386
1.2,81.0,0.729686
1.2,82.0,0.726405
1.2,83.0,0.723531
1.2,84.0,0.721057
1.2,85.0,0.718976
1.2,86.0,0.717281
1.2,87.0,0.715968
1.2,88.0,0.715032
1.2,89.0,0.714472
1.2,90.0,0.714286
1.6,0.0,1.0
1.6,1.0,0.981065
1.6,2.0,0.963053
1.6,3.0,0.945905
1.6,4.0,0.929566
1.6,5.0,0.913988
1.6,6.0,0.899125
1.6,7.0,0.884935
1.6,8.0,0.871379
1.6,9.0,0.858422
1.6,10.0,0.84603
1.6,11.0,0.834173
1.6,12.0,0.822822
1.6,13.0,0.81195
1.6,14.0,0.801532
1.6,15.0,0.791547
1.6,16.0,0.78197
1.6,17.0,0.772783
1.6,18.0,0.763967
1.6,19.0,0.755502
1.6,20.0,0.747373
1.6,21.0,0.739563
1.6,22.0,0.732057
1.6,23.0,0.724841
1.6,24.0,0.717901
1.6,25.0,0.711224
1.6,26.0,0.704798
1.6,27.0,0.69861
1.6,28.0,0.69265
1.6,29.0,0.686906
1.6,30.0,0.681367
1.6,31.0,0.676024
1.6,32.0,0.670865
1.6,33.0,0.665882
1.6,34.0,0.661064
1.6,35.0,0.656402
1.6,36.0,0.651886
1.6,37.0,0.647506
1.6,38.0,0.643254
1.6,39.0,0.639118
1.6,40.0,0.63509
1.6,41.0,0.631159
1.6,42.0,0.627315
1.6,43.0,0.623548
1.6,44.0,0.619845
1.6,45.0,0.616196
1.6,46.0,0.612588
1.6,47.0,0.609008
1.6,48.0,0.605442
1.6,49.0,0.601876
1.6,50.0,0.598293
1.6,51.0,0.594678
1.6,52.0,0.59101
1.6,53.0,0.58727
1.6,54.0,0.583436
1.6,55.0,0.579483
1.6,56.0,0.575385
1.6,57.0,0.571113
1.6,58.0,0.566633
1.6,59.0,0.561909
1.6,60.0,0.5569
1.6,61.0,0.55156
1.6,62.0,0.545838
1.6,63.0,0.539677
1.6,64.0,0.533009
1.6,65.0,0.526265
1.6,66.0,0.519927
1.6,67.0,0.513976
1.6,68.0,0.508391
1.6,69.0,0.503155
1.6,70.0,0.498252
1.6,71.0,0.493666
1.6,72.0,0.489385
1.6,73.0,0.485396
1.6,74.0,0.481687
1.6,75.0,0.478249
1.6,76.0,0.475071
1.6,77.0,0.472147
1.6,78.0,0.469468
1.6,79.0,0.467026
1.6,80.0,0.464817
1.6,81.0,0.462834
1.6,82.0,0.461072
1.6,83.0,0.459528
1.6,84.0,0.458196
1.6,85.0,0.457075
1.6,86.0,0.456162
1.6,87.0,0.455453
1.6,88.0,0.454949
1.6,89.0,0.454646
1.6,90.0,0.454545
2.0,0.0,1.0
2.0,1.0,0.978713
2.0,2.0,0.958437
2.0,3.0,0.939103
2.0,4.0,0.920647
2.0,5.0,0.903013
2.0,6.0,0.886148
2.0,7.0,0.870002
2.0,8.0,0.854531
2.0,9.0,0.839692
2.0,10.0,0.825448
2.0,11.0,0.811763
2.0,12.0,0.798602
2.0,13.0,0.785935
2.0,14.0,0.773733
2.0,15.0,0.761968
2.0,16.0,0.750614
2.0,17.0,0.739648
2.0,18.0,0.729047
2.0,19.0,0.718788
2.0,20.0,0.708852
2.0,21.0,0.699219
2.0,22.0,0.68987
2.0,23.0,0.680788
2.0,24.0,0.671956
2.0,25.0,0.663356
2.0,26.0,0.654974
2.0,27.0,0.646792
2.0,28.0,0.638798
2.0,29.0,0.630975
2.0,30.0,0.62331
2.0,31.0,0.615787
2.0,32.0,0.608394
2.0,33.0,0.601115
2.0,34.0,0.593937
2.0,35.0,0.586847
2.0,36.0,0.579828
2.0,37.0,0.572868
2.0,38.0,0.565951
2.0,39.0,0.559062
2.0,40.0,0.552187
2.0,41.0,0.545309
2.0,42.0,0.538412
2.0,43.0,0.531478
2.0,44.0,0.524489
2.0,45.0,0.517428
2.0,46.0,0.510274
2.0,47.0,0.503007
2.0,48.0,0.495603
2.0,49.0,0.48804
2.0,50.0,0.480293
2.0,51.0,0.472335
2.0,52.0,0.464137
2.0,53.0,0.455669
2.0,54.0,0.447214
2.0,55.0,0.43925
2.0,56.0,0.431751
2.0,57.0,0.424686
2.0,58.0,0.418027
2.0,59.0,0.411748
2.0,60.0,0.405827
2.0,61.0,0.400244
2.0,62.0,0.394977
2.0,63.0,0.390012
2.0,64.0,0.38533
2.0,65.0,0.380919
2.0,66.0,0.376764
2.0,67.0,0.372853
2.0,68.0,0.369176
2.0,69.0,0.365721
2.0,70.0,0.36248
2.0,71.0,0.359444
2.0,72.0,0.356605
2.0,73.0,0.353955
2.0,74.0,0.351488
