assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,notes,annotator_id,annotation_timestamp_utc
a5-076-third-v1,3,1,cb450498f09b85247121,SODA-A,images/cb450498f09b85247121.jpg,,,,,,
a5-076-third-v1,3,2,6af291fb8f810c9d7e52,DIOR-R,images/6af291fb8f810c9d7e52.jpg,,,,,,
a5-076-third-v1,3,3,e4536430f636fe756610,SODA-A,images/e4536430f636fe756610.jpg,,,,,,
a5-076-third-v1,3,4,4902cfbcd263efec47c6,FAIR1M-v1.0,images/4902cfbcd263efec47c6.jpg,,,,,,
a5-076-third-v1,3,5,8a4bc57716c81c5bcf86,FAIR1M-v1.0,images/8a4bc57716c81c5bcf86.jpg,,,,,,
a5-076-third-v1,3,6,0ed9c6d7348c306228e9,SODA-A,images/0ed9c6d7348c306228e9.jpg,,,,,,
a5-076-third-v1,3,7,3c9b224acd34403d6f0d,SODA-A,images/3c9b224acd34403d6f0d.jpg,,,,,,
a5-076-third-v1,3,8,9647c16012f3187cc4f8,FAIR1M-v1.0,images/9647c16012f3187cc4f8.jpg,,,,,,
a5-076-third-v1,3,9,6bf7048458b2594c6ffc,DIOR-R,images/6bf7048458b2594c6ffc.jpg,,,,,,
a5-076-third-v1,3,10,878146e2cad3ce12c173,FAIR1M-v1.0,images/878146e2cad3ce12c173.jpg,,,,,,
a5-076-third-v1,3,11,85823d078d4291f98bea,DIOR-R,images/85823d078d4291f98bea.jpg,,,,,,
a5-076-third-v1,3,12,38ec7250c1cfc60f092e,DIOR-R,images/38ec7250c1cfc60f092e.jpg,,,,,,
a5-076-third-v1,3,13,2730bfbcc665e4ceac89,DIOR-R,images/2730bfbcc665e4ceac89.jpg,,,,,,
a5-076-third-v1,3,14,25d490b98acbe591d859,SODA-A,images/25d490b98acbe591d859.jpg,,,,,,
a5-076-third-v1,3,15,c5881775e9d144c81f31,DIOR-R,images/c5881775e9d144c81f31.jpg,,,,,,
a5-076-third-v1,3,16,0f5fcb10429d3299c6b4,SODA-A,images/0f5fcb10429d3299c6b4.jpg,,,,,,
a5-076-third-v1,3,17,01f97d28fb80f90d9b42,SODA-A,images/01f97d28fb80f90d9b42.jpg,,,,,,
a5-076-third-v1,3,18,9b49ad05a8879467688d,SODA-A,images/9b49ad05a8879467688d.jpg,,,,,,
a5-076-third-v1,3,19,e1241e4c8b3f15bc1ed9,SODA-A,images/e1241e4c8b3f15bc1ed9.jpg,,,,,,
a5-076-third-v1,3,20,dafa487bd2bf3221227f,DIOR-R,images/dafa487bd2bf3221227f.jpg,,,,,,
a5-076-third-v1,3,21,701d48b6356da6f9027b,SODA-A,images/701d48b6356da6f9027b.jpg,,,,,,
a5-076-third-v1,3,22,163c84db13b150efe296,DIOR-R,images/163c84db13b150efe296.jpg,,,,,,
a5-076-third-v1,3,23,996665a9b9ce4a388e6c,DIOR-R,images/996665a9b9ce4a388e6c.jpg,,,,,,
a5-076-third-v1,3,24,2efd46b839a14359fb7b,FAIR1M-v1.0,images/2efd46b839a14359fb7b.jpg,,,,,,
a5-076-third-v1,3,25,236b9400ff7974cce219,SODA-A,images/236b9400ff7974cce219.jpg,,,,,,
a5-076-third-v1,3,26,a8f8023bc10d767b7e29,SODA-A,images/a8f8023bc10d767b7e29.jpg,,,,,,
a5-076-third-v1,3,27,36f6a0f39eb254419cfb,SODA-A,images/36f6a0f39eb254419cfb.jpg,,,,,,
a5-076-third-v1,3,28,2ae13fef965e75af2c97,DIOR-R,images/2ae13fef965e75af2c97.jpg,,,,,,
a5-076-third-v1,3,29,f7f42ad67fbf58142a5b,DIOR-R,images/f7f42ad67fbf58142a5b.jpg,,,,,,
a5-076-third-v1,3,30,a8dc64f11ecb9fd86b6e,SODA-A,images/a8dc64f11ecb9fd86b6e.jpg,,,,,,
a5-076-third-v1,3,31,bb5c6f643b883a9d002d,DIOR-R,images/bb5c6f643b883a9d002d.jpg,,,,,,
