evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,coverage,fit_threshold,selected_calibration_instances,nonempty_calibration_scenes,conditional_scene_risk,hb_ucb,pointwise_pass,prefix_open_before,prefix_open_after,after_first_failure_pointwise_pass
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.200000,1.000001,2986,336,0.000000,0.006830,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.300000,1.000001,4179,504,0.000000,0.004558,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.400000,1.000001,5009,681,0.000000,0.003375,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.500000,1.000000,6753,877,0.000000,0.002622,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.600000,1.000000,7656,1014,0.000000,0.002268,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.700000,1.000000,8901,1188,0.000000,0.001936,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.800000,1.000000,10378,1395,0.000000,0.001649,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.900000,1.000000,12283,1617,0.000000,0.001423,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
