identity_key,evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,alpha,r_fit,trivial_guarantee,actual_feasible,actual_practical,actual_target_coverage,actual_selected_count,n_max_calibration_scenes,zero_loss_hb_ucb_delta_0.1,oracle_primary_feasible,oracle_chosen_coverage,attribution
A|detection_score|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|detection_score|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
