identity_key,evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,alpha,trivial,actual_feasible,actual_practical,actual_coverage,actual_count,structural_power_limit,scene_envelope_feasible,scene_envelope_min_ucb,attribution,main_denominator,conservative_other_target_free_witness,diagnostic_target_gt_witness,score_cause_upper_possible
A|detection_score|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,False,False,False,0.000000,0,True,False,0.001299,STRUCTURAL_POWER_LIMIT,True,False,False,False
A|detection_score|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|detection_score|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|detection_score|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|detection_score|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|detection_score|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,absolute,0.001000,False,False,False,0.000000,0,True,False,0.001299,STRUCTURAL_POWER_LIMIT,True,False,False,False
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,absolute,0.005000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|tta_circular_consistency|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,absolute,0.010000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|tta_circular_consistency|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|tta_circular_consistency|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,absolute,0.001000,False,False,False,0.000000,0,True,False,0.001299,STRUCTURAL_POWER_LIMIT,True,False,False,False
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.005,absolute,0.005000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.01,absolute,0.010000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|source_supervised_leave_geometry|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|source_supervised_leave_geometry|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,True,False,False,True
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.001,absolute,0.001000,False,False,False,0.000000,0,True,False,0.001299,STRUCTURAL_POWER_LIMIT,False,False,False,False
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,False,False,False,False
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.005,absolute,0.005000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,False,False,False,False
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.01,absolute,0.010000,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,False,False,False,False
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,False,False,False,False
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,False,False,False,0.000000,0,False,True,0.001299,SELECTION_PROTOCOL_GAP,False,False,False,False
A|detection_score|angle_error_gt_5deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,False,False,False,0.000000,0,True,False,0.001332,STRUCTURAL_POWER_LIMIT,False,False,False,False
A|detection_score|angle_error_gt_5deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,False,False,False,0.000000,0,False,True,0.001332,SELECTION_PROTOCOL_GAP,False,False,False,False
A|detection_score|angle_error_gt_5deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,False,False,False,0.000000,0,False,True,0.001332,SELECTION_PROTOCOL_GAP,False,False,False,False
A|detection_score|angle_error_gt_5deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,False,False,False,0.000000,0,False,True,0.001332,SELECTION_PROTOCOL_GAP,False,False,False,False
A|detection_score|angle_error_gt_5deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,False,False,False,0.000000,0,False,True,0.001332,SELECTION_PROTOCOL_GAP,False,False,False,False
A|detection_score|angle_error_gt_5deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,False,False,False,0.000000,0,False,True,0.001332,SELECTION_PROTOCOL_GAP,False,False,False,False
