evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,r_fit,base_risk,alpha,alpha_gt_base_risk,trivial_guarantee,selected_threshold,target_coverage,certified_risk_ucb,mean_calibration_risk,mean_audit_risk,audit_risk_ucb,nonempty_scene_rate,selected_instance_coverage,selected_count,calibration_scene_count,audit_scene_count,feasible,certified,nontrivial_certified,practical,reason
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.020007,0.020007,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.020007,0.020007,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.020007,0.020007,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.020007,0.020007,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.020007,0.020007,0.010003,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.020007,0.020007,0.005002,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,absolute,0.020007,0.020007,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,absolute,0.020007,0.020007,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,absolute,0.020007,0.020007,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,absolute,0.020007,0.020007,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,relative,0.020007,0.020007,0.010003,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,relative,0.020007,0.020007,0.005002,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,absolute,0.020007,0.020007,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.0025,absolute,0.020007,0.020007,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.005,absolute,0.020007,0.020007,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.01,absolute,0.020007,0.020007,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.5_r_fit,relative,0.020007,0.020007,0.010003,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.25_r_fit,relative,0.020007,0.020007,0.005002,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.001,absolute,0.020007,0.020007,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.0025,absolute,0.020007,0.020007,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
