evaluation_unit,dataset,detector,risk_endpoint,alpha_label,alpha_type,r_fit,alpha,n_max_calibration_scenes,zero_loss_hb_ucb_delta_0.1,zero_event_cp_ucb_delta_0.1,zero_loss_hb_ucb_delta_0.05,zero_event_cp_ucb_delta_0.05,zero_loss_hb_ucb_delta_0.01,zero_event_cp_ucb_delta_0.01,structural_power_limit_delta_0.1
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.001,absolute,0.020007,0.001000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,True
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.0025,absolute,0.020007,0.002500,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.005,absolute,0.020007,0.005000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.01,absolute,0.020007,0.010000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,relative_0.5_r_fit,relative,0.020007,0.010003,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,geometry_normalized_severe,relative_0.25_r_fit,relative,0.020007,0.005002,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.001,absolute,0.081887,0.001000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,True
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.0025,absolute,0.081887,0.002500,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.005,absolute,0.081887,0.005000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.01,absolute,0.081887,0.010000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.081887,0.040944,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.081887,0.020472,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.001,absolute,0.018776,0.001000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,True
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.0025,absolute,0.018776,0.002500,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.005,absolute,0.018776,0.005000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.01,absolute,0.018776,0.010000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.018776,0.009388,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.018776,0.004694,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.001,absolute,0.009917,0.001000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,True
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.0025,absolute,0.009917,0.002500,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.005,absolute,0.009917,0.005000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.01,absolute,0.009917,0.010000,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.009917,0.004958,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
A,DIOR-R,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.009917,0.002479,1794,0.001283,0.001283,0.001668,0.001668,0.002564,0.002564,False
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,absolute_0.001,absolute,0.025040,0.001000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,True
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,absolute_0.0025,absolute,0.025040,0.002500,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,absolute_0.005,absolute,0.025040,0.005000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,absolute_0.01,absolute,0.025040,0.010000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,relative_0.5_r_fit,relative,0.025040,0.012520,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,geometry_normalized_severe,relative_0.25_r_fit,relative,0.025040,0.006260,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,absolute_0.001,absolute,0.084693,0.001000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,True
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,absolute_0.0025,absolute,0.084693,0.002500,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,absolute_0.005,absolute,0.084693,0.005000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,absolute_0.01,absolute,0.084693,0.010000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.084693,0.042347,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.084693,0.021173,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,absolute_0.001,absolute,0.022406,0.001000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,True
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,absolute_0.0025,absolute,0.022406,0.002500,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,absolute_0.005,absolute,0.022406,0.005000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,absolute_0.01,absolute,0.022406,0.010000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.022406,0.011203,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.022406,0.005602,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,absolute_0.001,absolute,0.011892,0.001000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,True
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,absolute_0.0025,absolute,0.011892,0.002500,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,absolute_0.005,absolute,0.011892,0.005000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,absolute_0.01,absolute,0.011892,0.010000,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.011892,0.005946,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
B,DIOR-R,oriented_rcnn,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.011892,0.002973,1870,0.001231,0.001231,0.001601,0.001601,0.002460,0.002460,False
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,absolute_0.001,absolute,0.034746,0.001000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,True
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,absolute_0.0025,absolute,0.034746,0.002500,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,absolute_0.005,absolute,0.034746,0.005000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,absolute_0.01,absolute,0.034746,0.010000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,relative_0.5_r_fit,relative,0.034746,0.017373,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,geometry_normalized_severe,relative_0.25_r_fit,relative,0.034746,0.008687,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,absolute_0.001,absolute,0.105167,0.001000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,True
