evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,delta,n_max_calibration_scenes,zero_loss_hb_ucb,zero_event_cp_ucb,structural_power_limit,role
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.1,1794,0.001283,0.001283,True,PRIMARY
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.05,1794,0.001668,0.001668,True,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.1,1794,0.001283,0.001283,True,PRIMARY
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.05,1794,0.001668,0.001668,True,SENSITIVITY_ONLY
