evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,eligible_calibration_scenes,zero_risk_scenes,all_event_scenes,scene_order_sha256,search_n_start,search_n_end,searched_n_count,chosen_n_delta_0.1,chosen_mean_delta_0.1,min_hb_ucb_delta_0.1,feasible_delta_0.1,chosen_n_delta_0.05,chosen_mean_delta_0.05,min_hb_ucb_delta_0.05,feasible_delta_0.05,chosen_n_delta_0.01,chosen_mean_delta_0.01,min_hb_ucb_delta_0.01,feasible_delta_0.01
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,False,1771,0.000000,0.001690,False,1771,0.000000,0.002597,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,True,1771,0.000000,0.001690,True,1771,0.000000,0.002597,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,True,1771,0.000000,0.001690,True,1771,0.000000,0.002597,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,True,1771,0.000000,0.001690,True,1771,0.000000,0.002597,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,True,1771,0.000000,0.001690,True,1771,0.000000,0.002597,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,1794,1771,23,d0201945f2092ec4963686a22e4a7bb69319b5cff3804c18ca47f686eba870b3,1,1794,1794,1771,0.000000,0.001299,True,1771,0.000000,0.001690,True,1771,0.000000,0.002597,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,False,1728,0.000000,0.001732,False,1728,0.000000,0.002661,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,True,1728,0.000000,0.001732,True,1728,0.000000,0.002661,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,True,1728,0.000000,0.001732,True,1728,0.000000,0.002661,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,True,1728,0.000000,0.001732,True,1728,0.000000,0.002661,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,True,1728,0.000000,0.001732,True,1728,0.000000,0.002661,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,1794,1728,66,18e098694987b3ab169d7df20a41cffba93aaa9a627154b7ba8c8ba715a86d2b,1,1794,1794,1728,0.000000,0.001332,True,1728,0.000000,0.001732,True,1728,0.000000,0.002661,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,False,1769,0.000000,0.001692,False,1769,0.000000,0.002600,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,True,1769,0.000000,0.001692,True,1769,0.000000,0.002600,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,True,1769,0.000000,0.001692,True,1769,0.000000,0.002600,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,True,1769,0.000000,0.001692,True,1769,0.000000,0.002600,True
A,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,True,1769,0.000000,0.001692,True,1769,0.000000,0.002600,True
