evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha,alpha_type,grid_index,fit_n,cal_event_k,cal_event_n,scene_event_hb_scalar,scene_event_hb_exact_integer,scene_event_exact_match,match_test
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,0,49,0,54,0.947407,0.947407,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,1,107,0,107,0.898478,0.898478,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,2,184,0,175,0.839384,0.839384,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,3,352,0,352,0.703156,0.703156,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,4,508,0,507,0.602147,0.602147,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,5,588,1,591,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,6,664,2,682,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,7,770,5,798,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,0,49,0,54,0.873568,0.873568,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,1,107,0,107,0.765034,0.765034,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,2,184,0,175,0.645295,0.645295,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,3,352,0,352,0.414326,0.414326,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,4,508,0,507,0.281088,0.281088,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,5,588,1,591,0.916364,0.916364,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,6,664,2,682,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,7,770,5,798,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,0,49,0,54,0.762863,0.762863,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,1,107,0,107,0.584884,0.584884,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,2,184,0,175,0.415948,0.415948,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,3,352,0,352,0.171287,0.171287,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,4,508,0,507,0.078759,0.078759,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,5,588,1,591,0.416967,0.416967,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,6,664,2,682,0.708692,0.708692,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,7,770,5,798,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,0,49,0,54,0.581166,0.581166,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,1,107,0,107,0.341166,0.341166,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,2,184,0,175,0.172250,0.172250,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,3,352,0,352,0.029080,0.029080,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,4,508,0,507,0.006124,0.006124,False,family
