evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,alpha,r_fit,arm,trivial_guarantee,certified,selected_threshold,target_coverage,calibration_nonempty_scenes,calibration_conditional_risk,calibration_hb_pvalue,calibration_hb_ucb,audit_conditional_risk,audit_risk_ucb,audit_nonempty_scene_rate,audit_selected_instance_coverage,audit_selected_count,audit_direction_consistent,practical,reason
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,split_fst,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,holm,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,any_grid,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,split_fst,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,holm,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,any_grid,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,split_fst,False,True,0.946557,0.200000,507,0.000000,0.078759,0.004531,0.000063,0.002470,0.302519,0.190744,4781,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,holm,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,any_grid,False,True,0.741407,0.500000,798,0.000049,0.022813,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,split_fst,False,True,0.846244,0.400000,682,0.000032,0.001221,0.003551,0.000781,0.003671,0.390956,0.404109,10129,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,holm,False,True,0.741407,0.500000,798,0.000049,0.000421,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,any_grid,False,True,0.741407,0.500000,798,0.000049,0.000421,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,split_fst,False,True,0.846244,0.400000,682,0.000032,0.001218,0.003551,0.000781,0.003671,0.390956,0.404109,10129,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,holm,False,True,0.741407,0.500000,798,0.000049,0.000420,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,any_grid,False,True,0.741407,0.500000,798,0.000049,0.000420,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,split_fst,False,True,0.946557,0.200000,507,0.000000,0.078692,0.004531,0.000063,0.002470,0.302519,0.190744,4781,True,True,certified
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,holm,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,any_grid,False,True,0.741407,0.500000,798,0.000049,0.022782,0.003133,0.002623,0.006468,0.443904,0.499142,12511,True,True,certified
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,split_fst,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,historical,False,False,,0.000000,0,,,,,,0.000000,0.000000,0,False,False,no frozen-grid candidate passes selected sequence
