scenario_index,evaluation_unit,score,alpha_label,alpha,replicates,fit_nonempty_profile,calibration_nonempty_profile,split_fst_false_rejections,split_fst_empirical_fwer,split_fst_cp95_upper,split_fst_pass,holm_false_rejections,holm_empirical_fwer,holm_cp95_upper,holm_pass,seed,endpoint
0,A,detection_score,absolute_0.001,0.001000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,503,0.010060,0.010826,True,503,0.010060,0.010826,True,20260805,geometry_normalized_severe
1,A,detection_score,absolute_0.0025,0.002500,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,1580,0.031600,0.032917,True,454,0.009080,0.009809,True,20260805,geometry_normalized_severe
2,A,detection_score,absolute_0.005,0.005000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,1870,0.037400,0.038826,True,821,0.016420,0.017386,True,20260805,geometry_normalized_severe
3,A,detection_score,absolute_0.01,0.010000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,1781,0.035620,0.037013,True,1323,0.026460,0.027671,True,20260805,geometry_normalized_severe
4,A,detection_score,relative_0.5_r_fit,0.010003,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,1739,0.034780,0.036158,True,1385,0.027700,0.028938,True,20260805,geometry_normalized_severe
5,A,detection_score,relative_0.25_r_fit,0.005002,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,1894,0.037880,0.039314,True,859,0.017180,0.018167,True,20260805,geometry_normalized_severe
6,A,tta_circular_consistency,absolute_0.001,0.001000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,630,0.012600,0.013452,True,346,0.006920,0.007562,True,20260805,geometry_normalized_severe
7,A,tta_circular_consistency,absolute_0.0025,0.002500,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,1662,0.033240,0.034589,True,453,0.009060,0.009789,True,20260805,geometry_normalized_severe
8,A,tta_circular_consistency,absolute_0.005,0.005000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,1920,0.038400,0.039843,True,1126,0.022520,0.023642,True,20260805,geometry_normalized_severe
9,A,tta_circular_consistency,absolute_0.01,0.010000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,1782,0.035640,0.037034,True,1561,0.031220,0.032530,True,20260805,geometry_normalized_severe
10,A,tta_circular_consistency,relative_0.5_r_fit,0.010003,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,1726,0.034520,0.035893,True,1599,0.031980,0.033305,True,20260805,geometry_normalized_severe
