evaluation_unit,dataset,score,risk_endpoint,alpha_label,alpha,grid_index,target_coverage,threshold,fit_nonempty_scenes,fit_conditional_risk,fit_hb_pvalue,ordering_tuple,split_fst_order,calibration_nonempty_scenes,calibration_conditional_risk,calibration_hb_pvalue,split_fst_pass,historical_pass,holm_pass,any_grid_pointwise_pass,scene_event_k,scene_event_n,scene_event_hb_scalar,scene_event_hb_exact_integer,scene_event_exact_match
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,0,0.010000,0.998718,49,0.000000,0.952158,"(0.95215778699657061,-49,-0.01,0)",4,54,0.000000,0.947407,False,False,False,False,0,54,0.947407,0.947407,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,1,0.025000,0.997215,107,0.000000,0.898478,"(0.89847757317142318,-107,-0.025000000000000001,1)",3,107,0.000000,0.898478,False,False,False,False,0,107,0.898478,0.898478,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,2,0.050000,0.992413,184,0.000000,0.831859,"(0.83185922151951208,-184,-0.050000000000000003,2)",2,175,0.000000,0.839384,False,False,False,False,0,175,0.839384,0.839384,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,3,0.100000,0.977553,352,0.000000,0.703156,"(0.70315627837800243,-352,-0.10000000000000001,3)",1,352,0.000000,0.703156,False,False,False,False,0,352,0.703156,0.703156,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,4,0.200000,0.946557,508,0.000000,0.601545,"(0.60154486463651435,-508,-0.20000000000000001,4)",0,507,0.000000,0.602147,False,False,False,False,0,507,0.602147,0.602147,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,5,0.300000,0.907102,588,0.002011,1.000000,"(1,-588,-0.29999999999999999,5)",12,591,0.000019,0.585658,False,False,False,False,1,591,1.000000,0.889513,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,6,0.400000,0.846244,664,0.003208,1.000000,"(1,-664,-0.40000000000000002,6)",11,682,0.000032,0.556492,False,False,False,False,2,682,1.000000,0.433865,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,7,0.500000,0.741407,770,0.004482,1.000000,"(1,-770,-0.5,7)",10,798,0.000049,0.526394,False,False,False,False,5,798,1.000000,0.006843,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",9,965,0.008974,1.000000,False,False,False,False,19,965,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",8,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",7,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000000,False
