evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha,perturbation,changed_count,baseline_order_sha256,perturbed_order_sha256,match
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,calib,1,7888e990227a6720bfef7375c6ef18d6a46dc815160e649fa9346badc74856b4,7888e990227a6720bfef7375c6ef18d6a46dc815160e649fa9346badc74856b4,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,audit,1,7888e990227a6720bfef7375c6ef18d6a46dc815160e649fa9346badc74856b4,7888e990227a6720bfef7375c6ef18d6a46dc815160e649fa9346badc74856b4,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,calib,1,8c4a95d0c5ffe97bcb6329c02a41abcbc456a387a1284676d20d44605aa5ab72,8c4a95d0c5ffe97bcb6329c02a41abcbc456a387a1284676d20d44605aa5ab72,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,audit,1,8c4a95d0c5ffe97bcb6329c02a41abcbc456a387a1284676d20d44605aa5ab72,8c4a95d0c5ffe97bcb6329c02a41abcbc456a387a1284676d20d44605aa5ab72,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,calib,1,7c56a4a0f5ead76a88b7220a6961b671c445f9116629ee158519133e8dd1458d,7c56a4a0f5ead76a88b7220a6961b671c445f9116629ee158519133e8dd1458d,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,audit,1,7c56a4a0f5ead76a88b7220a6961b671c445f9116629ee158519133e8dd1458d,7c56a4a0f5ead76a88b7220a6961b671c445f9116629ee158519133e8dd1458d,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,calib,1,215dbc9b51da02b9dd7ba2641c38cb9a7de2b85073af6a018235db99952d7096,215dbc9b51da02b9dd7ba2641c38cb9a7de2b85073af6a018235db99952d7096,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,audit,1,215dbc9b51da02b9dd7ba2641c38cb9a7de2b85073af6a018235db99952d7096,215dbc9b51da02b9dd7ba2641c38cb9a7de2b85073af6a018235db99952d7096,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,calib,1,9c9f0dd69f9387ef69d53731e4821230cd94cea71b78aa87d81ddf5c11dbee44,9c9f0dd69f9387ef69d53731e4821230cd94cea71b78aa87d81ddf5c11dbee44,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,audit,1,9c9f0dd69f9387ef69d53731e4821230cd94cea71b78aa87d81ddf5c11dbee44,9c9f0dd69f9387ef69d53731e4821230cd94cea71b78aa87d81ddf5c11dbee44,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,calib,1,19bbd392e029977237ac2030fb773336d751730128d1fd832a7144755f70e951,19bbd392e029977237ac2030fb773336d751730128d1fd832a7144755f70e951,True
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,audit,1,19bbd392e029977237ac2030fb773336d751730128d1fd832a7144755f70e951,19bbd392e029977237ac2030fb773336d751730128d1fd832a7144755f70e951,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,calib,1,a1efd7a480fa4a2dbc3fe1258c839b31f432360335f0c815d3185eae3fd7f8c5,a1efd7a480fa4a2dbc3fe1258c839b31f432360335f0c815d3185eae3fd7f8c5,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,audit,1,a1efd7a480fa4a2dbc3fe1258c839b31f432360335f0c815d3185eae3fd7f8c5,a1efd7a480fa4a2dbc3fe1258c839b31f432360335f0c815d3185eae3fd7f8c5,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,calib,1,0ec36ab9adb872c126b82237e38bd5f9e9809a7f2a45a878b2a64348912fcbb7,0ec36ab9adb872c126b82237e38bd5f9e9809a7f2a45a878b2a64348912fcbb7,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,audit,1,0ec36ab9adb872c126b82237e38bd5f9e9809a7f2a45a878b2a64348912fcbb7,0ec36ab9adb872c126b82237e38bd5f9e9809a7f2a45a878b2a64348912fcbb7,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,calib,1,b1999201965870a8cd3c344cfc972ef88afe23def2e374d557433ee95a13e715,b1999201965870a8cd3c344cfc972ef88afe23def2e374d557433ee95a13e715,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,audit,1,b1999201965870a8cd3c344cfc972ef88afe23def2e374d557433ee95a13e715,b1999201965870a8cd3c344cfc972ef88afe23def2e374d557433ee95a13e715,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,calib,1,f62091ef131b0acf17f1c1615c4372da2f7486472e35bd306a63d0f429773490,f62091ef131b0acf17f1c1615c4372da2f7486472e35bd306a63d0f429773490,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,audit,1,f62091ef131b0acf17f1c1615c4372da2f7486472e35bd306a63d0f429773490,f62091ef131b0acf17f1c1615c4372da2f7486472e35bd306a63d0f429773490,True
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,calib,1,9ace226755ff05d216f8c91dc770dc5dba444866d6c203d993c22cbeafb21f36,9ace226755ff05d216f8c91dc770dc5dba444866d6c203d993c22cbeafb21f36,True
