evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,outcome_score,calibration_hb_ucb,calibration_nonempty_scene_rate,calibration_selected_count,audit_conditional_risk,audit_nonempty_scene_rate,audit_selected_instance_coverage,audit_selected_count,practical,not_deployable
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,1-event (target-aware; non-deployable),0.001332,0.963211,12328,0.000000,0.968517,0.928626,23276,True,True
