evaluation_unit,dataset,score,alpha_label,statistical_level,nominal_sample_size,effective_exchangeable_units,risk_estimate,ucb,certified_coverage,nonempty_rate,selected_count,pass_fail,guarantee_relaxation
A,DIOR-R,detection_score,absolute_0.001,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,absolute_0.001,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,absolute_0.001,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,detection_score,absolute_0.0025,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,absolute_0.0025,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,absolute_0.0025,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,detection_score,absolute_0.005,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,absolute_0.005,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,absolute_0.005,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,detection_score,absolute_0.01,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,absolute_0.01,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,absolute_0.01,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,detection_score,relative_0.5_r_fit,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,relative_0.5_r_fit,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,relative_0.5_r_fit,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,detection_score,relative_0.25_r_fit,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,detection_score,relative_0.25_r_fit,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,detection_score,relative_0.25_r_fit,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.001,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.001,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,tta_circular_consistency,absolute_0.001,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.0025,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.0025,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,tta_circular_consistency,absolute_0.0025,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.005,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.005,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,tta_circular_consistency,absolute_0.005,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.01,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
A,DIOR-R,tta_circular_consistency,absolute_0.01,tile_image,3494,0,,,0.000000,0.000000,0,FAIL,SAME_AS_MOTHER
A,DIOR-R,tta_circular_consistency,absolute_0.01,mother_scene,3494,0,,,0.000000,0.000000,0,FAIL,FORMAL
A,DIOR-R,tta_circular_consistency,relative_0.5_r_fit,instance_iid_legacy,0,0,,,0.000000,0.000000,0,FAIL,AUDIT_ONLY_NOT_FORMAL
