dataset,tile_id,mother_scene_id,mapping_source,mapping_confidence,verified
DIOR-R,16613,16613,original_image_identity,HIGH,True
DIOR-R,17306,17306,original_image_identity,HIGH,True
DIOR-R,20151,20151,original_image_identity,HIGH,True
DIOR-R,12089,12089,original_image_identity,HIGH,True
DIOR-R,14612,14612,original_image_identity,HIGH,True
DIOR-R,12505,12505,original_image_identity,HIGH,True
DIOR-R,17145,17145,original_image_identity,HIGH,True
DIOR-R,17116,17116,original_image_identity,HIGH,True
DIOR-R,16420,16420,original_image_identity,HIGH,True
DIOR-R,14053,14053,original_image_identity,HIGH,True
DIOR-R,16578,16578,original_image_identity,HIGH,True
DIOR-R,15479,15479,original_image_identity,HIGH,True
DIOR-R,12225,12225,original_image_identity,HIGH,True
DIOR-R,22343,22343,original_image_identity,HIGH,True
DIOR-R,18913,18913,original_image_identity,HIGH,True
DIOR-R,22840,22840,original_image_identity,HIGH,True
DIOR-R,19407,19407,original_image_identity,HIGH,True
DIOR-R,13938,13938,original_image_identity,HIGH,True
DIOR-R,18975,18975,original_image_identity,HIGH,True
DIOR-R,21103,21103,original_image_identity,HIGH,True
DIOR-R,12546,12546,original_image_identity,HIGH,True
DIOR-R,18680,18680,original_image_identity,HIGH,True
DIOR-R,16826,16826,original_image_identity,HIGH,True
DIOR-R,14382,14382,original_image_identity,HIGH,True
DIOR-R,12885,12885,original_image_identity,HIGH,True
DIOR-R,17641,17641,original_image_identity,HIGH,True
DIOR-R,14419,14419,original_image_identity,HIGH,True
DIOR-R,14070,14070,original_image_identity,HIGH,True
DIOR-R,16478,16478,original_image_identity,HIGH,True
DIOR-R,14146,14146,original_image_identity,HIGH,True
DIOR-R,18499,18499,original_image_identity,HIGH,True
DIOR-R,20784,20784,original_image_identity,HIGH,True
DIOR-R,15668,15668,original_image_identity,HIGH,True
DIOR-R,15748,15748,original_image_identity,HIGH,True
DIOR-R,18062,18062,original_image_identity,HIGH,True
DIOR-R,14523,14523,original_image_identity,HIGH,True
DIOR-R,18877,18877,original_image_identity,HIGH,True
DIOR-R,12643,12643,original_image_identity,HIGH,True
DIOR-R,15468,15468,original_image_identity,HIGH,True
DIOR-R,15700,15700,original_image_identity,HIGH,True
DIOR-R,17031,17031,original_image_identity,HIGH,True
DIOR-R,19711,19711,original_image_identity,HIGH,True
DIOR-R,14969,14969,original_image_identity,HIGH,True
DIOR-R,19575,19575,original_image_identity,HIGH,True
DIOR-R,12915,12915,original_image_identity,HIGH,True
DIOR-R,15238,15238,original_image_identity,HIGH,True
DIOR-R,19317,19317,original_image_identity,HIGH,True
DIOR-R,20893,20893,original_image_identity,HIGH,True
DIOR-R,19166,19166,original_image_identity,HIGH,True
DIOR-R,23054,23054,original_image_identity,HIGH,True
DIOR-R,18874,18874,original_image_identity,HIGH,True
DIOR-R,18451,18451,original_image_identity,HIGH,True
DIOR-R,17316,17316,original_image_identity,HIGH,True
DIOR-R,22143,22143,original_image_identity,HIGH,True
DIOR-R,21311,21311,original_image_identity,HIGH,True
DIOR-R,13274,13274,original_image_identity,HIGH,True
DIOR-R,14388,14388,original_image_identity,HIGH,True
DIOR-R,23463,23463,original_image_identity,HIGH,True
DIOR-R,16924,16924,original_image_identity,HIGH,True
DIOR-R,13814,13814,original_image_identity,HIGH,True
DIOR-R,21724,21724,original_image_identity,HIGH,True
DIOR-R,18716,18716,original_image_identity,HIGH,True
DIOR-R,22545,22545,original_image_identity,HIGH,True
DIOR-R,17082,17082,original_image_identity,HIGH,True
DIOR-R,12226,12226,original_image_identity,HIGH,True
