unit,track,dose_deg,iou,ar_bin,metric,status,value,row_key
DIOR-R/22,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.50|all|AP
DIOR-R/22,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.50|all|angle_risk
DIOR-R/22,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.50|all|severe_event
DIOR-R/22,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.75|all|AP
DIOR-R/22,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.75|all|angle_risk
DIOR-R/22,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/22|P|0|0.75|all|severe_event
DIOR-R/3,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.50|all|AP
DIOR-R/3,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.50|all|angle_risk
DIOR-R/3,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.50|all|severe_event
DIOR-R/3,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.75|all|AP
DIOR-R/3,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.75|all|angle_risk
DIOR-R/3,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/3|P|0|0.75|all|severe_event
DIOR-R/61,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.50|all|AP
DIOR-R/61,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.50|all|angle_risk
DIOR-R/61,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.50|all|severe_event
DIOR-R/61,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.75|all|AP
DIOR-R/61,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.75|all|angle_risk
DIOR-R/61,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,DIOR-R/61|P|0|0.75|all|severe_event
FAIR1M-v1.0/24,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.50|all|AP
FAIR1M-v1.0/24,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.50|all|angle_risk
FAIR1M-v1.0/24,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.50|all|severe_event
FAIR1M-v1.0/24,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.75|all|AP
FAIR1M-v1.0/24,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.75|all|angle_risk
FAIR1M-v1.0/24,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,FAIR1M-v1.0/24|P|0|0.75|all|severe_event
SODA-A/23,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.50|all|AP
SODA-A/23,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.50|all|angle_risk
SODA-A/23,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.50|all|severe_event
SODA-A/23,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.75|all|AP
SODA-A/23,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.75|all|angle_risk
SODA-A/23,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,SODA-A/23|P|0|0.75|all|severe_event
SODA-A/4,P,0,0.50,all,AP,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.50|all|AP
SODA-A/4,P,0,0.50,all,angle_risk,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.50|all|angle_risk
SODA-A/4,P,0,0.50,all,severe_event,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.50|all|severe_event
SODA-A/4,P,0,0.75,all,AP,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.75|all|AP
SODA-A/4,P,0,0.75,all,angle_risk,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.75|all|angle_risk
SODA-A/4,P,0,0.75,all,severe_event,NOT_RUN_PROVENANCE,,SODA-A/4|P|0|0.75|all|severe_event
