cell,track,dose_deg,ar_bin,reps,seed,status,ci_low,ci_high
DIOR-R/22,P,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/22,P,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9742660097795678,0.9783332825555059
DIOR-R/22,P,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8683404347030055,0.8801365775636945
DIOR-R/22,P,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.40328586927551036,0.43104046302659166
DIOR-R/22,P,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.07501159273047876,0.08835372929010131
DIOR-R/22,P,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.0391635143250308,0.04741085274857776
DIOR-R/22,P,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03870905638150356,0.046748644593511864
DIOR-R/22,P,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03877286630766551,0.04685464118916207
DIOR-R/22,D,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/22,D,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9538420189798514,0.9601174286607056
DIOR-R/22,D,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.7939610200826263,0.8110469608673188
DIOR-R/22,D,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.2573692797356332,0.28398171748702355
DIOR-R/22,D,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03987558442098552,0.04827936403608545
DIOR-R/22,D,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03858297022752069,0.04674898200792584
DIOR-R/22,D,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.038649842383975855,0.04645917683919979
DIOR-R/22,D,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03840508705179707,0.04652642255666141
DIOR-R/22,S,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/22,S,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9742326185807558,0.978357315449378
DIOR-R/22,S,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8677530605904935,0.8795805111104193
DIOR-R/22,S,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.40283469418016177,0.43135187993196256
DIOR-R/22,S,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.07549302732630951,0.08777478543767803
DIOR-R/22,S,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.038941804356826704,0.046880134539382605
DIOR-R/22,S,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.0385171923162027,0.04651917257842917
DIOR-R/22,S,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03873663474091602,0.0466633265517332
DIOR-R/3,P,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/3,P,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9761767204456246,0.9797539973522295
DIOR-R/3,P,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.88116312895739,0.8921019818719432
DIOR-R/3,P,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.4528999871566465,0.4767103262392587
DIOR-R/3,P,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.08422091360685018,0.09679420047907358
DIOR-R/3,P,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.042609768918933935,0.05127172386527628
DIOR-R/3,P,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04216751703838274,0.050469985702639636
DIOR-R/3,P,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04187347416486155,0.05020078560801276
DIOR-R/3,D,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/3,D,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9578922578648429,0.9635540923559294
DIOR-R/3,D,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.808765249492114,0.8258485687910506
DIOR-R/3,D,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.2583919835348069,0.2848622277198268
DIOR-R/3,D,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04242760896519387,0.051633326707664885
DIOR-R/3,D,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.042016733912307515,0.05042130553275882
DIOR-R/3,D,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04193016521252613,0.05040373045022885
DIOR-R/3,D,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.0420161934063651,0.05009638839920338
DIOR-R/3,S,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/3,S,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9762864827968062,0.9798120428892932
DIOR-R/3,S,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8818140143853536,0.8923253171149068
