cell,track,dose_deg,ar_bin,baseline_cohort_size,same_pair_survival_count,rematched_survival_count,same_pair_survival,rematched_survival,bootstrap_ci_low,bootstrap_ci_high,status
DIOR-R/22,P,0,all,32929,32929,32929,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,2,all,32929,32150,32150,0.9763430410884023,0.9763430410884023,0.9742660097795678,0.9783332825555059,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,5,all,32929,28779,28779,0.873971271523581,0.873971271523581,0.8683404347030055,0.8801365775636945,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,10,all,32929,13722,13722,0.416714749916487,0.416714749916487,0.40328586927551036,0.43104046302659166,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,15,all,32929,2682,2682,0.08144796380090498,0.08144796380090498,0.07501159273047876,0.08835372929010131,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,20,all,32929,1417,1417,0.043031977891827874,0.043031977891827874,0.0391635143250308,0.04741085274857776,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,25,all,32929,1400,1400,0.042515715630599166,0.042515715630599166,0.03870905638150356,0.046748644593511864,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,P,30,all,32929,1399,1399,0.0424853472622916,0.0424853472622916,0.03877286630766551,0.04685464118916207,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,0,all,32929,32929,32929,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,2,all,32929,31518,31518,0.9571502323180175,0.9571502323180175,0.9538420189798514,0.9601174286607056,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,5,all,32929,26412,26412,0.8020893437395609,0.8020893437395609,0.7939610200826263,0.8110469608673188,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,10,all,32929,8910,8910,0.2705821616204561,0.2705821616204561,0.2573692797356332,0.28398171748702355,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,15,all,32929,1435,1435,0.043578608521364144,0.043578608521364144,0.03987558442098552,0.04827936403608545,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,20,all,32929,1399,1399,0.0424853472622916,0.0424853472622916,0.03858297022752069,0.04674898200792584,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,25,all,32929,1399,1399,0.0424853472622916,0.0424853472622916,0.038649842383975855,0.04645917683919979,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,D,30,all,32929,1399,1399,0.0424853472622916,0.0424853472622916,0.03840508705179707,0.04652642255666141,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,0,all,32929,32929,32929,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,2,all,32929,32150,32150,0.9763430410884023,0.9763430410884023,0.9742326185807558,0.978357315449378,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,5,all,32929,28779,28779,0.873971271523581,0.873971271523581,0.8677530605904935,0.8795805111104193,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,10,all,32929,13722,13722,0.416714749916487,0.416714749916487,0.40283469418016177,0.43135187993196256,PASS_BASELINE_COHORT_FIXED
