cell,track,dose_deg,cluster_count,mean_severe_rate,bootstrap_ci95_low,bootstrap_ci95_high
DIOR-R/22,P,0,6974,0.01221181514874398,0.010072770412401295,0.014466160064886165
DIOR-R/22,P,2,6963,0.01910930384163357,0.016510306048159482,0.021846928600730998
DIOR-R/22,P,5,6889,0.07675204153472885,0.07164377861730967,0.082358836920391
DIOR-R/22,P,10,6551,0.313450658317332,0.3034067384619299,0.3229919898535297
DIOR-R/22,P,15,6074,0.7347982513256596,0.7264063132657081,0.7441611649900838
DIOR-R/22,P,20,5482,0.9594011478838157,0.9547808440368531,0.9636708699908136
DIOR-R/22,P,25,4840,0.9877889560985011,0.9847964505844171,0.990348893146085
DIOR-R/22,P,30,4210,0.9943778592853495,0.9922240803974346,0.9961334774225715
DIOR-R/3,D,0,7257,0.014240477254264621,0.012002767930594486,0.016620098251099665
DIOR-R/3,D,2,7219,0.03891251418185267,0.0352363804783678,0.04278453898889331
DIOR-R/3,D,5,7089,0.1616027578607204,0.15441992987600725,0.16877549242052184
DIOR-R/3,D,10,6634,0.4643361698552169,0.4548368046695881,0.4743117797139402
DIOR-R/3,D,15,6034,0.9244306800237846,0.9197586633941377,0.9296153483516476
DIOR-R/3,D,20,5370,0.9970261989235258,0.9956073639648967,0.9982936877522925
DIOR-R/3,D,25,4713,0.9997878209208572,0.9993634627625716,1.0
DIOR-R/3,D,30,4099,0.9997560380580629,0.9992681141741888,1.0
DIOR-R/61,S,0,7227,0.021272327885765965,0.01840581620157577,0.02416805433377854
DIOR-R/61,S,2,7204,0.03343269636336276,0.030105910664503053,0.03714708190121207
DIOR-R/61,S,5,7111,0.10678300078866533,0.10048044297218484,0.11269712037104097
DIOR-R/61,S,10,6753,0.3467514440361336,0.33827916267552466,0.3561769724772782
DIOR-R/61,S,15,6203,0.7339001481834322,0.7250004811358037,0.7427350822000036
DIOR-R/61,S,20,5595,0.9506395214307831,0.9460707238082209,0.9555144271866907
DIOR-R/61,S,25,4950,0.982604912583899,0.9794691321738997,0.9855212876504859
DIOR-R/61,S,30,4345,0.991314941804596,0.9890352110926462,0.9937169822588653
FAIR1M-v1.0/24,P,0,2505,0.0038938398077612607,0.002753868354870574,0.005425169930903498
FAIR1M-v1.0/24,P,2,2505,0.008118932817915855,0.006214343370718659,0.009976702861079961
FAIR1M-v1.0/24,P,5,2503,0.11257918042379536,0.10320287950890035,0.12284269443914317
FAIR1M-v1.0/24,P,10,2458,0.4700248218020645,0.45516158710436266,0.4846624415822044
FAIR1M-v1.0/24,P,15,2129,0.7903439810133955,0.7809236435695109,0.8012411588784534
FAIR1M-v1.0/24,P,20,1887,0.956371018724304,0.9503197090209154,0.9613331305836436
FAIR1M-v1.0/24,P,25,1641,0.9902414099620733,0.9868846413321213,0.993043157394644
FAIR1M-v1.0/24,P,30,1370,0.9974587359337028,0.9952461972603038,0.9989518584572393
SODA-A/23,D,0,8157,0.0034225815177099717,0.002797455479051944,0.00419062249229154
SODA-A/23,D,2,8157,0.008583807608535535,0.007482283849735273,0.009829834241025258
SODA-A/23,D,5,8146,0.054373058344024734,0.051009553645081515,0.05737203713389837
SODA-A/23,D,10,8109,0.3050876985194627,0.2983885362200798,0.3118238367357944
SODA-A/23,D,15,7955,0.8434298948026504,0.8375504239370842,0.8500672103761323
SODA-A/23,D,20,7641,0.9842399085831429,0.9817786023831023,0.9868608831218189
SODA-A/23,D,25,7282,0.9995701384096621,0.9990984013764803,0.9999224373902266
SODA-A/23,D,30,6740,1.0,1.0,1.0
SODA-A/4,S,0,8048,0.0036193179584109183,0.0030236967314593273,0.004232989133525045
SODA-A/4,S,2,8044,0.005107457544504252,0.00433776466189455,0.00587210652268314
SODA-A/4,S,5,8042,0.02894498916593254,0.02693778637558794,0.030797171290563502
SODA-A/4,S,10,8025,0.22292212855285704,0.2170013137125428,0.22900226118077469
SODA-A/4,S,15,7936,0.6255490047809824,0.6187493244981466,0.6325419922696316
SODA-A/4,S,20,7701,0.9154940678999902,0.9117526323706824,0.9187371443783519
SODA-A/4,S,25,7432,0.9855543295477409,0.9840240641846874,0.9871083608128807
SODA-A/4,S,30,7046,0.9962200839107875,0.9953386650340807,0.9969186188719948
