evaluation_unit,dataset,detector,dose_deg,prediction_identity_preserved,score_class_center_size_preserved,ar_mask,AP50,AP75,delta_AP50,delta_AP75,mean_angle_error,fixed_5deg_event_rate,geometry_severe_event_rate,full_evaluator_status,first_material_AP75_drop,AP75_knee,AP50_weak_sensitivity_range
DIOR-R/22,DIOR-R,rotated_retinanet_psc,0,True,True,ar>=2.1,0.5368,0.3503,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/22,DIOR-R,rotated_retinanet_psc,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.5368,0.0384,0.0,-0.3119,39.189,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
DIOR-R/3,DIOR-R,oriented_rcnn,0,True,True,ar>=2.1,0.6448,0.4275,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/3,DIOR-R,oriented_rcnn,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
