evaluation_unit,dataset,detector,tau,aspect_ratio_bin,size_bin,n,mean_deg,median_deg,p10_deg,p90_deg,definition
A,DIOR-R,rotated_retinanet_psc,0.50,all_ar21,all,49502,26.3353,26.5,15.0,38.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,all_ar21,large,4471,24.0877,22.0,7.5,42.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,all_ar21,medium,15166,29.4423,28.5,19.5,42.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,all_ar21,small,29865,25.0939,25.5,15.5,33.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,2.1_to_3,all,31496,30.174,29.5,22.0,41.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,2.1_to_3,large,2167,34.9998,38.0,22.5,43.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,2.1_to_3,medium,10259,33.4948,32.5,25.5,42.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,2.1_to_3,small,19070,27.8392,28.0,20.5,35.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,3_to_5,all,15891,20.9655,22.0,14.0,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,3_to_5,large,1382,17.1056,17.5,10.0,24.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,3_to_5,medium,4516,21.9364,23.0,16.5,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,3_to_5,small,9993,21.0604,22.5,14.0,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,ge5,all,2115,9.5156,10.0,3.5,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,ge5,large,922,8.9062,9.5,3.5,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,ge5,medium,391,9.8043,10.5,4.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.50,ge5,small,802,10.0754,10.5,4.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,all_ar21,all,49502,5.4682,6.0,0.0,12.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,all_ar21,large,4471,5.4566,4.0,0.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,all_ar21,medium,15166,8.1123,8.5,0.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,all_ar21,small,29865,4.1272,3.5,0.0,10.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,2.1_to_3,all,31496,6.4359,7.5,0.0,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,2.1_to_3,large,2167,9.1133,11.5,0.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,2.1_to_3,medium,10259,9.444,10.0,1.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,2.1_to_3,small,19070,4.5134,4.5,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,3_to_5,all,15891,4.1774,4.5,0.0,9.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,3_to_5,large,1382,2.7287,0.5,0.0,7.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,3_to_5,medium,4516,5.7142,6.5,0.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,3_to_5,small,9993,3.6832,3.5,0.0,9.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,ge5,all,2115,0.7558,0.0,0.0,3.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,ge5,large,922,0.9512,0.0,0.0,4.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,ge5,medium,391,0.867,0.0,0.0,4.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
A,DIOR-R,rotated_retinanet_psc,0.75,ge5,small,802,0.4769,0.0,0.0,2.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,all_ar21,all,54297,26.6985,27.0,15.0,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,all_ar21,large,5026,22.9419,20.0,7.5,42.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,all_ar21,medium,15705,29.4114,29.0,18.5,42.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,all_ar21,small,33566,25.9917,26.5,16.5,34.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,2.1_to_3,all,33944,31.0261,30.5,24.0,41.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,2.1_to_3,large,2193,35.2221,38.5,22.5,43.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,2.1_to_3,medium,10390,33.9808,33.0,26.0,43.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,2.1_to_3,small,21361,29.1581,29.0,23.0,36.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,3_to_5,all,17185,21.3065,22.5,14.5,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,3_to_5,large,1482,17.2648,17.5,11.0,23.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,3_to_5,medium,4643,22.0798,23.0,16.5,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,3_to_5,small,11060,21.5235,22.5,14.5,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,ge5,all,3168,9.5792,10.0,4.5,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,ge5,large,1351,9.2358,9.5,4.5,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,ge5,medium,672,9.4167,10.0,4.5,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.50,ge5,small,1145,10.0799,10.5,4.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,all_ar21,all,54297,6.5418,7.5,0.0,12.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,all_ar21,large,5026,5.6364,4.0,0.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,all_ar21,medium,15705,8.7785,9.0,2.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,all_ar21,small,33566,5.6309,6.5,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,2.1_to_3,all,33944,7.6506,8.5,0.0,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,2.1_to_3,large,2193,9.624,12.0,0.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,2.1_to_3,medium,10390,10.1849,10.5,5.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,2.1_to_3,small,21361,6.2153,7.5,0.0,11.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,3_to_5,all,17185,5.2813,6.0,0.0,9.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,3_to_5,large,1482,3.3586,3.5,0.0,7.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,3_to_5,medium,4643,6.6502,7.5,2.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,3_to_5,small,11060,4.9643,6.0,0.0,9.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,ge5,all,3168,1.4991,0.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,ge5,large,1351,1.6621,1.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,ge5,medium,672,1.7374,1.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
B,DIOR-R,oriented_rcnn,0.75,ge5,small,1145,1.1668,0.0,0.0,4.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,all_ar21,all,53671,26.6692,27.0,14.5,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,all_ar21,large,5293,22.8279,20.0,7.5,42.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,all_ar21,medium,15602,29.4921,28.5,18.5,43.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,all_ar21,small,32776,25.9458,26.5,16.0,34.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,2.1_to_3,all,33809,30.8829,30.0,23.5,42.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,2.1_to_3,large,2252,35.385,38.5,24.0,43.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,2.1_to_3,medium,10375,34.0441,33.0,26.0,43.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,2.1_to_3,small,21182,28.8559,29.0,22.5,35.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,3_to_5,all,16869,21.2748,22.5,14.5,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,3_to_5,large,1574,17.506,18.0,10.5,24.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,3_to_5,medium,4627,21.9247,23.0,16.5,26.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,3_to_5,small,10668,21.5489,23.0,14.0,26.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,ge5,all,2993,9.4748,10.0,4.5,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,ge5,large,1467,9.2614,9.5,4.5,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,ge5,medium,600,9.1367,9.5,3.5,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.50,ge5,small,926,10.0319,10.5,4.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,all_ar21,all,53671,6.3926,7.0,0.0,12.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,all_ar21,large,5293,6.0225,5.0,0.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,all_ar21,medium,15602,8.931,9.5,2.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,all_ar21,small,32776,5.244,6.0,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,2.1_to_3,all,33809,7.4847,8.5,0.0,14.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,2.1_to_3,large,2252,10.1483,12.5,0.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,2.1_to_3,medium,10375,10.395,10.5,5.5,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,2.1_to_3,small,21182,5.776,7.0,0.0,11.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,3_to_5,all,16869,5.0852,6.0,0.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,3_to_5,large,1574,3.9679,4.5,0.0,8.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,3_to_5,medium,4627,6.6268,7.5,0.5,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,3_to_5,small,10668,4.5814,5.5,0.0,9.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,ge5,all,2993,1.4242,0.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,ge5,large,1467,1.8933,1.5,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,ge5,medium,600,1.385,0.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
C,DIOR-R,rotated_rtmdet_s,0.75,ge5,small,926,0.7063,0.0,0.0,3.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,all_ar21,all,31801,24.7463,25.0,13.0,36.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,all_ar21,large,483,12.823,12.0,8.5,15.4,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,all_ar21,medium,2398,16.2091,14.0,8.0,27.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,all_ar21,small,28920,25.6533,25.5,15.5,36.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,2.1_to_3,all,21757,28.0347,28.0,19.0,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,2.1_to_3,large,37,29.9595,29.5,26.3,38.4,fixed-pair actual-geometry approximation; full rematching not performed per instance
