cell,track,dose_deg,status,AP50,AP75,fp50,angle_error_mean,n_pred,n_gt,evaluator
DIOR-R/22,gt,0,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,2,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,5,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,10,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,15,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,20,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,25,NOT_RUN_TRACK,,,,,,,
DIOR-R/22,gt,30,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,0,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,2,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,5,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,10,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,15,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,20,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,25,NOT_RUN_TRACK,,,,,,,
DIOR-R/3,gt,30,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,0,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,2,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,5,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,10,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,15,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,20,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,25,NOT_RUN_TRACK,,,,,,,
DIOR-R/61,gt,30,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,0,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,2,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,5,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,10,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,15,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,20,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,25,NOT_RUN_TRACK,,,,,,,
FAIR1M-v1.0/24,gt,30,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,0,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,2,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,5,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,10,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,15,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,20,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,25,NOT_RUN_TRACK,,,,,,,
SODA-A/23,gt,30,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,0,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,2,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,5,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,10,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,15,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,20,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,25,NOT_RUN_TRACK,,,,,,,
SODA-A/4,gt,30,NOT_RUN_TRACK,,,,,,,
