cell,track,dose_deg,status,AP50,AP75,fp50,angle_error_mean,n_pred,n_gt,evaluator
DIOR-R/22,P,0,COMPUTED_GPU,0.5367777305863244,0.35031696427094117,149785,8.94688043383171,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,2,COMPUTED_GPU,0.5383479316216235,0.3474632926682224,149852,9.855581743267933,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,5,COMPUTED_GPU,0.5357685984521275,0.33378620364049827,150170,11.989376451462972,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,10,COMPUTED_GPU,0.5211082020627876,0.28077883473707976,151336,16.03547865926486,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,15,COMPUTED_GPU,0.5028303678076901,0.17048033421288578,153759,20.22302239637201,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,20,COMPUTED_GPU,0.47836859798559656,0.07942502147933658,158194,24.489810693039992,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,25,COMPUTED_GPU,0.44419320111518834,0.013796062884835592,167643,28.909626017476388,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,P,30,COMPUTED_GPU,0.41061095633264594,0.0008528944100217142,181906,33.5611056496921,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,0,COMPUTED_GPU,0.6447894824490827,0.4275098669511985,38208,8.66524432212967,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,2,COMPUTED_GPU,0.6429977787132958,0.4234056910895784,38256,9.37209352799481,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,5,COMPUTED_GPU,0.6324347343906634,0.4026639951222363,38574,11.477290963751402,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,10,COMPUTED_GPU,0.6012255650073839,0.3124517361827338,40067,15.57043870967167,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,15,COMPUTED_GPU,0.5666486829669372,0.19753457576773265,42781,19.824838017753553,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,20,COMPUTED_GPU,0.5355559052855672,0.10001132434117674,46953,24.119738271037196,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,25,COMPUTED_GPU,0.4929218078956915,0.013295835497490489,55716,28.48878520894925,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,P,30,COMPUTED_GPU,0.4471217920563819,0.0022136110292709913,70669,33.069994660581294,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,0,COMPUTED_GPU,0.6462051923401344,0.4515185112144728,110494,9.08716179574796,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,2,COMPUTED_GPU,0.6450491929336938,0.4464672363792646,110575,9.768868813845554,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,5,COMPUTED_GPU,0.6364104198951887,0.41873970458365867,110930,11.803995651625636,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,10,COMPUTED_GPU,0.6087723299403285,0.33677908030212306,112376,15.786854150051584,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,15,COMPUTED_GPU,0.5740640083624065,0.22150725578078828,115101,19.94909168190045,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,20,COMPUTED_GPU,0.5404008274164862,0.11696839580106302,119165,24.172151891288724,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,25,COMPUTED_GPU,0.5006932006983217,0.020827831401216017,127379,28.462333402412895,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,P,30,COMPUTED_GPU,0.45100667106590553,0.0012824372472927405,142259,32.964391938610824,358782,124445,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,0,COMPUTED_GPU,0.34667685487637706,0.2423673697722883,275272,4.630565066690488,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,2,COMPUTED_GPU,0.34642714845447276,0.24052453462928378,275281,5.25840847844929,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,5,COMPUTED_GPU,0.34575444013331313,0.22800790251776729,275389,7.3616872012711125,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,10,COMPUTED_GPU,0.33885045741594577,0.20661675754503034,276144,11.864973754125884,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,15,COMPUTED_GPU,0.317959136748099,0.17724271988309287,278638,16.591026789938077,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,20,COMPUTED_GPU,0.30353873826542016,0.11478969039824335,282320,21.320041275313226,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,25,COMPUTED_GPU,0.28888085539334585,0.015001201532301583,288928,26.0340542216771,484332,78644,GPU_RBboxOverlaps2D_K1
FAIR1M-v1.0/24,P,30,COMPUTED_GPU,0.27294794756489565,0.00021457063768657724,297054,30.817868128062873,484332,78644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,0,COMPUTED_GPU,0.6030454864020368,0.2745748095604141,675333,5.230441963642864,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,2,COMPUTED_GPU,0.6030497211010036,0.27036365025691583,675410,5.906063833955865,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,5,COMPUTED_GPU,0.6026841641948264,0.23846642490065584,675811,8.0575562161717,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,10,COMPUTED_GPU,0.5973617538797512,0.17532750836293504,679092,12.458376568443633,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,15,COMPUTED_GPU,0.5498971251410255,0.11744883313303693,703500,17.174309365396525,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,20,COMPUTED_GPU,0.5258705201638156,0.07230034093572335,723488,21.8620850118066,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,25,COMPUTED_GPU,0.48386674212301195,0.016898480599710962,744373,26.446213635534935,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/23,P,30,COMPUTED_GPU,0.4368062366727965,0.0007502113393118129,783093,31.004808789495222,1449379,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,0,COMPUTED_GPU,0.7295276463314209,0.3805299193553744,223930,5.1484073823520315,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,2,COMPUTED_GPU,0.7294511342119357,0.3750392779808112,223973,5.689950902559201,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,5,COMPUTED_GPU,0.7286453350070015,0.2956168531175327,224333,7.71742526447925,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,10,COMPUTED_GPU,0.7138496046195073,0.20349367097808735,226549,12.078416711949242,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,15,COMPUTED_GPU,0.6243058367462105,0.1281630408171116,247538,16.755373881867136,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,20,COMPUTED_GPU,0.5879161365706064,0.05425123006960528,271942,21.491677298832894,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,25,COMPUTED_GPU,0.5534352147379251,0.003365549597173157,290917,26.09920582819903,749109,449644,GPU_RBboxOverlaps2D_K1
SODA-A/4,P,30,COMPUTED_GPU,0.5023602248960165,0.000839869495213464,330250,30.611303936023205,749109,449644,GPU_RBboxOverlaps2D_K1
