cell,dataset,detector,track,dose_deg,AP50,AP75,matched_ar21,severe_rate,status
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,2,0.5385082275592782,0.3479654036130158,49672,0.0090996939925914,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,5,0.5361946684079123,0.3375023249496017,49389,0.036749073680374174,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,10,0.5218150843211296,0.29553577940467357,48303,0.27942363828333644,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,15,0.5041689465061905,0.2283443623207002,46024,0.8115113853641578,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,20,0.4818767908191476,0.21712608929715227,41786,0.978820657636529,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,25,0.4511358934026884,0.21705593138712573,32641,0.9945773720167888,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,30,0.416406245206979,0.21705578499096015,18807,0.9969692135906844,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,2,0.5382102347575461,0.34456938374906965,49623,0.01604094875360216,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,5,0.5346519150724706,0.32945174295764285,49181,0.0683597324169903,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,10,0.5185338484260023,0.2852395492658003,47780,0.43172875680200923,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,15,0.4986667488116643,0.21730614773544596,44795,0.941042527067753,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,20,0.4767069312255616,0.2170536747847863,39822,0.997463713525187,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,25,0.4398679867931875,0.2170536747847863,28607,0.9994057398538819,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,30,0.409312030478446,0.2170536747847863,14696,0.999251497005988,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,2,0.5375084779404169,0.3480372549105468,49672,0.0090996939925914,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,5,0.5350318653898569,0.33734014476823615,49389,0.036749073680374174,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,10,0.5222237846396598,0.2946092637028589,48303,0.27942363828333644,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,15,0.5042682891712633,0.22805380011454066,46024,0.8115113853641578,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,20,0.48254384677829565,0.21709280166490816,41786,0.978820657636529,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,25,0.451030378376988,0.21705494109201778,32641,0.9945773720167888,COMPUTED_R010
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,30,0.4164544731533039,0.21705486789393502,18807,0.9969692135906844,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,2,0.6430871044134634,0.4239903700184944,54899,0.009508369915663308,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,5,0.635259662530012,0.4052769897261898,54596,0.04703641292402374,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,10,0.6056598701370193,0.3417645227040689,53164,0.2979459784816793,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,15,0.5681996646526173,0.26288089230105294,50530,0.81171581238868,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,20,0.5407155771939552,0.2528797668534247,46502,0.9748612962883317,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,25,0.49872000076377176,0.252866628694224,37927,0.9937775199725789,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,P,30,0.4551021700722565,0.25286234844594707,23235,0.9973316117925544,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,2,0.6414799884076172,0.4195956659359946,54823,0.016890721047735438,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,5,0.6280356799150445,0.3916212711561203,54358,0.08186467493285257,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,10,0.5909177366952589,0.3195068347345554,52553,0.47660457062394157,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,15,0.559256548433808,0.2532732395703003,49325,0.9596756208819057,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,20,0.5248261011979987,0.25286234844594707,44432,0.9988746849117753,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,25,0.4847219297551549,0.25286234844594707,33356,0.9997002038613743,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,D,30,0.44041066755770253,0.25286234844594707,17703,0.9997175619951421,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,2,0.6431264282740308,0.423929127616275,54899,0.009508369915663308,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,5,0.6361903509117703,0.40640139253768925,54596,0.04703641292402374,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,10,0.6060530726635183,0.34104826646677866,53164,0.2979459784816793,COMPUTED_R010
